Start Time,End Time,Text,sentiment-score
00:00:11.570,00:00:17.039,"This is a water jet pack... but no, that's not me flying it.",0.0
00:00:17.039,00:00:20.480,This is me.,0.0
00:00:20.480,00:00:22.560,"It's harder than it looks, ok?",0.0
00:00:22.560,00:00:27.150,"But to understand how it works, we need to first talk rocket science.",0.0
00:00:27.150,00:00:31.310,"Rocket science is meant to be one of the most complicated things in the world, but the basic",0.0
00:00:31.310,00:00:33.570,principle is incredibly simple.,0.0
00:00:33.570,00:00:38.089,"It's just Newton's 3rd law -- all forces come in pairs, which are equal and opposite.",0.0
00:00:38.089,00:00:44.000,"To demonstrate this, I'm using a fire extinguisher on a skateboard.",-0.34
00:00:44.000,00:00:48.870,"As the carbon dioxide is forced out the back of the extinguisher, it puts a force forwards",-0.4588
00:00:48.870,00:01:02.690,on me causing me to accelerate.,0.0
00:01:02.690,00:01:08.700,Or that's the theory anyway.,0.0
00:01:08.700,00:01:16.100,"If you look closely, you can spot the exact moment I realize this is a fail.",-0.5423
00:01:16.100,00:01:18.790,So what was the problem here?,-0.4019
00:01:18.790,00:01:23.160,Well the force applied to me by the carbon dioxide is equal to the rate of mass ejected,0.2732
00:01:23.160,00:01:27.960,"out the back of the fire extinguisher, call it m-dot for short, multiplied by the velocity",-0.34
00:01:27.960,00:01:29.970,of that exhaust gas.,-0.296
00:01:29.970,00:01:34.580,So in this case the carbon dioxide wasn't ejected fast enough to create a big enough,0.2732
00:01:34.580,00:01:41.390,force and overcome the small frictional forces to get me to accelerate.,0.0
00:01:41.390,00:01:45.670,But it can be done as has been demonstrated many times on Youtube.,0.0
00:01:45.670,00:01:53.200,"When the space shuttle lifts off, exhaust gasses exit the nozzle at 3 to 4 km/s, ejecting",-0.296
00:01:53.200,00:01:57.549,an amount of mass of 9000 kg/s.,0.0
00:01:57.549,00:02:03.290,"This creates thrust equal to 30,000,000 N or the equivalent of about 2 million decent",0.2732
00:02:03.290,00:02:06.049,fire extinguishers.,-0.34
00:02:06.049,00:02:09.660,Now imagine you are an astronaut preparing for launch in the space shuttle.,0.0
00:02:09.660,00:02:14.930,"You'd be seated not vertically but horizontally, perpendicular to the acceleration.",0.0
00:02:14.930,00:02:20.160,That's because the human body is a bit like a water balloon where the water represents,0.3612
00:02:20.160,00:02:24.010,your blood and the balloon represents your harder parts like your skeleton.,0.3612
00:02:24.010,00:02:29.570,"Now, if you are accelerated up really quickly, then your skeleton accelerates up at that",0.0
00:02:29.570,00:02:32.350,rate but your blood tends to stay where it is.,0.0
00:02:32.350,00:02:35.859,And this results in the blood ending up in your feet.,0.0
00:02:35.859,00:02:40.549,Now since there's not enough oxygen going to your brain you would black out.,0.0
00:02:40.549,00:02:46.480,"But fighter pilots face an arguably worse fate when they accelerate down too fast, because",-0.6956
00:02:46.480,00:02:51.720,"then the blood all rushes to their head and they suffer something called a red-out, where",-0.5423
00:02:51.720,00:02:58.280,"the blood actually comes out of their eyes, nose, mouth, and ears.",0.0
00:02:58.280,00:03:02.670,"But back to astronauts, since you are reclined, at worst the blood will end up in the back",-0.7684
00:03:02.670,00:03:06.700,"of your body and the back of your head, but your brain will still have enough oxygen to",0.0
00:03:06.700,00:03:08.130,remain conscious.,0.0
00:03:08.130,00:03:13.150,"Now as the spacecraft lifts off and starts speeding up, the acceleration is initially",0.0
00:03:13.150,00:03:18.030,a very reasonable five to eight meters per second squared - that's less acceleration,0.0
00:03:18.030,00:03:22.120,than an object in free fall here at the surface of Earth.,0.5106
00:03:22.120,00:03:28.320,"But as the spacecraft continues to burn fuel, its mass decreases, while the thrust remains",0.0
00:03:28.320,00:03:29.820,essentially constant.,0.0
00:03:29.820,00:03:34.600,Now Newton's second law says that the acceleration of an object equals the net force applied,0.0
00:03:34.600,00:03:36.949,to it divided by its mass.,0.0
00:03:36.949,00:03:43.160,"So as the mass decreases, the acceleration increases -- and it increases at an increasing",0.0
00:03:43.160,00:03:44.160,rate.,0.0
