Start Time,End Time,Text,sentiment-score
00:00:00.190,00:00:03.550,I am going to scream as loud as I can and I am going to keep screaming as loud as I,-0.6486
00:00:03.550,00:00:07.110,can while I spin around. I will keep going until my breath runs out.,0.0
00:00:07.360,00:00:08.160,&gt;&gt; Great.,0.6249
00:00:08.160,00:00:09.300,&gt;&gt; You ready? &gt;&gt; Yeah.,0.5719
00:00:09.300,00:00:11.480,&gt;&gt; Ok [Screams],0.0
00:00:18.340,00:00:19.580,&gt;&gt; That was outstanding. Thank you.,0.7579
00:00:19.580,00:00:20.440,&gt;&gt; Thank you.,0.3612
00:00:21.340,00:00:25.890,&gt;&gt; The quietest place on earth is apparently an anechoic chamber in Minneapolis. Now I,0.0
00:00:25.890,00:00:31.320,am here at BYU at their anechoic chamber. Anechoic is Latin and basically means no echo.,-0.296
00:00:31.320,00:00:36.010,And the way they achieve no echo is through all of these foam wedges which are put on the wall,-0.296
00:00:36.010,00:00:41.050,and even the floor. You can see that I am actually on a spring floor and down,0.0
00:00:41.050,00:00:43.780,below me there are all of these wedges.,0.0
00:00:43.780,00:00:47.379,"Now you may want to use headphones while you are listening to this video, because that",0.0772
00:00:47.379,00:00:48.999,is going to be quite important.,0.2716
00:00:48.999,00:00:54.489,"&gt;&gt; Low frequency sound will come in and, by the shape of it, bounce and just keep bouncing",-0.2732
00:00:54.489,00:00:59.850,pretty much forever until it just gets lost in the wall. And then high frequencies are,0.2263
00:00:59.850,00:01:02.839,more so going to get absorbed into the foam itself.,0.0
00:01:02.839,00:01:07.559,&gt;&gt; You can hear how the room deadens echoes by clapping constantly while closing the doors.,0.0
00:01:07.560,00:01:27.760,[Clapping],0.0
00:01:27.760,00:01:30.840,It totally changes the quality of the sound. &gt;&gt; Definitely.,0.4019
00:01:30.850,00:01:34.240,&gt;&gt; There are reports that it is impossible to stay in one of these rooms and remain sane,0.0
00:01:34.240,00:01:37.810,for a significant period of time. The record is apparently 45 minutes.,0.2023
00:01:37.810,00:01:42.650,"&gt;&gt; I felt a little claustrophobic. And yet, it felt like there is a lot of pressure on my",0.0772
00:01:42.650,00:01:43.770,head.,0.0
00:01:44.100,00:01:46.980,"&gt;&gt; But why would that be? I mean, the air is no different in here.",-0.4215
00:01:47.750,00:01:51.340,&gt;&gt; What I figured is just because when you listen in a normal room there is a lot of,0.0
00:01:51.340,00:01:55.800,"reverb. To your ear that means there is a lot of space, but there is none of that in",0.0
00:01:55.800,00:01:57.620,"here, so it feels claustrophobic.",0.0
00:01:57.620,00:02:00.830,"&gt;&gt; It feels like you are in a tiny room, like you could be in a coffin.",0.6124
00:02:00.830,00:02:02.290,"&gt;&gt;Yeah, maybe, yeah.",0.296
00:02:02.980,00:02:07.280,&gt;&gt; I think it is really an anxiety response. So you are used to having these sounds around,-0.2449
00:02:07.280,00:02:11.230,"you and then you don’t anymore and so you start to panic, because you don’t have something",-0.5106
00:02:11.230,00:02:16.090,"you are used to, and I think that anxiety can increase, cause some stress, and maybe that's",-0.296
00:02:16.090,00:02:20.350,why people go crazy or hallucinate with sound. It is just because they are trying,-0.34
00:02:20.350,00:02:22.350,to make up for what they are used to that isn’t there.,0.0
00:02:22.350,00:02:26.230,"&gt;&gt; When I bring people in I warn them: Hey, if you get a little dizzy, please let me know,",0.0038
00:02:26.230,00:02:32.390,so I can get you out of the room before you make a mess in our expensive facilities.,-0.3612
00:02:34.220,00:02:37.560,&gt;&gt; First you will hear any rustle of your clothing. So you move an inch and you will,0.0
00:02:37.569,00:02:41.920,hear it. Then you will hear any fluids that are in your mouth or your throat. You'll,0.0
00:02:41.920,00:02:46.520,hear them all moving around every time you move your mouth. And the longer you stay there,0.0
00:02:46.520,00:02:49.650,the more you will hear. So you will start to hear the blood flow through your brain.,0.0
00:02:49.650,00:02:50.630,&gt;&gt; Have you heard it?,0.0
00:02:50.630,00:02:53.930,&gt;&gt; Yeah. It sounds kind of like a ringing or a pulsing.,0.5279
00:02:53.930,00:02:56.770,&gt;&gt; Can you kind of make the sound for us so that we know what to listen in for?,0.0
00:02:56.770,00:02:58.400,"&gt;&gt; Of the blood flow? &gt;&gt; Yeah, like...",0.5719
00:02:58.400,00:03:01.160,"&gt;&gt; It just sounds like a pulsing, like, shh, shh, shh.",0.6124
00:03:01.160,00:03:04.120,Some people say they can hear their heart beat coming from their chest as well.,0.743
00:03:04.950,00:03:05.750,&gt;&gt; Have you heard that?,0.0
00:03:05.750,00:03:06.410,&gt;&gt; No.,0.0
00:03:07.459,00:03:10.699,&gt;&gt; A violinist placed in one of these rooms was apparently banging on the door within a matter,0.0258
00:03:10.700,00:03:15.000,of seconds trying to get out. Now that people say it's impossible to stand up,0.0
00:03:15.000,00:03:21.900,"because you become so disoriented, dizzy, nauseous. And some people even hear oral hallucinations.",-0.6619
00:03:21.910,00:03:25.330,"But to me it doesn’t sound right. You know, I believe that I should be able to sit in",0.0
00:03:25.330,00:03:29.970,a room with no sound with the lights off for as long as I like. And so I am going to put,0.0772
00:03:29.970,00:03:34.090,myself to the test by staying in this room for as long as I can.,0.0
00:03:36.200,00:03:37.640,&gt;&gt; Have fun in silence.,0.5106
00:03:37.640,00:03:38.580,&gt;&gt; Thank you.,0.3612
