Start Time,End Time,Text,sentiment-score
00:00:00.150,00:00:07.330,I have a friend named Sammy who back in the early 2000s wrote some code for his MySpace,0.4939
00:00:07.330,00:00:08.330,page.,0.0
00:00:08.330,00:00:12.999,And what the code did was anybody who visited his page would have his picture and a tag,0.0
00:00:12.999,00:00:16.519,"line that said, “Sammy is my hero,” copied over to their homepage.",0.0
00:00:16.519,00:00:20.320,"And that was a bit of fun for a while, but Sammy wanted more.",0.2846
00:00:20.320,00:00:24.439,"And so he tweaked his code so that no only the picture and the tag line were copied over,",-0.3566
00:00:24.439,00:00:26.750,but also the code itself.,0.0
00:00:26.750,00:00:29.109,And now it exploded.,0.0
00:00:29.109,00:00:32.270,In just nine hours he had reached 480 accounts.,0.1027
00:00:32.270,00:00:35.540,In 13 hours he was up to 8800.,0.0
00:00:35.540,00:00:40.650,"And in just over 18 hours he had hit a million accounts, which was a full 1/35th of all the",0.0
00:00:40.650,00:00:42.400,accounts on MySpace at the time.,0.0
00:00:42.400,00:00:45.220,"So in a panic, he tried to delete his page.",-0.552
00:00:45.220,00:00:50.560,And when he was successful he actually took down the whole of MySpace with it.,0.5859
00:00:50.560,00:00:54.440,He was arrested and convicted of computer hacking and ordered not to touch a computer,-0.4767
00:00:54.440,00:00:56.540,for the next three years.,0.0
00:00:56.540,00:01:03.190,But I think what this story really tells us is just how connected we all are.,0.0
00:01:03.190,00:01:08.690,Imagine you have 44 friends and each one of those friends has 44 friends who are not also,0.8519
00:01:08.690,00:01:09.870,your friends.,0.4767
00:01:09.870,00:01:14.940,"And each of them has an additional 44 friends, each of whom has 44 friends who again has",0.7351
00:01:14.940,00:01:18.160,44 friends and they have 44 more.,0.4767
00:01:18.160,00:01:24.610,Then in a chain of just six steps you would be connected to 44 to the sixth or 7.26 billion,0.0
00:01:24.610,00:01:28.890,"people, more than are alive on earth today.",0.4336
00:01:28.890,00:01:34.280,And we have contemplated how closely connected we area since long before MySpace even existed.,0.0
00:01:34.280,00:01:40.550,Back in 1929 a Hungarian author and poet named Frigyes Karinthy wrote a short story called,0.0
00:01:40.550,00:01:41.550,Chains.,0.0
00:01:41.550,00:01:45.420,"And in it, one of the characters challengers the others to find another person on earth",0.1027
00:01:45.420,00:01:49.870,that he cannot connect himself to through fewer than five intermediaries.,0.0
00:01:49.870,00:01:54.240,This is the origin of six degrees of separation.,0.0
00:01:54.240,00:01:58.799,"If the theory is correct, it means that you would be connected to the Queen or Tom Cruise",0.0
00:01:58.799,00:02:00.620,in just six steps.,0.0
00:02:00.620,00:02:02.420,But they may be the easy ones.,0.5927
00:02:02.420,00:02:07.020,What about this shop owner or the Mongolian sheep herder?,0.0
00:02:07.020,00:02:10.340,What the theory really means is that any two people picked at random from anywhere on the,0.0
00:02:10.340,00:02:13.670,earth would be connected by just six steps.,0.0
