Start Time,End Time,Text,sentiment-score
00:00:02.040,00:00:04.700,"Uh, we are driving to a very strange location",-0.2716
00:00:04.780,00:00:06.000,somewhere I have never been,0.0
00:00:06.460,00:00:08.780,and it's because of the woman in the back seat,0.0
00:00:09.340,00:00:11.560,"This is Dianna, 'Physics Girl'",0.0
00:00:12.340,00:00:17.660,"Yeah, uh, we are gonna go get a consultation, for something very special, right now",0.6361
00:00:18.180,00:00:20.160,"It is... look, I'm not gonna keep in suspense",0.0
00:00:20.720,00:00:22.300,Laser hair removal.,0.0
00:00:22.300,00:00:26.340,We wanna talk about the science that makes laser hair removal work.,0.0
00:00:26.340,00:00:29.800,"I told him about this idea last, like, probably a year ago",0.3612
00:00:29.940,00:00:33.080,and then I was gonna do it in July or August,0.0
00:00:33.180,00:00:36.040,I've been waiting for this moment,0.0
00:00:36.840,00:00:38.120,Now I'm scared.,-0.4404
00:00:38.200,00:00:39.680,Now you're scared?,-0.4404
00:00:39.800,00:00:40.440,Here we go,0.0
00:00:42.840,00:00:44.500,"Oh, yes",0.4019
00:00:46.700,00:00:50.000,"-Aw, it stinks, man -It went directly into your nose",-0.25
00:00:50.000,00:00:50.800,Yeah it did,0.296
00:00:50.800,00:00:51.820,"It's called a ""laser plume""",0.0
00:00:52.020,00:00:55.340,"-Laser plume? Is that the smoke that comes out? -It's actually a word for it. That's the smoke, yeah.",0.3736
00:00:55.660,00:00:56.660,How was that shot?,0.0
00:01:07.560,00:01:11.320,"The laser we are using has a wavelength of 1064 nanometers,",0.0
00:01:11.380,00:01:15.540,"meaning it is infrared radiation, invisible to the naked eye.",0.0
00:01:18.920,00:01:22.540,"But without an infrared filter, the camera's sensor picks up the laser pulses,",0.0
00:01:22.540,00:01:27.560,"which in my case were six at a time, each one lasting about one and a half miliseconds.",0.0
00:01:28.040,00:01:31.300,We dialed it up a little. We dialed it up just a tap though.,0.0
00:01:31.300,00:01:32.200,-Nice -Ready?,0.6486
00:01:32.200,00:01:36.180,The laser will now deliver 25 joules of energy per square centimeter.,0.2732
00:01:36.280,00:01:37.060,That was beautiful,0.5994
00:01:37.060,00:01:37.980,"Ohhhhhh, wow!",0.6239
00:01:40.180,00:01:41.540,Now we're talking,0.0
00:01:44.560,00:01:46.780,"Wow, oh my God",0.7096
00:01:47.620,00:01:50.340,"-That is insane -There's five bursts, did you see that?",-0.4019
00:01:50.660,00:01:59.700,"Yeah, it looks like, like, a shootout at the O.K. Corral. That's what that looks like. All the hairs are just getting, like, slaughtered.",0.8807
00:01:59.920,00:02:01.040,That is amazing!,0.6239
00:02:01.460,00:02:03.600,That is an awesome shot.,0.6249
00:02:03.860,00:02:05.300,That's really slick.,0.0
00:02:15.180,00:02:19.040,I had no idea that it was a shootout at the O.K. Corral!,-0.3595
00:02:19.040,00:02:22.880,"That makes me really, kinda, reignites my excitement about my job.",0.4472
00:02:22.880,00:02:24.240,That's awesome!,0.6588
00:02:24.240,00:02:26.220,I'm gonna get even closer on this next one.,0.0
00:02:26.320,00:02:27.180,That'll be cool.,0.3182
00:02:52.240,00:02:54.480,So what's actually going on here?,0.0
00:02:54.820,00:02:58.480,"Well dark eyes, skin, and hair contain a molecule called melanin,",0.2732
00:02:58.860,00:03:04.300,"and melanin absorbs a wide range of wavelengths of light, especially in the ultraviolet part of the spectrum,",0.0
00:03:04.300,00:03:10.440,"and this makes it an ideal shield against the sun's harmful rays, which is why you get a tan when you go out in the sun.",0.5267
00:03:10.440,00:03:14.380,That's your body producing and releasing more melanin in the skin.,0.0
00:03:14.380,00:03:20.280,"But, the idea with laser hair removal is to get the melanin in dark hairs to absorb the laser light",0.0
00:03:20.280,00:03:23.000,without the skin around it absorbing much of that energy.,0.2732
00:03:23.000,00:03:27.060,"So, it actually works best if you have really dark hairs and light skin.",0.6369
00:03:27.840,00:03:31.940,Infrared lasers are commonly used because melanin absorbs in this part of the spectrum,0.0
00:03:32.040,00:03:35.880,more than other common molecules in the skin like water and oxyhemoglobin.,0.3612
00:03:36.200,00:03:40.480,"Red lasers, at 755nm, are also often used for the same reason.",0.0
