Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:02.860,Is there water on the Moon,0.0
00:00:02.860,00:00:06.340,The obvious answer seems to be No. because during a day,0.0
00:00:06.340,00:00:08.460,"on the Moon, which lasts 2 earth weeks,",0.0
00:00:08.460,00:00:10.840,the temperature on the lunar surface,0.0
00:00:10.840,00:00:13.820,"gets up to 123 degrees celsius,",0.0
00:00:13.830,00:00:16.420,which would be enough to boil away any water,0.0
00:00:16.420,00:00:18.820,"if the Moon had an atmosphere like Earth,",0.3612
00:00:18.820,00:00:20.020,which it doesn't.,0.0
00:00:20.020,00:00:22.060,And the reason that it doesn't,0.0
00:00:22.060,00:00:24.400,"is because the Moon's gravity is weak,",-0.4404
00:00:24.400,00:00:27.060,"just a sixth of Earth's gravity, which means",0.0
00:00:27.060,00:00:29.099,it can't hold onto light fast moving,0.0
00:00:29.099,00:00:31.380,molecules like water. Anything going,0.3612
00:00:31.380,00:00:33.570,faster than 2.4 kilometers per second,0.0
00:00:33.570,00:00:36.000,the Moon's escape velocity is gone.,0.1779
00:00:36.000,00:00:37.800,"But that might sound pretty quick, but at any",0.6486
00:00:37.800,00:00:39.360,given temperature there are always a,0.0
00:00:39.360,00:00:41.120,small number of molecules going,0.0772
00:00:41.120,00:00:43.880,significantly faster than the average.,0.0
00:00:43.890,00:00:44.520,On the Moon,0.0
00:00:44.520,00:00:46.530,these molecules flap into space and then,0.0
00:00:46.530,00:00:48.660,other molecules take their place until,0.0
00:00:48.660,00:00:51.059,all the light fast moving molecules,0.0
00:00:51.059,00:00:51.840,are gone.,0.0
00:00:51.840,00:00:53.730,"Plus, since the Moon has a very weak",-0.4927
00:00:53.730,00:00:55.469,"magnetic field, there's little to protect",0.323
00:00:55.469,00:00:56.969,the lunar surface from the solar wind.,0.0
00:00:56.969,00:00:59.010,That's the stream of charged particles,-0.2023
00:00:59.010,00:01:01.800,coming from the Sun. These particles can,0.0
00:01:01.800,00:01:03.870,effectively blast molecules from the,0.4404
00:01:03.870,00:01:06.119,surface of the Moon into space.,0.0
00:01:06.119,00:01:09.139,In fact that's how Mars lost most of its atmosphere.,-0.3182
00:01:09.140,00:01:10.460,"So in short, if the Moon ever",0.0
00:01:10.470,00:01:13.880,"had any water, it should be long gone by now.",0.0
00:01:13.880,00:01:15.500,And this appeared to be confirmed by,0.0
00:01:15.509,00:01:17.369,the Moon landings. Rock samples brought,0.0
00:01:17.369,00:01:19.249,back by Apollo astronauts,0.0
00:01:19.249,00:01:22.149,contained virtually no hydrated minerals.,-0.296
00:01:22.149,00:01:24.420,Some water was detected but it was assumed,0.0
00:01:24.420,00:01:26.490,just to be terrestrial contamination,0.0
00:01:26.490,00:01:28.470,"rather than actual Moon water, because",0.0
00:01:28.470,00:01:29.939,seals on some of the sample-return,0.0
00:01:29.939,00:01:33.079,containers were damaged by the gritty moondust.,-0.4404
00:01:33.080,00:01:35.220,But in 2009 a very different,0.0
00:01:35.220,00:01:37.020,"picture emerged, when scientists",0.0
00:01:37.020,00:01:39.180,intentionally crashed part of a rocket,0.0
00:01:39.180,00:01:41.220,into the surface of the Moon.,0.0
00:01:41.220,00:01:43.160,It was going two point five kilometers per second,0.0
00:01:43.170,00:01:46.420,"on impact, making a crater 25 meters wide",0.0
00:01:46.420,00:01:48.340,and 4 meters deep.,0.0
00:01:48.340,00:01:51.380,"That injected 10,000 tons of material",0.0
00:01:51.380,00:01:53.900,with half of it making high enough to be lit,0.0
00:01:53.909,00:01:56.189,by the Sun. That allowed cameras on an,0.0
00:01:56.189,00:01:57.929,"orbiting spacecraft, to look for the",0.0
00:01:57.929,00:02:00.380,emission lines of water in the dust.,0.0
