Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:03.600,"For most of us, thinking is at least somewhat unpleasant.",-0.4228
00:00:03.600,00:00:05.500,"We try to avoid it, where possible.",-0.296
00:00:05.500,00:00:06.100,For example:,0.0
00:00:06.100,00:00:09.680,I asked these guys how long does it take for the earth to go around the Sun.,0.0
00:00:09.680,00:00:12.000,"- What do you reckon, cuz?",0.0
00:00:12.000,00:00:14.400,"- Isn't it 24 hours ? - Obviously a day, yes.",0.4019
00:00:14.400,00:00:15.440,Or take this problem,-0.481
00:00:15.440,00:00:18.120,which has been given to thousands of college students.,0.0
00:00:18.120,00:00:20.000,"You go into a toy store,",0.0
00:00:20.000,00:00:23.400,and there's a toy bat and a toy ball.,0.0
00:00:23.400,00:00:26.200,Together they cost 1.10$.,0.0
00:00:26.200,00:00:29.280,And the bat costs a dollar more than the ball.,0.0
00:00:29.280,00:00:31.000,How much does the ball cost ?,0.0
00:00:31.000,00:00:33.000,- Ten cents.,0.0
00:00:33.000,00:00:35.300,- We're all wrong aren't we?,-0.4767
00:00:35.300,00:00:37.260,- WHAT'S THE ANSWER ?,0.0
00:00:37.260,00:00:38.700,If you think about it for just a second,0.0
00:00:38.700,00:00:41.400,"it's obvious that the ball can't cost ten cents,",0.0
00:00:41.400,00:00:42.870,"because if it did, then the bat",0.0
00:00:42.870,00:00:44.550,would cost 1.10$ and the two items,0.0
00:00:44.550,00:00:46.500,together would cost 1.20$.,0.0
00:00:46.500,00:00:49.350,The correct answer is five cents.,0.0
00:00:49.350,00:00:51.600,"Now, the point of these questions is not that they're difficult.",0.2755
00:00:51.600,00:00:52.220,Any of these people,0.0
00:00:52.220,00:00:54.200,could have quickly check their answer if they wanted to.,0.0
00:00:54.200,00:00:56.860,The point is that they don't check,0.0
00:00:57.100,00:00:59.220,because thinking is uncomfortable.,-0.3818
00:00:59.620,00:01:00.660,It takes effort.,0.0
00:01:05.180,00:01:07.520,"- Hey, the Earth doesn't take one day to get around the Sun.",0.0
00:01:09.780,00:01:10.720,- Takes like a year!,0.4199
00:01:12.760,00:01:13.680,[LAUGHS],0.4939
00:01:13.860,00:01:16.120,"Now, I think it would be easy to put these mistakes down to",0.1027
00:01:16.120,00:01:16.960,"stupidity,",-0.4404
00:01:17.200,00:01:20.440,"and believe that you, being much smarter, could never fall into such traps.",0.4588
00:01:20.440,00:01:22.680,But then I think you'd be fooling yourself.,-0.5499
00:01:22.980,00:01:26.260,I think these examples reveal blind spots in all of our thinking,-0.4019
00:01:26.260,00:01:28.900,due to the fundamental way that our brains work .,0.0
00:01:28.940,00:01:30.400,"Now, one way of modeling how the brain",0.0
00:01:30.400,00:01:32.380,operates is as though there are two,0.0
00:01:32.380,00:01:33.940,systems at work,0.0
00:01:33.940,00:01:35.500,psychologists call them system one and,0.0
00:01:35.500,00:01:37.600,system two but maybe it's useful to,0.5927
00:01:37.600,00:01:39.490,think of them as characters so let's,0.0
00:01:39.490,00:01:42.070,call system one Gun and system two Drew.,-0.34
00:01:42.070,00:01:44.830,You are Drew. he represents your,0.0
00:01:44.830,00:01:47.000,"conscious thought,  the voice in your head.",0.0
00:01:47.000,00:01:49.479,"&lt;Drew&gt;""I am who you think you are""",0.0
00:01:49.479,00:01:51.700,he's the one capable of following instructions.,0.3818
00:01:51.700,00:01:53.900,He can execute a series of steps.,0.0
00:01:53.900,00:01:57.260,"If you are asked to calculate 13 x 17 in your head, for example,",0.0
00:01:57.260,00:01:58.700,he is the one who has to do it.,0.0
00:01:58.700,00:02:00.500,"&lt;Drew&gt;""can just use my calculator?""",0.0
00:02:00.520,00:02:03.820,"no...&lt;Drew&gt;""all right, um, seventeen times....""",0.0
00:02:03.820,00:02:04.780,Drew is lazy,-0.3612
00:02:04.780,00:02:06.600,it takes effort to get Drew to do anything,0.0
00:02:06.600,00:02:09.100,"and he is slow but he's the careful one,",0.2263
00:02:09.100,00:02:12.040,capable of catching and fixing mistakes...,0.0258
00:02:13.100,00:02:14.400,"&lt;Drew&gt;""221"".",0.0
00:02:14.600,00:02:16.200,Now meet system one Gun.,-0.34
00:02:16.400,00:02:17.900,"He is incredibly quick,",0.0
00:02:18.100,00:02:19.720,which he needs to be since he's constantly,0.0
00:02:19.720,00:02:21.100,processing copious amounts of,0.0
00:02:21.100,00:02:22.390,information coming in through your,0.0
00:02:22.390,00:02:24.730,senses. He picks out the relevant bits,0.0
00:02:24.730,00:02:27.519,"and discard the rest, which is most of it,",-0.25
00:02:27.519,00:02:30.010,"and he works automatically without you,",0.0
00:02:30.010,00:02:32.290,"Drew,  being consciously aware of what",0.0
00:02:32.290,00:02:34.480,he is doing. For example when you spot,0.0
00:02:34.480,00:02:36.370,them text he reads it before you can,0.0
00:02:36.370,00:02:37.959,even decide whether or not you want to,-0.0572
00:02:37.959,00:02:38.709,read it,0.0
00:02:38.709,00:02:41.590,"Gun fills in the gaps. For example, what",-0.34
00:02:41.590,00:02:42.700,does this say?,0.0
00:02:42.700,00:02:45.250,"Did you notice that the ""H"" in 'the'",0.0
00:02:45.250,00:02:47.500,'A' in 'cat' are actually the same symbol,0.0
00:02:47.500,00:02:49.209,but you had no trouble reading it,0.438
00:02:49.209,00:02:51.130,"because Gun made the correct, automatic,",-0.34
00:02:51.130,00:02:53.620,"assumption, so although Drew is unaware",-0.2023
00:02:53.620,00:02:55.510,"of what Gun is doing,  its Guns",-0.34
00:02:55.510,00:02:57.310,perceptions that become the basis for,0.0
00:02:57.310,00:02:59.560,your conscious thoughts.  The way I like,0.3612
00:02:59.560,00:03:00.310,to think of it,0.0
00:03:00.310,00:03:02.110,each of these characters is related to,0.0
00:03:02.110,00:03:04.540,"one of your main memory structures,  Guns",0.0
00:03:04.540,00:03:06.580,automatic responses are made possible by,0.0
00:03:06.580,00:03:08.470,"long-term memory, the library of",0.0
00:03:08.470,00:03:10.000,experiences you've built up over your,0.0
00:03:10.000,00:03:12.640,"lifetime.  In contrast, Drew exists",0.0
00:03:12.640,00:03:14.770,entirely within working memory so he's,0.0
00:03:14.770,00:03:16.870,only capable of holding four or five,0.3818
00:03:16.870,00:03:17.950,novel things in mind,0.3182
00:03:17.950,00:03:19.660,at a time.  This is perhaps one of the,0.0
00:03:19.660,00:03:21.760,best-known findings from psychology.  That,0.0
00:03:21.760,00:03:23.709,our capacity to hold and manipulate,0.0
00:03:23.709,00:03:25.660,novel information is incredibly limited,0.0276
00:03:25.660,00:03:27.879,like when trying to remember a string of,0.3612
00:03:27.879,00:03:34.989,"random numbers.  ""6 7    5 5  3        1""",0.0
00:03:34.989,00:03:38.500,(offscreen)Yes!   But we are able to overcome these,0.0
00:03:38.500,00:03:39.880,limitations if the information is,0.0
00:03:39.880,00:03:42.160,"familiar to us. For example, let me give",0.0
00:03:42.160,00:03:47.019,"you four random digits ""7102"".  Now these would",0.0
00:03:47.019,00:03:48.519,normally take up most of your working,0.0
00:03:48.519,00:03:50.890,"memory capacity just to remember, but, if",0.0
00:03:50.890,00:03:53.860,"you reverse them, 2017, there now just one",0.0
00:03:53.860,00:03:56.200,thing the present year the process of,0.0
00:03:56.200,00:03:57.610,grouping things together according to,0.0
00:03:57.610,00:03:58.959,your prior knowledge is called chunking,0.0
00:03:58.959,00:04:00.880,and you can actually hold four or five,0.0
00:04:00.880,00:04:03.069,chunks in working memory at once.  So the,0.0
00:04:03.069,00:04:04.209,larger the chunks,0.0
00:04:04.209,00:04:05.620,the more information you can actively,0.3182
00:04:05.620,00:04:08.590,"manipulate at one time.  Learning is then,",0.0
00:04:08.590,00:04:10.420,the process of building more and bigger,0.0
00:04:10.420,00:04:12.370,chunks by storing and further connecting,0.0
00:04:12.370,00:04:13.510,information in long-term memory,0.0
00:04:13.510,00:04:16.180,essentially passing off tasks from Drew,0.0
00:04:16.180,00:04:18.340,"to Gun.  But in order for this to happen,",-0.1779
