Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:02.010,Derek: A couple of years ago my friend Destin,0.4939
00:00:02.010,00:00:04.020,and I wanted to definitively answer the,0.0
00:00:04.020,00:00:06.029,question: does water actually swirl the,0.0
00:00:06.029,00:00:07.859,opposite direction down the drain in the,0.0
00:00:07.859,00:00:09.570,"other hemisphere? At the time, I was",0.0
00:00:09.570,00:00:11.580,"living in Sydney, Australia, and Destin",0.0
00:00:11.580,00:00:13.440,"was in Huntsville, Alabama. Those are",0.0
00:00:13.440,00:00:15.210,"about the same latitude, just opposite",0.0
00:00:15.210,00:00:17.730,"sides of the Equator, so we created two",0.3134
00:00:17.730,00:00:19.050,videos that were meant to be watched,0.0
00:00:19.050,00:00:20.550,"simultaneously, and if you want to",0.0772
00:00:20.550,00:00:22.350,"synchronize them yourself, you can click",0.0
00:00:22.350,00:00:24.090,"the link in the description, but we also",0.0
00:00:24.090,00:00:25.680,recognize that that was a hassle for,0.0
00:00:25.680,00:00:27.390,"some people, particularly watching on",0.0
00:00:27.390,00:00:29.460,"mobile devices, and that's why I'm now",0.0
00:00:29.460,00:00:32.189,releasing this extra wide video of both,0.0
00:00:32.189,00:00:35.579,videos synchronized. The Simpsons did a,0.0
00:00:35.579,00:00:37.739,whole episode based on toilet flushing,0.0
00:00:37.739,00:00:40.079,"the opposite direction in Australia. Plus,",0.0
00:00:40.080,00:00:42.390,other shows have supposedly demonstrated,0.0
00:00:42.390,00:00:43.560,this effect.,0.0
00:00:43.560,00:00:45.210,Destin: So I have seen documentaries,0.0
00:00:45.210,00:00:46.500,that seemed to indicate that which,0.0
00:00:46.500,00:00:48.149,hemisphere you're in determines which,0.0
00:00:48.149,00:00:49.680,"way the water is going to swirl, but",0.0
00:00:49.680,00:00:51.270,"there's this other group of people, and",0.0
00:00:51.270,00:00:52.920,they seem really confident that it,0.5413
00:00:52.920,00:00:54.320,"doesn't matter where you're at, the",-0.0191
00:00:54.320,00:00:57.000,water's going to swirl however it wants.,0.0
