Start Time,End Time,Text,sentiment-score
00:00:00.020,00:00:03.880,"I'm here at the National Institute for Standards and Technology, and",0.0
00:00:03.960,00:00:08.480,I'm about to see some of the original kilogram standards. Is that right?,0.3182
00:00:08.520,00:00:09.360,"Patrick: You are, you are.",0.0
00:00:09.360,00:00:11.100,When were these made?,0.0
00:00:11.100,00:00:15.600,Well the originals were made in the 1880s.,0.2732
00:00:15.600,00:00:18.600,There were 40 of them that were brethren of the,0.0
00:00:18.600,00:00:20.280,International prototype kilogram,0.0
00:00:20.280,00:00:23.550,and these 40 were distributed to the signatories,0.0
00:00:23.550,00:00:26.070,of the Treaty of the meter and the,0.0
00:00:26.070,00:00:30.780,"United States was given two, K4 and K20.",0.4215
00:00:30.980,00:00:33.840,What was this meter agreement?,0.4939
00:00:33.840,00:00:34.578,The treaty of the meter?,0.0
00:00:34.578,00:00:35.100,"Yeah, what is that?",0.296
00:00:35.100,00:00:38.640,It's the modern-day foundation of the metric system.,0.0
00:00:38.640,00:00:40.379,So the U.S. signed that?,0.0
00:00:40.379,00:00:41.572,The U.S. signed it.,0.0
00:00:41.580,00:00:44.040,As if they were going to become metric?,0.0
00:00:44.140,00:00:44.640,Yes.,0.4019
00:00:45.700,00:00:48.800,A little known secret and I'll tell you something else,0.0
00:00:48.800,00:00:50.610,that all the units that we commonly use,0.0
00:00:50.610,00:00:55.280,like feet and gallons and so on are,0.3612
00:00:55.280,00:00:58.740,actually defined in terms of metric units.,0.0
00:00:58.740,00:01:00.440,So it's just a little translation,0.0
00:01:00.449,00:01:02.070,that we do here but our country is,0.0
00:01:02.070,00:01:03.520,actually on the metric system.,0.0
00:01:05.420,00:01:07.040,[Laughter],0.4939
00:01:07.040,00:01:08.740,Doesn't that seem crazy?,0.2584
00:01:09.080,00:01:09.580,Yes!,0.4574
00:01:09.580,00:01:13.700,Isn't that insane that like you base all of these measurements on the metric,0.5801
00:01:13.710,00:01:15.630,system and then you add a conversion,0.0
00:01:15.630,00:01:18.090,factor and then later some people have,0.0
00:01:18.090,00:01:18.800,to convert back.,0.0
00:01:18.880,00:01:19.560,"Yes, it's stupid.",-0.1779
00:01:20.200,00:01:22.460,[Laughter],0.4939
00:01:22.520,00:01:23.880,Are you allowed to say that?,0.0
00:01:24.060,00:01:25.040,It's true.,0.4215
00:01:27.000,00:01:27.740,So can we see it?,0.0
00:01:27.740,00:01:28.280,sure sure,0.5574
00:01:28.500,00:01:29.360,What do we have to do?,0.0
00:01:29.640,00:01:31.560,This requires that we go through,0.0
00:01:31.560,00:01:33.720,some high-security gear and also that,0.0
00:01:33.720,00:01:36.450,would be somewhat clean in what we do,0.3415
00:01:36.450,00:01:38.610,so I'll have to ask you to put on some,0.0
00:01:38.610,00:01:39.234,booties here.,0.0
00:01:39.234,00:01:40.530,Let me see if I can do this,0.0
00:01:40.530,00:01:43.460,"all right so, did I do it?",0.0
00:01:43.460,00:01:44.340,"Yep, there you go.",0.296
00:01:44.340,00:01:46.400,"straight back, all the way there you go.",0.2263
00:01:46.820,00:01:47.640,This is the first,0.0
00:01:47.640,00:01:50.593,BootieButler that I've ever...,0.0
00:01:50.600,00:01:52.060,I'm a big fan.,0.3182
00:01:54.980,00:01:56.580,This is the first layer.,0.0
00:02:00.240,00:02:01.500,Secret code,0.0
00:02:05.800,00:02:07.240,I'm going to show you two I'm going to,0.0
00:02:07.250,00:02:08.540,show you one of the originals and I'm,0.0
00:02:08.540,00:02:12.160,going to show you a more modern version,0.0
00:02:12.740,00:02:13.980,This is K 20.,0.0
00:02:14.280,00:02:17.260,Oh my goodness that is like the,0.6705
00:02:17.260,00:02:19.420,original kilogram mass standard of the US.,0.3182
00:02:19.580,00:02:20.480,That's right.,0.0
00:02:22.860,00:02:23.960,I never thought I would,0.0
00:02:23.960,00:02:25.100,get this close to it,0.0
00:02:25.100,00:02:26.870,virtually every mass that has been,0.0
00:02:26.870,00:02:28.550,accurately weighed in the US over the,0.0
00:02:28.550,00:02:30.830,past hundred and thirty years can trace,0.0
00:02:30.830,00:02:32.780,its measurement back to this one,0.0
00:02:32.780,00:02:35.980,kilogram hunk of 90 percent platinum 10 percent iridium.,0.0
00:02:35.980,00:02:37.730,Iridium makes the alloy much,0.0
00:02:37.730,00:02:39.560,harder than pure platinum and both,0.0
00:02:39.560,00:02:40.850,elements were selected for their high,0.0
00:02:40.850,00:02:43.280,density and resistance to oxidation this,0.0
00:02:43.280,00:02:45.830,kilogram was created in the same way at,0.25
00:02:45.830,00:02:48.020,around the same time as an object which,0.0
00:02:48.020,00:02:50.630,to this day remains the definition of,0.0
00:02:50.630,00:02:52.700,the kilogram an identical cylinder,0.0
00:02:52.700,00:02:54.290,stored in a basement vault on the,0.0
00:02:54.290,00:02:55.880,outskirts of Paris.,0.0
00:02:55.920,00:02:57.020,If you look straight,0.2263
00:02:57.020,00:03:01.070,down from the top you can maybe see K 20,0.2023
00:03:01.070,00:03:03.050,doesn't have a very nice finish on it,0.4754
00:03:03.050,00:03:06.170,compared to the more modern prototypes,0.0
00:03:06.170,00:03:09.680,here's K 92 so it's got a much higher,0.0
00:03:09.680,00:03:12.769,polish on it different manufacturing,0.0
00:03:12.769,00:03:15.410,techniques absolutely no swirls it is a,-0.3597
00:03:15.410,00:03:17.480,really like beautiful looking specimen,0.7889
00:03:17.480,00:03:20.330,yes it is I mean is there a reason why,0.4019
00:03:20.330,00:03:22.820,you want it to look so beautiful?,0.7424
00:03:22.820,00:03:26.000,well you want it not to be very rough,0.34
00:03:26.000,00:03:28.610,because roughness increases surface area,0.0
00:03:28.610,00:03:31.010,surface area increases the probability,0.0
00:03:31.010,00:03:33.500,that you will get contaminants on that,0.0
00:03:33.500,00:03:35.989,will change the mass of the entire thing,0.0
00:03:35.989,00:03:37.670,how much is it worth,0.2263
00:03:37.670,00:03:42.220,well monetarily the new ones are about,0.2732
00:03:42.220,00:03:44.269,"$100,000 a piece if you were to buy one",0.0
00:03:44.269,00:03:47.570,oh my goodness so but if you think about,0.25
00:03:47.570,00:03:51.530,K 20 K for with about 130 years of,0.0
00:03:51.530,00:03:54.110,history they're priceless you could,0.0
00:03:54.110,00:03:55.970,never replace them the purpose of this,0.0
00:03:55.970,00:03:58.220,room then is to share the precise mass,0.296
00:03:58.220,00:03:59.989,of K 20 with anyone who wants to make a,0.0
00:03:59.989,00:04:02.840,measurement without sharing K 20 itself,-0.3252
00:04:02.840,00:04:06.140,what we do in this suite here is we,0.0
00:04:06.140,00:04:08.030,transfer the definition of the kilogram,0.0
00:04:08.030,00:04:10.670,from the platinum-iridium prototypes to,0.0
00:04:10.670,00:04:12.799,stainless steel secondary standards and,0.0
00:04:12.799,00:04:16.049,you can tell that they're a lot bigger,0.0
00:04:16.049,00:04:19.409,and the platinum-iridium prototypes and,0.0
00:04:19.409,00:04:21.599,that's because of the relative,0.0
00:04:21.599,00:04:23.520,difference in density the density of,0.0
00:04:23.520,00:04:27.659,stainless steel is about 8 grams per,0.0
00:04:27.659,00:04:30.000,cubic centimeter whereas the density of,0.0
00:04:30.000,00:04:34.530,platinum iridium is about 21.5 grams per,0.0
00:04:34.530,00:04:36.509,cubic centimeter so there's all of the,0.0
00:04:36.509,00:04:38.009,three times difference in density which,0.0
00:04:38.009,00:04:40.379,tells you why this is so much bigger in,0.0
00:04:40.379,00:04:42.389,volume and that creates a problem,-0.1531
00:04:42.389,00:04:44.400,ordinarily we don't worry much about the,0.3412
00:04:44.400,00:04:46.289,buoyant force that is the upward force,0.2263
00:04:46.289,00:04:48.419,on every object in the atmosphere equal,0.0
00:04:48.419,00:04:50.490,to the weight of air it displaces but,0.0
00:04:50.490,00:04:52.469,since the volumes of these masses are so,0.0
00:04:52.469,00:04:54.509,different a stainless steel object that,0.0
00:04:54.509,00:04:56.639,has around the same mass as k20 can have,0.0
00:04:56.639,00:04:58.409,its weight reduced due to buoyancy by,0.0
00:04:58.409,00:05:00.509,around 110 milligrams,0.0
