Start Time,End Time,Text,sentiment-score
00:00:00.123,00:00:04.547,- I am about to drive the world's first car.,0.0
00:00:04.547,00:00:08.728,"This was invented by Karl Benz, patented in 1886.",0.0
00:00:08.728,00:00:12.063,"Of course, this is not the real thing, this is a replica.",0.0
00:00:12.063,00:00:14.506,But I've partnered with Mercedes,0.0
00:00:14.506,00:00:17.427,to make a video about car safety.,0.4215
00:00:17.427,00:00:18.486,- Yeah. (laughs),0.6597
00:00:18.486,00:00:19.319,- Right?,0.0
00:00:19.319,00:00:20.195,There's not a lot of safety here.,0.4215
00:00:20.195,00:00:21.495,Safety would come later.,0.4215
00:00:21.495,00:00:22.431,You ready?,0.3612
00:00:22.431,00:00:23.325,- Yeah!,0.3595
00:00:23.325,00:00:24.158,I trust you.,0.5106
00:00:24.158,00:00:26.960,(engine sputters slowly),0.0
00:00:26.960,00:00:28.233,Awesome!,0.6588
00:00:28.233,00:00:32.213,- I'm driving the world's first motor vehicle.,0.0
00:00:32.213,00:00:36.754,"When he made his patent, what did he call this invention?",0.0
00:00:36.754,00:00:38.341,- Patent Motorcar.,0.0
00:00:38.341,00:00:40.005,This is the gasoline tank.,0.0
00:00:40.005,00:00:42.214,The only place in Germany where you could actually buy,0.0
00:00:42.214,00:00:45.787,"ligroin, or gasoline, back then were pharmacies.",0.0
00:00:45.787,00:00:49.119,"They sold it not as a cough medicine, don't worry.",0.3412
00:00:49.119,00:00:52.046,"They sold it as a stain remover, a washing agent.",0.0
00:00:52.046,00:00:54.845,"In Germany, there's still a word, Waschbenzin,",0.0
00:00:54.845,00:00:57.117,"washing gasoline, but no one really knows",-0.4215
00:00:57.117,00:00:58.338,why it's called like that.,0.3612
00:00:58.338,00:01:00.126,Benz had an early thing for safety.,0.4215
00:01:00.126,00:01:01.788,"His ignition is a really modern one,",0.0
00:01:01.788,00:01:05.075,because in here there's a battery inside,0.0
00:01:05.075,00:01:06.903,which was fairly new back then.,0.0
00:01:06.903,00:01:11.090,"And, of course, igniting the gasoline oxygen fumes",-0.0258
00:01:11.090,00:01:14.445,with an electric spark is much safer than,0.5719
00:01:14.445,00:01:16.549,if you go with your lighter there,0.0
00:01:16.549,00:01:19.429,and you're trying to ignite a whole thing.,0.0
00:01:19.429,00:01:21.741,"Let's say the most important part, or course,",0.2716
00:01:21.741,00:01:23.324,is the cylinder with the piston.,0.0
00:01:23.324,00:01:25.644,And the piston moves front and back.,0.0
00:01:25.644,00:01:27.880,- This is a single cylinder engine.,0.0
00:01:27.880,00:01:29.342,"- Yeah, a single cylinder engine.",0.296
00:01:29.342,00:01:31.297,"This is the cooling water tank,",0.0
00:01:31.297,00:01:33.203,"and of course what's really important,",0.2716
00:01:33.203,00:01:34.761,it's the oil reservoir.,0.0
00:01:34.761,00:01:37.010,"Lubrication is really important, because you can see",0.2716
00:01:37.010,00:01:38.693,"everything's open here,",0.0
00:01:38.693,00:01:41.365,"and so all the time you lose a lot of oil,",-0.4019
