Start Time,End Time,Text,sentiment-score
00:00:00.030,00:00:03.870,"I'll explain more at the end, but let me set up this clip in five words:",0.0
00:00:04.720,00:00:06.960,"robot killers, Stephen Fry,",-0.6486
00:00:07.689,00:00:09.689,watch,0.0
00:00:10.179,00:00:13.979,Autonomous weapons have been described as the third revolution in warfare,-0.6249
00:00:14.650,00:00:17.459,after gunpowder and nuclear bombs.,0.0
00:00:18.130,00:00:22.350,They could mount rapid devastating attacks on a huge scale.,-0.7096
00:00:23.230,00:00:31.230,Thousands of experts including Elon Musk and Stephen Hawking have signed an open letter calling for a ban on the weapons.,-0.7579
00:00:38.110,00:00:43.380,They say drones that can autonomously find and eliminate people meeting certain criteria,0.2732
00:00:43.930,00:00:47.310,"are feasible within years, not decades",0.0
00:00:49.020,00:00:55.820,But calls for a ban have been rejected by the world's 10 largest military powers,-0.8847
00:00:56.160,00:01:00.980,and Musk has warned that international competition for AI superiority,0.0772
00:01:01.020,00:01:04.700,is the most likely cause of World War 3,-0.5994
00:01:05.620,00:01:08.960,"So, do we have a recipe for disaster?",-0.6249
00:01:10.020,00:01:12.020,Let's start with the current situation,0.0
00:01:12.760,00:01:19.860,During Obama's presidency the number of American troops in war zones dropped by around 90 percent,-0.5574
00:01:19.860,00:01:23.620,But there were ten times more drone strikes,-0.5672
00:01:23.620,00:01:28.100,Russia has multiple unmanned drone tanks in development,0.0
00:01:28.100,00:01:32.700,and completely autonomous armed vehicles guarding missile bases,0.0
00:01:33.500,00:01:38.960,America plans to enable its Abrams tanks to control robotic wingman vehicles,0.0
00:01:38.960,00:01:43.240,to attack the enemy while protecting the manned tank,-0.765
00:01:43.400,00:01:48.520,It is also considering a remote-controlled version of the high speed ripsaw vehicle,0.0
00:01:49.080,00:01:52.960,Air power is already used with relative impunity,0.0
00:01:53.140,00:01:59.200,And soon the fighters will use AI to control drone wingmen able to carry weapons,-0.4767
00:01:59.620,00:02:05.069,test air defenses and keep human pilots even further from danger,-0.4019
00:02:06.100,00:02:07.690,Around the world,0.0
00:02:07.690,00:02:12.690,anti-ballistic missile defenses and drones are diminishing nuclear deterrence,0.1779
00:02:14.040,00:02:21.680,This is the US Navy's new unmanned ship designed to hunt submarines and launch surface weapons,-0.4404
00:02:21.720,00:02:24.800,It will cost around 20 thousand dollars per day to operate,0.0
00:02:25.600,00:02:30.680,compared to 700 thousand dollars per day for a manned destroyer,-0.4588
00:02:31.060,00:02:37.820,In a simulation test with the Air Force Research Lab AI drones repeatedly defeated a human pilot,-0.4767
00:02:38.300,00:02:43.840,Former Air Force battle manager Jean Lee tried and failed to hit the drones,-0.7096
00:02:43.840,00:02:47.420,and was destroyed by them every time,-0.4939
00:02:47.580,00:02:51.140,He said they seemed to be aware of his intention,0.0
00:02:51.140,00:02:55.060,and reacted instantly to his movements and attacks,-0.4404
00:02:55.820,00:02:58.540,Autonomous weapons would be cheap to mass-produce,-0.4404
00:02:58.620,00:03:04.080,and may become available to terrorists and dictators on the black market,-0.6249
00:03:04.080,00:03:11.340,A recent report by the US defense Science Board called for immediate action to accelerate military AI development,0.128
00:03:11.340,00:03:14.680,and understand the capabilities of other powers,0.0
00:03:14.760,00:03:18.340,It also noted that commercial drones are rapidly improving,0.4215
00:03:18.340,00:03:22.620,and private AI firms are well ahead of the military,0.2732
00:03:23.980,00:03:29.980,Some argue AI will reduce accidental casualties by making fewer mistakes,-0.6369
00:03:30.100,00:03:32.860,If a soldier believes someone is a threat,-0.5267
00:03:32.860,00:03:35.880,their life depends on making a quick decision,0.0
00:03:36.260,00:03:43.820,A robot on the other hand could react a fraction of a second before it's fired on or even wait until it's attacked,-0.5267
00:03:44.140,00:03:51.280,"But the weapons could also be extremely effective at assassinations, subduing populations",-0.6914
00:03:51.280,00:03:55.500,and selectively killing particular ethnic groups,-0.6597
00:03:55.660,00:04:03.320,The second revolution in warfare brought the world close to World War 3 with the Cuban Missile Crisis,-0.8807
00:04:03.320,00:04:07.220,The third revolution may be even more volatile,0.0
00:04:07.400,00:04:12.780,We also need to plan for an even greater threat from AI itself,-0.2263
