Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:02.159,Is our food becoming less nutritious?,0.0
00:00:07.120,00:00:12.450,Many people claim that the nutrient content in our food has been decreasing over the decades.,0.0
00:00:12.460,00:00:16.500,"But is this really true, and should we be worried?",0.3269
00:00:16.560,00:00:21.800,"A study published in 2004 looked at 43 different common garden crops,",0.0
00:00:21.800,00:00:27.100,and how their nutritional value had changed between 1950 and 1999.,0.34
00:00:27.100,00:00:32.578,"Now, what they found was that on average, the protein content of those plants decreased by about 6%,",0.0
00:00:33.190,00:00:38.190,"Vitamin C decreased 15%, and vitamin B2 by a whopping 38 percent.",0.5267
00:00:38.710,00:00:43.259,They also noticed declines and minerals like iron and calcium.,0.3612
00:00:43.260,00:00:46.300,"Now, there is some debate around the numbers because, well,",0.2732
00:00:46.300,00:00:49.400,How well could we really have measured those nutrients back in 1950?,0.2732
00:00:49.469,00:00:57.059,"But there is still this concern that the food we're eating today might be less nutritious than, say, the same vegetables 50 years ago.",0.0
00:00:57.550,00:01:01.590,Several other recent studies also suggest a pattern is emerging.,0.0
00:01:02.260,00:01:06.540,"So if we're witnessing a nutrient collapse, what's causing it?",-0.4939
00:01:09.120,00:01:13.980,One factor that many people point to is depletion of the soils.,0.0
00:01:13.980,00:01:17.799,"Given plants to draw their nutrients up from the soil,",0.0
00:01:17.800,00:01:21.760,intense farming practices were thought to be the cause of nutrient depletion.,0.0772
00:01:22.840,00:01:28.100,"If you look at micronutrients, things like minerals, well, there are decreasing levels in plants.",0.5574
00:01:28.100,00:01:31.700,"But, farmers have always put a lot of effort into maintaining their soils,",0.0
00:01:31.700,00:01:36.100,"and using fertilizers to ensure that the plants have all the nutrients they need,",0.3818
00:01:36.400,00:01:39.000,which makes that argument less convincing.,-0.024
00:01:39.400,00:01:45.480,"We're still getting big plants, and they wouldn't grow that well if they didn't have the nutrients they need in the soil.",-0.2057
00:01:49.440,00:01:52.249,So why else might nutrients be declining?,0.0
00:01:53.240,00:01:56.400,One possibility is that it's selective breeding.,0.0
00:01:56.400,00:02:03.200,"If you look at crops like corn today, they're barely recognizable when you compare them to their ancestors,",0.3612
00:02:03.200,00:02:05.200,the wild corn from which these were bred.,0.0
00:02:06.900,00:02:08.690,"Basically since the advent of agriculture,",0.0
