Start Time,End Time,Text,sentiment-score
00:00:00.030,00:00:04.640,Recently I made a video about what the world looks like in the ultraviolet,0.3612
00:00:04.640,00:00:08.480,Some things look the same but generally it's hazier,0.0
00:00:08.480,00:00:10.920,sometimes light and dark are flipped,0.0
00:00:10.920,00:00:15.340,skin looks blotchier and fake teeth stand out,-0.4767
00:00:15.340,00:00:16.370,Whoa!,0.0
00:00:17.180,00:00:18.880,Smile for me,0.3612
00:00:18.880,00:00:20.080,Oh my goodness,0.4588
00:00:20.080,00:00:22.080,Are my teeth black?,0.0
00:00:25.360,00:00:27.680,Do you have a fake tooth baby?,-0.4767
00:00:27.680,00:00:28.920,--Yes --Which one?,0.4019
00:00:30.200,00:00:34.520,"but the idea for this video started a long time ago with a question I had which is,",0.0
00:00:34.520,00:00:38.260,How does non ionizing radiation like ultraviolet light,0.3612
00:00:38.260,00:00:41.080,like ultraviolet light damage skin and lead to cancer?,-0.7269
00:00:41.080,00:00:44.240,"I do like to tell people that if you want to see how good your skin could look,",0.6908
00:00:44.240,00:00:45.340,look at your butt,0.0
00:00:45.340,00:00:47.380,because that's an area that doesn't get sun,0.0
00:00:47.380,00:00:49.700,and even old people have perfect butts,0.5719
00:00:49.700,00:00:52.560,it's how your skin would age without the sun,0.0
00:00:52.560,00:00:56.840,"when I thought about what UV light must be doing to our cells and our DNA,",0.0
00:00:56.840,00:01:01.440,I imagined it would be getting in there and breaking all these bonds and that would be the problem,-0.4019
00:01:01.440,00:01:03.800,but in fact it's kinda the opposite,0.0
00:01:03.800,00:01:10.340,UV actually facilitates the formation of covalent bonds in our DNA that shouldn't be there.,0.0
00:01:10.340,00:01:15.020,It comes in and it kind of creates these unauthorized bonds between the bases,0.204
00:01:15.020,00:01:16.820,called pyrimidine dimers,0.0
00:01:16.820,00:01:20.440,instead of having them bonded across it bonds the one next to each other,0.0
00:01:20.440,00:01:21.980,if that makes sense. -- Oh. -- Yeah.,0.296
00:01:21.980,00:01:25.140,"so what happens is two thymines, which are side be side,",0.0
00:01:25.140,00:01:27.820,can actually get covalently bonded together,0.0
00:01:27.820,00:01:31.600,and that creates a lesion on the DNA you can think of it like a little bump,0.5574
00:01:31.600,00:01:34.540,that makes the DNA hard to read and work with,-0.1027
00:01:34.540,00:01:39.060,That's not enough in itself to cause skin cancer. If that were the case we would just be covered in skin cancers,-0.6597
00:01:39.060,00:01:41.820,then the next step is that we have to repair it,0.0
00:01:41.820,00:01:43.360,"and in the repair,",0.0
