Start Time,End Time,Text,sentiment-score
00:00:01.160,00:00:04.580,[Derek] How do you fix a brain that's not working properly?,0.0
00:00:04.580,00:00:08.080,"Well, until now the only real option has been to open up the skull,",0.2732
00:00:08.080,00:00:12.780,"implant electrical or optical fibers, or even remove parts of the brain.",0.0
00:00:12.780,00:00:19.360,"If you do something like surgery or ablation, even with ultrasound, that's an irreversible one-time procedure.",0.1779
00:00:19.360,00:00:21.800,But this scientist has a different idea.,0.0
00:00:21.800,00:00:22.740,Do you wanna introduce yourself?,0.0
00:00:22.740,00:00:26.620,"Yeah, sure. Yeah, I'm Mikhail Shapiro. Where should I look?",0.6908
00:00:26.620,00:00:28.200,"[Derek] You can look at me, yeah!",0.3595
00:00:28.200,00:00:31.940,"[Mikhail] Yeah, I'm Mikhail Shapiro. I'm a professor of chemical engineering at Caltech.",0.296
00:00:32.660,00:00:36.360,"Everything that we try to do is to make it non-invasive,",0.0
00:00:36.360,00:00:42.300,"meaning that we don't want to have any kind of surgery to open up the skull and implant an electrode,",-0.0572
00:00:42.300,00:00:46.440,or we don't want to have to open up the skull to shine light onto the neurons.,-0.0572
00:00:46.440,00:00:48.340,"We want to do it using sound waves,",0.0772
00:00:48.340,00:00:53.340,which is one of the few forms of energy that can be focused deep inside of the tissue,0.5719
00:00:53.340,00:00:57.000,"and can actually permeate through things like the skull, even the human skull.",0.3612
00:00:57.000,00:01:02.380,"This is a curved transducer, so you can see there is a slight curvature in it",0.0
00:01:02.380,00:01:09.620,that will cause the sound waves to get concentrated a few centimeters in front of the face of this transducer.,0.0
00:01:09.620,00:01:12.620,"[Derek] For now, the research is being conducted on mice,",0.0
00:01:12.620,00:01:19.960,"and the idea is to be able to turn on and off specific brain regions at will, without invasive surgery.",0.0
00:01:19.960,00:01:22.360,"[Mikhail] So the trick that we employ here,",-0.1226
00:01:22.360,00:01:28.300,"is that we take something that's traditionally been a really big problem in neuroscience drugs,",-0.4549
00:01:28.300,00:01:30.420,and we turn it into an advantage.,0.25
00:01:30.420,00:01:34.260,So the problem is that the brain has what's called the blood-brain barrier,-0.539
00:01:34.260,00:01:42.040,which lines the blood vessels of the brain and prevents molecules moving from the bloodstream into the brain.,0.0772
00:01:42.040,00:01:47.560,"[Derek] But in their procedure, they open the blood-brain barrier in carefully targeted regions of the brain.",0.0
00:01:47.560,00:01:50.760,"[Mikhail] So to do this, we introduce little bubbles into the blood stream.",0.0
00:01:50.760,00:01:51.780,[Derek] Air bubbles.,0.0
00:01:51.780,00:01:55.320,"[Mikhail] Bubbles of air, but they are safe bubbles.",0.5927
00:01:55.320,00:01:59.000,So this is an FDA-approved clinically used-,0.0
00:01:59.000,00:02:00.260,[Derek] Like tiny bubbles?,0.3612
00:02:00.260,00:02:02.160,[Mikhail] They're microns in scale.,0.0
00:02:02.160,00:02:03.640,[Derek] Okay. Tiny air bubbles.,0.2263
00:02:03.640,00:02:05.540,"[Mikhail] So tiny little air bubbles,",0.0
00:02:05.540,00:02:09.640,that we introduce into the into the bloodstream and so they're circulating everywhere.,0.0
00:02:09.640,00:02:16.600,"And then wherever we apply the ultrasound, the sound waves cause the bubbles to expand and contract in size,",0.3182
00:02:16.600,00:02:23.340,"and as they're doing that they push against the blood vessel walls, and kind of massage them open.",0.0
