Start Time,End Time,Text,sentiment-score
00:00:00.030,00:00:03.200,"Now, you may have seen this thumbnail on YouTube.",0.0
00:00:03.200,00:00:05.343,"I mean, I can actually basically guarantee",0.25
00:00:05.343,00:00:07.800,that YouTube has been shoving this in your face,0.0
00:00:07.800,00:00:10.680,"like, ""Click! Click! Click it again!""",0.5229
00:00:10.680,00:00:12.640,So you might be wondering why.,0.0
00:00:12.640,00:00:16.120,Why did this video in particular go viral?,0.0
00:00:16.120,00:00:19.720,"Well, that is what I'm gonna set out to explain in this video",0.2732
00:00:19.720,00:00:22.960,"but I'm gonna start with something that seems unrelated,",0.0
00:00:23.960,00:00:26.040,which is YouTuber burnout.,0.0
00:00:26.120,00:00:30.720,"Now, there's no secret, there have been a lot of YouTubers recently talking about burnout:",-0.296
00:00:30.720,00:00:34.700,"people like Casey Neistat, Superwoman, Ryan Higa, Grace Helbig,",0.6486
00:00:34.740,00:00:37.760,"and many, many, MANY more,",0.0
00:00:37.760,00:00:40.840,"and I think, when you have all of these people",0.0
00:00:40.840,00:00:45.400,"with different YouTube channels, different experiences, they're all saying something similar;",0.0
00:00:45.400,00:00:51.480,I think it's worth understanding that there may be sort of a common factor at play amongst all of them.,0.5106
00:00:51.480,00:00:57.040,So what I'm actually gonna present is a kind of theory of everything when it comes to YouTube;,0.0
00:00:57.040,00:01:01.320,"everything from YouTuber burnout, through to videos going viral;",0.0
00:01:01.320,00:01:04.600,why do videos go viral on the platform right now.,0.0
00:01:04.600,00:01:09.160,"Okay, so, you know, I think as a viewer your response to burnout might be to say,",0.2263
00:01:09.160,00:01:11.960,"""Well these YouTubers are just entitled"" or, ""They're soft""",0.4939
00:01:11.960,00:01:15.040,"or, you know, ""Boohoo, you have the best job in the world""",0.6369
00:01:15.040,00:01:19.200,"or your other response might be that burnout happens in every industry,",0.0
00:01:19.200,00:01:21.120,"so why should we care about this YouTuber thing,",0.4939
00:01:21.120,00:01:25.280,but I think that YouTuber burnout is a more specific phenomenon;,0.0
00:01:25.280,00:01:28.200,I think there's something particular going on here.,0.0
00:01:28.200,00:01:32.560,and it all starts with the YouTuber life cycle.,0.0
00:01:32.560,00:01:35.440,"I mean, if you think about a YouTuber who's complaining about burnout,",-0.2023
00:01:35.440,00:01:38.120,you know they've had some success on the platform,0.5719
00:01:38.120,00:01:41.080,"where their views are rising - and of course that's exhilarating,",0.4019
00:01:41.080,00:01:46.360,"it feels great and you're working pretty hard, but you're seeing it pay off,",0.431
00:01:46.360,00:01:50.080,and then at some point your views start to falter,0.0
00:01:50.080,00:01:54.200,so maybe you work a little bit harder but things don't really change,0.0
00:01:54.200,00:01:57.240,"and-and the views, you know, continue to fall.",0.0
00:01:57.240,00:02:00.840,I think there's a certain thing to do with the psychology of anchoring here.,0.2732
00:02:00.840,00:02:04.000,"You know, once you have a certain number of subscribers,",0.34
00:02:04.000,00:02:07.720,"then, you know, a hundred thousand views which might be amazing in the beginning",0.5859
00:02:07.720,00:02:10.080,feels like a horrible disappointment.,-0.6486
00:02:10.080,00:02:14.600,"So there's a real problem between sort of expectations and reality,",-0.4019
00:02:14.600,00:02:18.880,"and to me, this is a big part of why YouTuber burnout happens.",0.0
00:02:19.280,00:02:23.040,"Now, if you look at what the YouTubers are saying about this,",0.0
00:02:23.040,00:02:27.360,"you find that a lot of them are taking responsibility themselves,",0.0
00:02:27.360,00:02:31.800,"and they're also making some clear cause-and-effect relationships,",0.3818
00:02:31.800,00:02:36.000,which you know this kind of seemed to make sense:,0.0
00:02:36.000,00:02:41.600,"okay, so this idea we assume that views reflect something about video quality,",0.2263
00:02:41.600,00:02:43.520,"we kind of make that assumption,",0.0
00:02:43.520,00:02:48.120,"and so when there are, you know, fewer views taking place,",0.0
00:02:48.120,00:02:49.960,that means the video is lower quality.,-0.296
00:02:49.960,00:02:52.572,"This is just kind of, I think, instinctive,",0.5267
00:02:52.572,00:02:54.400,but I want to question that.,0.1154
00:02:54.400,00:02:58.120,I also want to question these YouTubers who essentially put the blame on themselves,-0.2732
00:02:58.120,00:03:02.000,"and say, you know, they're just not making as good videos anymore",-0.3412
00:03:02.000,00:03:05.000,"to me I think there's something else at play,",0.34
00:03:05.000,00:03:07.800,and it is the system.,0.0
00:03:07.920,00:03:10.860,"So, from time to time, I like to go over to Google Trends,",0.3612
00:03:10.920,00:03:13.320,where you can basically search any search term,0.0
00:03:13.320,00:03:17.720,"and see how much traffic there is, how many people are searching that term at any given time,",0.0
00:03:17.720,00:03:22.200,"and if you search for ""Veritasium"" basically since 2004",0.0
00:03:22.200,00:03:25.200,"you see, well,  this kind of curve,",0.2732
00:03:25.200,00:03:27.520,which might make you ask the question:,0.0
00:03:27.520,00:03:31.480,"""Where on the YouTuber life cycle do you think I am?"",",0.0
00:03:31.480,00:03:34.280,"and of course this little spike here is from my black hole videos,",0.0
00:03:34.280,00:03:38.800,this over here must be some Harry Potter fans who are bad at spelling.,-0.5423
00:03:38.800,00:03:40.800,"So this is how much people are searching for me,",0.0
00:03:40.800,00:03:45.720,"which I think kind of correlates to how much my videos are being shown on YouTube,",0.0
00:03:45.720,00:03:47.840,and how much people are watching them and enjoying them.,0.5267
00:03:47.840,00:03:54.080,Now let's look at a similar channel for comparison. How about the channel Numberphile?,0.0
00:03:54.080,00:03:56.040,"It's also an educational channel,",0.0
00:03:56.040,00:03:59.720,"but it's, uh, you know, very diff- made by very different people",0.0
