Start Time,End Time,Text,sentiment-score
00:00:00.030,00:00:01.100,I feel confident,0.4939
00:00:01.100,00:00:04.900,You're confident that I am NOT gonna be damaged?,0.6814
00:00:04.900,00:00:05.670,not permanently,0.0
00:00:05.670,00:00:07.220,okay,0.2263
00:00:07.220,00:00:10.860,let me back up for a moment. I want to talk about the properties of aerogel,0.0772
00:00:10.860,00:00:13.100,the world's lightest solid.,0.1531
00:00:13.100,00:00:14.549,What I'm gonna do is I'm gonna lean in so it's,0.0
00:00:14.549,00:00:17.460,coming in through this mic and then can you do that again yeah,0.296
00:00:18.260,00:00:20.240,this is what it sounds like,0.3612
00:00:20.880,00:00:22.460,that is weird,-0.1779
00:00:22.460,00:00:25.460,it has a metallic ring first recognized,0.0
00:00:25.460,00:00:30.380,by aerogel's inventor Samuel Kistler all the way back in 1931.,0.0
00:00:30.380,00:00:31.710,now aerogel is an,0.0
00:00:31.710,00:00:36.480,excellent thermal insulator but it's not the easiest material to work with can I,-0.165
00:00:36.480,00:00:44.010,try it sure oh I didn't I don't quite have the touch oh I can't I make it ring,0.3182
00:00:44.010,00:00:49.110,oh no look it didn't take a whole lot to break it right it breaks pretty easily,0.5267
00:00:49.110,00:00:54.030,so is there a way to take the extraordinary thermal insulation of,0.0
00:00:54.030,00:00:58.020,aerogel but make it more usable what I put together here is just a combination,0.0
00:00:58.020,00:01:03.750,of aerogel particles silica aerogel particles and a non-flammable binder and,0.0
00:01:03.750,00:01:06.180,you should be able to put it on your your skin and hit yourself with the,0.0
00:01:06.180,00:01:11.820,torch should right I'll give it a shot okay so you just take a little bit and,0.2263
00:01:11.820,00:01:15.090,squeeze it around your finger just around yeah just squeeze it around here,0.296
00:01:15.090,00:01:20.670,one finger a two fingers you want matter how's that am I am i doing it oh yeah,0.3818
00:01:20.670,00:01:23.670,that's that's yeah I'll be good just wanna make sure the fire when it goes,0.6124
00:01:23.670,00:01:27.299,around your finger doesn't hit the Bearskin seems like it's pretty thin,0.6908
00:01:27.299,00:01:33.180,around this finger tip here like how thick should it be you're making me,0.3612
00:01:33.180,00:01:37.880,nervous holding a blowtorch can I do the,-0.2732
00:01:37.880,00:01:41.220,blowtorching or you can do the blowtorching absolutely because I mean,0.0
00:01:41.220,00:01:47.430,if this is if this goes wrong so how hot is a blowtorch flame well it's really,-0.25
00:01:47.430,00:01:52.590,hard to tell but from our experience it's usually you know at least 1500,-0.0516
00:01:52.590,00:01:59.720,degrees C and can get as hot as 2000 so yeah this is very hot all right let's,0.4341
00:01:59.720,00:02:08.270,try it this is so wrong that little jittery pot there I you know it looks,-0.6113
00:02:08.270,00:02:14.200,like I'm toasting a marshmallow whoa why is it flaming like that and,0.6124
00:02:14.200,00:02:18.980,what is burning binder right now correct should people just hold the rate on,0.0
00:02:18.980,00:02:26.090,there it doesn't feel hot at all my finger does not feel hot at all,0.0
00:02:26.090,00:02:32.180,that is insane right there propriety I cannot believe how a little,-0.4019
00:02:32.180,00:02:38.690,warmth I feel passing through that the FLIR 10 2013 10 per ature ranges and,0.4588
00:02:38.690,00:02:43.790,here the aerogel is clearly hotter than the 160 degrees Celsius upper limit I,0.4019
00:02:43.790,00:02:49.640,mean it's glowing orange hot so it's clearly incredibly hot I mean if you can,0.4549
00:02:49.640,00:02:54.170,see the blackbody radiation you know that it's very hot so we went,0.0
00:02:54.170,00:03:05.510,"to the highest temperature range so this goes up to 2,000 Celsius 881 907 907 907",0.0
00:03:05.510,00:03:14.049,degrees Celsius that is absurd pretty good right in front of my finger,0.7269
00:03:14.049,00:03:22.939,what so this was was about almost a thousand Celsius but behind this thin,0.0
00:03:22.939,00:03:36.260,layer of aerogel my fingers are just just warm Wow I mean it is clear this,0.8074
00:03:36.260,00:03:41.209,stuff insulates this video is about taking air gels extraordinary properties,0.0
00:03:41.209,00:03:47.000,and improving on them for example I'm about to step into this pool without,0.4215
00:03:47.000,00:04:02.959,getting wet there's a layer of air there right next to my skin that thin layer of,0.0
00:04:02.959,00:04:07.790,air is what makes my skin looks silvery light from certain angles reflects off,0.2732
00:04:07.790,00:04:12.439,the water air interface in what's called total internal reflection that is very,0.0
00:04:12.439,00:04:18.010,strange this is a really cool effect I mean just besides the fact that I'm,0.2006
00:04:18.010,00:04:24.500,basically waterproof I feel like this extra air on me is making me more,0.3612
00:04:24.500,00:04:29.479,buoyant than usual let me try coming out by the water and,0.2263
00:04:29.479,00:04:32.320,see if I'm still dry,0.0
00:04:34.650,00:04:42.390,that is true I don't I don't really feel wet at all,0.4215
00:04:45.000,00:04:53.530,that was weird really weird so how did I make myself waterproof I did it with,-0.4005
00:04:53.530,00:05:01.420,aerogel particles by taking a bucket of them and coating myself with the tiny,0.0
00:05:01.420,00:05:06.430,best but this is a kind of strange way to become waterproof because normal,-0.0102
00:05:06.430,00:05:12.910,silica aerogel is hydrophilic there we go now this is a hydrophilic aerogel so,0.0
00:05:12.910,00:05:19.990,all those OAH groups inside the aerogel are absorbing the liquid and causing the,0.0
00:05:19.990,00:05:24.400,aerogel structure to collapse aerogel is really good at absorbing water for two,-0.0018
00:05:24.400,00:05:29.890,reasons first it contains a lot of surface area due to its nano scales,0.0
00:05:29.890,00:05:34.960,sponge-like structure an ice cube sized piece of aerogel contains half a,0.0
00:05:34.960,00:05:39.790,football field of surface area that makes it good at absorbing lots of,0.4404
00:05:39.790,00:05:43.480,molecules something scientists have sought to exploit my favorite,0.3818
00:05:43.480,00:05:47.410,application which I still think today is a good idea is what's the idea is a a,0.4404
00:05:47.410,00:05:52.900,physical insecticide so most insecticides work by being neurotoxins,0.0
00:05:52.900,00:05:57.280,they're called cholinesterase inhibitors it's the same mechanism as nerve gas and,-0.25
00:05:57.280,00:06:01.390,we spray this on crops and things but a physical insecticide works by basically,0.0
00:06:01.390,00:06:06.070,getting stuck to the outer skin of the insect and and basically sucking all the,-0.25
00:06:06.070,00:06:11.650,moisture the or the oils out of them to the point where they just sort of dry,0.0
00:06:11.650,00:06:16.450,out to death it's kind of like putting salt on a Sluggers yeah that's a very,-0.1263
00:06:16.450,00:06:19.870,good analogy exactly the other reason it's good at absorbing water,0.7003
00:06:19.870,00:06:24.940,specifically is because it's structure is covered with OAH groups which attract,0.3612
00:06:24.940,00:06:30.010,water molecules and that makes it ideal for use in museums in the past I've been,0.5267
00:06:30.010,00:06:35.410,working with a company in Italy called opium which makes Museum cases I mean,0.0
00:06:35.410,00:06:38.860,they made the case for Mona Lisa they are interested in putting aerogels in,0.4019
00:06:38.860,00:06:42.280,the cases because it's a passive moisture a regulator essentially once,0.2023
00:06:42.280,00:06:45.180,you have it inside if the moisture increases the original,0.3182
00:06:45.180,00:06:50.220,a lot of it if it decreases it releases some of it air gels ability to absorb is,0.3182
00:06:50.220,00:06:54.930,even being used right now to help detect Mars quakes these were the ones that,0.4019
00:06:54.930,00:07:00.570,were made for the NASA insight mission this aerogel looks like chalk because,0.3612
00:07:00.570,00:07:05.220,so-called zeolite particles are dispersed throughout it they can absorb,0.0
00:07:05.220,00:07:10.229,moisture even at very low pressures there's a seismometer that contains,-0.6087
00:07:10.229,00:07:14.639,three small seismometers and requires since they're so small they require,0.0
00:07:14.639,00:07:19.650,exceptional vacuum inside otherwise the motion get stamped so that's what we,0.0
00:07:19.650,00:07:23.520,developed this for the zoo lights were helping absorb the moisture,0.296
00:07:23.520,00:07:27.840,predominantly that was coming off of the hypotheses and gave me some gassing,0.0
00:07:27.840,00:07:32.039,different things so that is it's sort of maintaining the vacuum by keeping -,0.0
00:07:32.039,00:07:35.610,pulling things it's actually a vacuum ball if you think of it that way and,0.0
00:07:35.610,00:07:39.720,what's interesting about it is it does not require any power any consumptions,0.4019
00:07:39.720,00:07:44.449,very light so essentially this is what enabled the inside mission to work,0.0
