Start Time,End Time,Text,sentiment-score
00:00:00.960,00:00:04.200,"I'm at the Jet Propulsion Laboratory in Pasadena,",0.0
00:00:04.200,00:00:08.800,and I'm here to see the first drone that's gonna fly on another planet.,0.0
00:00:08.800,00:00:11.000,It's the Mars helicopter. Come on!,0.0
00:00:11.000,00:00:14.840,- So this is our baby.,0.0
00:00:14.840,00:00:15.800,- No way!,-0.3595
00:00:15.800,00:00:16.880,- Yeah.,0.296
00:00:16.880,00:00:22.600,- That thing right there is the actual machine that is going to take off and land on Mars.,0.0
00:00:22.600,00:00:26.560,It's going with the Mars 2020 mission. That is the Mars helicopter.,0.0
00:00:26.560,00:00:28.920,- This will be the first powered flight in another planet.,0.0
00:00:30.140,00:00:31.700,- How awesome is that?,0.6249
00:00:31.720,00:00:34.600,"Now it's necessary to say first powered flight,",0.0
00:00:34.600,00:00:39.920,"because in 1985, the Soviet Vega missions deployed two helium balloons on Venus.",0.0
00:00:39.920,00:00:46.960,"They transmitted data for over forty six hours while floating at an altitude of 54 kilometers in Venus's dense atmosphere,",0.0
00:00:46.960,00:00:51.320,which at the surface has a pressure of over 90 Earth atmospheres.,-0.296
00:00:51.320,00:00:56.560,"In contrast, Mars has very little atmosphere, only around 1% of Earth's.",0.0
00:00:56.560,00:01:05.480,- Flying this kind of helicopter is equivalent to flying a similar helicopter on Earth at a hundred thousand feet.,0.0
00:01:05.480,00:01:09.160,"So you don't know, you don't hear about many helicopters at a hundred thousand.",0.0
00:01:09.160,00:01:11.280,I think forty thousand feet is probably the record.,0.0
00:01:11.280,00:01:16.320,- I checked. Forty thousand feet is the record altitude reached by helicopters on Earth.,0.1027
00:01:16.320,00:01:19.720,"85,000 feet is the highest a plane has ever flown.",0.0
00:01:19.720,00:01:23.520,"On Mars, the air is even thinner than that.",0.0
00:01:23.520,00:01:26.560,- Right. In terms of density is 1% of what you have in this room.,0.0
00:01:26.560,00:01:30.560,"So in this room, a cubic meter of air is about a kilogram.",0.0
00:01:30.560,00:01:35.680,- Yeah - The same cubic meter on Mars will be about 15 grams to 18 grams.,0.296
00:01:35.680,00:01:36.680,So that much,0.0
00:01:36.680,00:01:38.520,- So you have to push a lot of air down.,0.0
00:01:38.520,00:01:40.440,- Yes. You gotta get a lot of air flowing.,0.4019
00:01:40.440,00:01:45.400,"And so the obvious trick, if you will, is to spin the blades faster.",-0.1189
00:01:45.400,00:01:49.320,- It can spin between 2300 rpm and 2900 rpm.,0.0
