Start Time,End Time,Text,sentiment-score
00:00:00.030,00:00:05.920,"So, you think Planet 9 exists with 99.8% probability?",0.0
00:00:05.920,00:00:10.840,Something like that. Yeah maybe 99.. I'll push it higher. 99.9% probability.,0.5719
00:00:12.400,00:00:13.960,This is wishful thinking.,0.0
00:00:15.520,00:00:19.280,"It is. I mean if you're that sure, find it.",0.3182
00:00:19.280,00:00:22.080,"In the farthest reaches of our solar system,",0.0516
00:00:22.080,00:00:24.800,"way past Neptune and Pluto,",0.0
00:00:24.800,00:00:27.880,a ninth planet may be lurking.,-0.128
00:00:27.880,00:00:30.960,"It's predicted to have a mass five times that of Earth,",0.0
00:00:30.960,00:00:34.400,"and to orbit once every 10,000 years",0.0
00:00:34.400,00:00:38.040,"on a highly elliptical, inclined orbit",0.0
00:00:38.040,00:00:42.680,So why do some scientists suspect that such a strange object exists?,-0.4588
00:00:42.680,00:00:45.280,That's what I've come to Caltech to find out,0.0
00:00:45.280,00:00:46.600,Where do you like to do your work?,0.3612
00:00:46.600,00:00:49.600,You know I usually do it wherever,0.0
00:00:49.600,00:00:53.040,"Wherever I have a couple minutes of free time, I just do it",0.5106
00:00:53.040,00:00:55.920,So this is where a lot of it is done.,0.0
00:00:55.920,00:00:57.800,My name is Konstantin Batygin,0.0
00:00:57.800,00:01:01.240,I am a professor of planetary science at Caltech,0.0
00:01:01.240,00:01:08.360,"and I do all kinds of astrophysics-y, planetary studies",0.0
00:01:08.360,00:01:11.240,including stuff about planet 9,0.0
00:01:11.240,00:01:13.680,These are variable transformations,0.0
00:01:13.680,00:01:17.120,I'll tell you where the planet 9 boundary lies it's like that,-0.0772
00:01:17.120,00:01:19.960,So everything to the left of that is all planet 9,0.0
00:01:19.960,00:01:23.560,So I'm here to find out about hidden planets,0.0
00:01:23.560,00:01:25.840,and how to find hidden planets with math,0.0
00:01:25.840,00:01:26.480,okay,0.2263
00:01:26.480,00:01:31.240,So how do we do that I mean do you want to start at the beginning of this sort of endeavor,0.0772
00:01:31.240,00:01:33.960,or do you want to jump into planet 9? Where do you want to start?,0.2406
00:01:33.960,00:01:36.480,"Well, let's actually let's start at the beginning",0.2732
00:01:36.480,00:01:41.000,"because the beginning, it has a long and beautiful history to it",0.5994
00:01:41.000,00:01:45.200,"And its origins dates back to 1781, I believe",0.0
00:01:45.200,00:01:49.160,When Uranus was first discovered by Herschel,0.0
00:01:49.160,00:01:52.600,and when Herschel discovered Uranus he immediately realized,0.0
00:01:52.600,00:01:56.800,"that the star that was slowly moving across the sky,",0.0
00:01:56.800,00:01:59.720,had actually been imaged many many times before,0.0
00:01:59.720,00:02:07.880,and it was a matter of going back to old observations and kind of retracing the orbit that Uranus was following on on the sky,0.0258
00:02:07.880,00:02:16.240,and astronomers and mathematicians at the time immediately noticed that there was a problem with orbit of this newly discovered planet,-0.4019
00:02:16.240,00:02:19.360,It was deviating from where was supposed to be,0.0
00:02:19.360,00:02:23.000,but a French mathematician by the name of Urbain Le Verrier,0.0
00:02:23.000,00:02:27.320,eventually did this beautiful and very complicated set of calculations,0.6833
00:02:27.320,00:02:32.040,"that said, ""Okay, if there is a planet is there, Right?",0.2263
00:02:32.040,00:02:38.560,"in that part of the sky, then we can explain the anomalous motion of Uranus.""",0.0
00:02:38.560,00:02:42.960,"And when, once there was a mathematical prediction of where to look,",0.0
00:02:42.960,00:02:49.480,astronomers were then able to discover Neptune with basically pinpoint accuracy,0.0
00:02:49.480,00:02:51.640,how quickly did they find neptune?,0.0
