Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:02.300,"This video was sponsored by Fasthosts,",0.0
00:00:02.300,00:00:06.660,"who are offering UK viewers the chance to win a 5,000 pound tech bundle",0.7003
00:00:06.660,00:00:09.960,if you can answer my Techie Test question later in the show.,0.0
00:00:09.960,00:00:15.020,"On May 1st, 2015 a group of scientists predicted that the following November,",0.0
00:00:15.020,00:00:23.700,we would see a star go supernova billions of light years away in a spiral galaxy designated SP1149.,0.0
00:00:24.600,00:00:29.640,This was the first time anyone had ever tried to predict a supernova.,0.0
00:00:29.640,00:00:34.060,And for good reason: they are incredibly rare and unpredictable.,0.4404
00:00:34.660,00:00:37.600,"For a star larger than 8 times the mass of our sun,",0.0
00:00:37.600,00:00:40.480,a supernova marks the end of its life cycle.,0.0
00:00:40.480,00:00:45.040,"Running out of fuel in its core, the star collapses in on itself,",-0.296
00:00:45.040,00:00:49.740,"and then, in the ensuing crush of matter, it violently explodes.",-0.6486
00:00:50.480,00:00:53.600,A supernova can be as bright as a whole galaxy.,0.4404
00:00:53.600,00:00:57.500,"And importantly, the light emitted follows a predictable pattern:",0.3182
00:00:57.500,00:01:02.500,it glows brightly for weeks and then fades down over a period of months,0.3612
00:01:03.000,00:01:04.980,But supernovae are rare.,0.0
00:01:04.980,00:01:08.480,"In any galaxy of 100 billion stars or so,",0.0
00:01:08.480,00:01:12.120,you can expect on average only two per century.,0.0
00:01:12.120,00:01:15.460,So just try picking the star that is going to explode.,0.0
00:01:17.260,00:01:22.780,"Now, we can say how long a given star will live based on its mass, luminosity and color temperature.",0.0
00:01:22.780,00:01:26.660,These data pinpoint its stage of life in a predictable life cycle.,0.0
00:01:26.660,00:01:32.220,But the estimate of exactly when a large star will go supernova has big error bars.,-0.5499
00:01:32.220,00:01:36.960,"Take the red supergiant Betelgeuse, for example, in our own Milky Way Galaxy.",0.0
00:01:36.960,00:01:39.580,It is a great candidate to go supernova.,0.6249
00:01:39.580,00:01:43.680,Scientists think Betelgeuse will explode any day now in the next few...,0.0
00:01:43.680,00:01:45.500,hundred thousand years.,0.0
00:01:46.020,00:01:53.560,"When it does, it'll be so bright you can see it in the daytime, and it will rival the full moon’s brightness at night.",0.7462
00:01:54.140,00:01:59.860,"Compared to the lifespan of a star, a hundred thousand years is a brief window of time,",0.0
00:01:59.860,00:02:03.620,"but for us short-lived humans, it may as well be forever.",0.3919
00:02:04.260,00:02:09.860,So you might think it would have been a tough sell when the scientists who predicted we’d see a supernova in November 2015,-0.128
00:02:09.860,00:02:15.400,asked for time on the Hubble Space Telescope to take pictures of galaxy SP1149.,0.0
00:02:15.880,00:02:18.420,But their request was granted.,0.3612
00:02:19.100,00:02:23.740,They could image this part of the sky roughly once a month starting on October 30th.,0.0
00:02:24.400,00:02:28.100,"Before this, the galaxy was too close to the sun to point Hubble at it.",0.0
00:02:28.920,00:02:33.340,In this first image taken at the end of October there is no supernova.,-0.296
00:02:34.020,00:02:37.120,The next image was taken on Nov. 14,0.0
00:02:37.120,00:02:39.440,"Again, no Supernova.",-0.296
00:02:39.940,00:02:44.000,"But in third image, taken on Dec. 11th, jackpot.",0.0
00:02:44.000,00:02:49.540,There’s a supernova right where they predicted it would be and almost exactly when they said it would happen,0.0
00:02:50.520,00:02:54.500,"So how did they manage to predict a supernova, almost to the month?",0.0
00:02:55.060,00:03:00.000,Well the truth is they had seen this same exact supernova before.,0.5267
00:03:00.540,00:03:04.780,"Not once, not twice, but four additional times!",0.0
00:03:05.400,00:03:09.900,"A year earlier and five months before the predictions, Hubble took this image.",0.0
00:03:09.900,00:03:11.700,See those 4 bright dots?,0.4404
00:03:11.700,00:03:14.900,Those are multiple images of that same supernova.,0.0
00:03:14.900,00:03:18.220,The reason we see the same supernova in four different locations,0.0
00:03:18.220,00:03:22.300,is because there is a lens between us and the exploding star,0.0
00:03:22.720,00:03:26.540,not a lens made of glass of course but a gravitational lens,0.0
00:03:26.540,00:03:29.880,made of a huge amount of ordinary matter and dark matter.,0.3612
00:03:31.060,00:03:38.720,"Gravitational lensing tends to magnify distant sources and increase their apparent brightness, as rays of light become concentrated.",0.5994
00:03:38.720,00:03:45.120,"This smears the image of distant galaxies into arcs, strands, and all kinds of weird shapes.",-0.1779
00:03:45.120,00:03:48.620,"And of course, to some distant observer in another galaxy,",0.0
00:03:48.620,00:03:52.900,the light from our sun and Milky Way galaxy may be similarly warped,0.0
00:03:53.500,00:03:56.840,"In gravitational lensing, there are three essential components --",0.0
00:03:56.840,00:04:00.240,"the source, the lens, and the telescope.",0.0
00:04:00.240,00:04:03.040,"If the lens and the source are spherically symmetric,",0.0
00:04:03.040,00:04:07.140,"And if the source, lens, and telescope are all perfectly aligned,",0.6369
00:04:07.140,00:04:09.780,you get what’s known as an Einstein ring.,0.0
00:04:11.080,00:04:15.140,"The light from the source is bent around the lens, equally in all directions,",0.0
00:04:15.140,00:04:17.580,leading to the image of a smeared out ring.,0.0
00:04:19.060,00:04:23.460,"If the source and the lens are spherically symmetric, but are not perfectly aligned,",-0.6759
00:04:23.460,00:04:26.600,what we end up seeing is a break in the Einstein ring --,0.0
00:04:26.600,00:04:28.860,it splits into two semi-circles.,0.0
00:04:29.440,00:04:34.720,"And if the source, lens and telescope are aligned but the lens is not axially symmetric",0.0
00:04:34.720,00:04:37.540,for example it could have an elliptical shape -,0.0
00:04:37.540,00:04:42.700,"then you get four images in the shape of a cross, an Einstein cross.",0.0
00:04:43.620,00:04:46.440,So what happened to our supernova is,0.0
00:04:46.440,00:04:54.540,"9.3 billion years ago, a dying star in a galaxy far, far away went out with a bang as a supernova.",0.0
00:04:54.540,00:04:58.280,The explosion sent out a blast of light in all directions.,0.0
00:04:58.280,00:05:01.960,"About 5 billion years ago, before the Earth even existed,",0.0
00:05:01.960,00:05:06.780,that light encountered a very massive object that warped spacetime,0.0
00:05:06.780,00:05:14.580,it was a cluster of galaxies called MACS J1149.5+2223.,0.0
00:05:14.580,00:05:17.680,(I know that’s a mouthful. But the name just tells us,0.0
00:05:17.680,00:05:21.220,where in the sky it was discovered by the MAssive Cluster Survey.),0.0
