Start Time,End Time,Text,sentiment-score
00:00:05.140,00:00:10.680,"As of today, I have been making Youtube videos full-time for 10 years",0.0
00:00:10.680,00:00:13.310,"So to celebrate, I am answering your questions",0.6096
00:00:13.310,00:00:20.540,plus I'm giving away items like this beautiful spinning top from vorso and other items from my videos,0.884
00:00:20.540,00:00:21.970,so if you want to win one of those,0.6557
00:00:21.970,00:00:27.620,then write down the characters that will appear randomly in the top right corner of this video,0.2023
00:00:27.620,00:00:31.680,Those will be your password to the form in the description,0.0
00:00:31.680,00:00:32.910,so let's get into it,0.0
00:00:37.600,00:00:40.620,Why did you start doing youtube?,0.0
00:00:40.620,00:00:43.570,because I always wanted to be a filmmaker,0.0
00:00:43.570,00:00:47.370,"As a kid, I loved doing plays and musicals",0.7096
00:00:47.370,00:00:51.970,I had the most fun of my life when I was working with creative other people,0.7574
00:00:51.970,00:00:58.680,but I always thought that a career in the traditional film or tv industry was a terrible idea,-0.631
00:00:58.680,00:01:01.310,and like your life was out of your control,0.3612
00:01:01.310,00:01:06.420,It seemed to rely on a big break; I don't think those industries were meritocracies,0.0
00:01:06.420,00:01:11.860,"so for basically my whole life until I was 28, I did the safe thing",0.4404
00:01:11.860,00:01:13.690,And I studied engineering and physics,0.0
00:01:13.690,00:01:16.940,and did a PhD in physics and then I taught people physics,0.0
00:01:16.940,00:01:19.000,and I love science,0.6369
00:01:19.000,00:01:27.400,but I also love just the craft of putting together a film or a video and sending it out into the world,0.7783
00:01:27.400,00:01:28.970,and I think this makes a lot of sense,0.0
00:01:28.970,00:01:32.560,"because I liked learning about science, and I liked performing",0.6808
00:01:32.560,00:01:36.300,and that is exactly what making Youtube videos allows me to do,0.0
00:01:36.300,00:01:41.310,You know the process of doing science is very different from the process of learning science,0.0
00:01:41.310,00:01:46.440,uh and so I think it's not surprising that this is the thing that I love more than being a scientist,0.5245
00:01:49.470,00:01:56.700,I have been on Youtube for 10 years and it was starting to show. There was so much gray in my beard,0.0
00:01:56.700,00:02:00.650,that uh i'm shaving it off to wind back the clock,0.0
