Start Time,End Time,Text,sentiment-score
00:00:04.370,00:00:07.507,<i> Derek: The world is full  of mysterious places</i>,0.0
00:00:07.607,00:00:11.111,"<i> you can see from high above  using Google Earth,</i>",0.0
00:00:11.211,00:00:14.614,"<i> but what's really going on  down there, and why?</i>",0.0
00:00:14.714,00:00:19.152,"<i> I'm Derek Muller, a scientist,  educator, and filmmaker,</i>",0.0
00:00:19.252,00:00:22.188,<i> and I'm going to unearth  the stories</i>,0.0
00:00:22.288,00:00:24.624,<i> behind these amazing places.</i>,0.5859
00:00:24.724,00:00:27.193,<i> Just drop a pin</i>,-0.2732
00:00:27.293,00:00:30.130,<i> and I'm off.</i>,0.0
00:00:30.230,00:00:33.266,<i> ( mysterious music )</i>,0.0
00:00:33.366,00:00:34.768,<i> ♪ ♪</i>,0.0
00:00:34.868,00:00:38.238,I am here in the middle of the Utah desert,0.0
00:00:38.338,00:00:41.508,<i> surrounded by sandstone cliffs  and red rocks</i>,0.0
00:00:41.608,00:00:43.243,<i> and this scrub.</i>,0.0
00:00:43.343,00:00:45.345,But that is not what I'm here for.,0.0
00:00:45.445,00:00:48.381,What I'm looking for should be right over this ridge.,0.0
00:00:48.481,00:00:52.719,♪ ♪,0.0
00:01:00.659,00:01:03.129,<i> There are electric blue ponds</i>,0.0
00:01:03.229,00:01:05.298,<i> in the middle  of the Utah desert.</i>,0.0
00:01:05.398,00:01:06.733,"<i> When I saw them  on Google Earth,</i>",0.0
00:01:06.833,00:01:09.803,"<i> I had so many questions,  like what are they?</i>",0.4144
00:01:09.903,00:01:11.504,<i> Why are they here?</i>,0.0
00:01:11.604,00:01:13.640,<i> And why do these colors  keep changing?</i>,0.0
00:01:13.740,00:01:15.508,<i> One person thought  this might be</i>,0.0
00:01:15.608,00:01:17.644,"<i> a top-secret NASA experiment,</i>",0.0
00:01:17.744,00:01:21.147,"<i> since, after all,  you can see them from space.</i>",0.0
00:01:21.247,00:01:24.517,"<i> Someone else suggested,  ""Well, maybe they're just  really large swimming pools.""</i>",0.2732
00:01:27.453,00:01:29.522,<i> What are those?  What do you think?</i>,0.0
00:01:29.622,00:01:32.659,Like a geo kinda thermal thing? Like a solar thing?,0.6244
00:01:32.759,00:01:34.794,"Like, they come up from the ground?",0.3612
00:01:34.894,00:01:37.163,"It's gotta be some sort of, you know, science experiment of some kind.",0.5267
00:01:37.263,00:01:39.599,"They sort of look like rice paddies,",0.2975
00:01:39.699,00:01:42.602,'cause they're on ledges.,0.0
00:01:42.702,00:01:44.771,<i> Derek: The truth is  far more fascinating</i>,0.3182
00:01:44.871,00:01:46.706,<i> than any of those guesses.</i>,0.0
00:01:46.806,00:01:48.808,<i> These technicolor pools are  full of something</i>,0.0
00:01:48.908,00:01:51.211,<i> that's been prized  throughout human history.</i>,0.5267
00:01:51.311,00:01:53.346,<i> What are they used for</i>,0.0
00:01:53.446,00:01:55.782,"<i> and how are they connected  to fireworks,</i>",0.0
00:01:55.882,00:02:00.420,"<i> George Washington, soap,  glass, Gatorade, gunpowder,</i>",0.0
00:02:00.520,00:02:03.323,"<i> a pioneering scientist  named Humphry Davy,</i>",0.0
00:02:03.423,00:02:05.625,"<i> every other person  on the planet,</i>",0.0
00:02:05.725,00:02:08.695,<i> and lots of money?</i>,0.0
00:02:08.795,00:02:11.564,( birds crying ),-0.4767
00:02:11.664,00:02:16.603,<i> ♪ ♪</i>,0.0
00:02:16.703,00:02:20.707,<i> The answer begins with a pot  and a hardwood fire.</i>,0.0
00:02:20.807,00:02:24.177,"<i> This is  a 1,500-year-old recipe.</i>",0.0
00:02:24.277,00:02:26.546,"<i> Take some hardwood  and burn it,</i>",0.0
00:02:26.646,00:02:29.315,"<i> not for the heat,  but for the ash.</i>",0.0
00:02:29.415,00:02:32.552,<i> Put the ash in a pot  and add water.</i>,0.0
00:02:32.652,00:02:35.688,"<i> Now, there are a lot  of different chemical  compounds in there,</i>",0.0
00:02:35.788,00:02:38.458,"<i> but the one I'm after is  water soluble,</i>",0.0
00:02:38.558,00:02:40.627,<i> so it dissolves.</i>,0.0
00:02:40.727,00:02:42.662,<i> Strain out the solids  and you'll find</i>,-0.0516
00:02:42.762,00:02:45.331,<i> the solution is slippery.</i>,0.3182
00:02:45.431,00:02:49.235,"<i> Put it in a pan  and let the water evaporate  in the sun,</i>",0.0
00:02:49.335,00:02:53.373,<i> and what you're left with is  this crystalline substance.</i>,0.0
00:02:53.473,00:02:55.408,All that work for this.,0.0
00:02:55.508,00:02:57.777,<i> It is one of the most  important chemicals</i>,0.2716
00:02:57.877,00:03:00.647,"<i> people have been making  for centuries,</i>",0.0
00:03:00.747,00:03:02.782,<i> and it's called potash</i>,0.0
00:03:02.882,00:03:06.386,<i> because that is  exactly where it comes from.</i>,0.0
00:03:06.486,00:03:08.421,"<i> In 1807,</i>",0.0
00:03:08.521,00:03:10.890,<i> British scientist Humphry Davy  got some damp potash</i>,0.0
00:03:10.990,00:03:12.959,<i> and put electrodes into it.</i>,0.0
00:03:13.059,00:03:15.461,"<i> Then he connected them  up to a battery,</i>",0.0
00:03:15.561,00:03:17.530,<i> and what he observed was  the formation</i>,0.0
00:03:17.630,00:03:20.333,"<i> of tiny metal globules,</i>",0.0
00:03:20.433,00:03:22.602,"<i> and as they burst  through the crust  of the potash,</i>",0.0
00:03:22.702,00:03:24.771,<i> they spontaneously  caught fire.</i>,0.0
00:03:24.871,00:03:27.840,"<i> Davy had discovered  a new element,</i>",0.0
00:03:27.940,00:03:31.444,"<i> so naturally, he named it  pot-ash-ium.</i>",0.0
00:03:31.544,00:03:32.979,<i> Potassium.</i>,0.0
00:03:33.079,00:03:36.449,"Yes, that is where the name of the element comes from.",0.4019
00:03:36.549,00:03:37.717,It comes from the potash.,0.0
00:03:37.817,00:03:41.788,<i> ♪ ♪</i>,0.0
00:03:41.888,00:03:43.556,"When you hear the word potassium,",0.0
00:03:43.656,00:03:46.960,"many people think of bananas or Gatorade,",0.0
00:03:47.060,00:03:48.494,"and that's true,",0.4215
00:03:48.594,00:03:50.863,"these foods are good sources of potassium,",0.4404
00:03:50.963,00:03:53.399,but it's not pure potassium.,0.0
00:03:53.499,00:03:56.970,This is a piece of pure elemental potassium.,0.0
00:03:57.070,00:03:58.738,"It's a metal, but I can squish it",0.0
00:03:58.838,00:04:00.473,with my fingers.,0.0
00:04:00.573,00:04:02.875,And this had to be created in a lab,0.25
00:04:02.975,00:04:06.446,"because it is so reactive, it'll react with anything.",0.0
00:04:06.546,00:04:08.848,This piece was kept submerged under oil,0.0
00:04:08.948,00:04:11.284,so it doesn't react with the water in the atmosphere.,0.0
00:04:11.384,00:04:13.820,"It's an incredibly reactive substance,",0.0
00:04:13.920,00:04:16.623,"and to demonstrate that, I'm going to put a piece of it",0.0
00:04:16.723,00:04:18.725,in this water.,0.0
00:04:18.825,00:04:20.260,<i> I'm gonna weight it down</i>,0.0
00:04:21.394,00:04:21.894,<i> so the potassium doesn't  just sit on the top</i>,0.0
00:04:23.061,00:04:23.428,<i> but actually will sink down  to the bottom.</i>,0.0
