Start Time,End Time,Text,sentiment-score
00:00:00.200,00:00:01.992,- This is a robot that can grow,0.0
00:00:01.992,00:00:04.930,"to hundreds of times its size,",0.0
00:00:04.930,00:00:09.050,and it can't be stopped by adhesives or spikes.,0.1695
00:00:09.050,00:00:11.460,"Although it looks kind of simple and cheap,",0.0
00:00:11.460,00:00:13.850,"it has dozens of potential applications,",0.0
00:00:13.850,00:00:17.350,"including, one day maybe saving your life.",0.0
00:00:18.920,00:00:21.090,"This video is sponsored by Morning Brew,",0.0
00:00:21.090,00:00:23.073,the free daily newsletter.,0.5106
00:00:24.130,00:00:27.340,Now I made a video before about a soft truss robot.,0.0
00:00:27.340,00:00:29.840,"And this is also a soft robot,",0.0
00:00:29.840,00:00:33.700,but very different in how it works and what it can do.,0.0
00:00:33.700,00:00:36.500,"These robots can be made out of almost any material,",0.0
00:00:36.500,00:00:39.200,but they all follow the same basic principle.,0.0
00:00:39.200,00:00:42.618,"Powered by compressed air, they grow from the tip.",0.0
00:00:42.618,00:00:43.710,(air hissing) (object rustling),0.0
00:00:43.710,00:00:45.126,- That's good.,0.4404
00:00:46.380,00:00:50.170,"- And this allows the robot to pass through tight spaces,",0.0
00:00:50.170,00:00:53.350,and also over sticky surfaces.,0.0
00:00:53.350,00:00:56.215,- Something like a car will get stuck to it.,0.128
00:00:56.215,00:00:58.665,(car winding),0.0
00:00:59.568,00:01:00.730,It gets stuck in the wheels.,-0.25
00:01:00.730,00:01:02.407,"Now, if I do the same thing with the vine robot,",0.0
00:01:02.407,00:01:04.550,see the robot is able to extend...,0.1779
00:01:04.550,00:01:07.700,- It can navigate this curvy and twisted passageway,0.0
00:01:07.700,00:01:08.810,"effortlessly,",0.0
00:01:08.810,00:01:10.610,which suggests some of the applications,0.0
00:01:10.610,00:01:12.330,it's well-suited for.,0.0
00:01:12.330,00:01:15.160,Now you might think spikes would be the downfall,0.0
00:01:15.160,00:01:16.930,"of an inflatable robot,",0.0
00:01:16.930,00:01:19.030,"but even if it's punctured,",0.0
00:01:19.030,00:01:21.380,"as long as you have sufficient air pressure,",-0.296
00:01:21.380,00:01:23.410,the robot keeps going.,0.0
00:01:23.410,00:01:24.752,- And you might be able to hear it.,0.0
00:01:24.752,00:01:26.170,"(air hissing) It's actually leaking now,",0.0
00:01:26.170,00:01:28.194,so I'll have to turn up the pressure.,-0.296
00:01:28.194,00:01:31.090,(object rustling) (air hissing),0.0
00:01:31.090,00:01:32.800,"This by itself is not yet a robot,",0.0
00:01:32.800,00:01:35.750,"but once we add steering, a camera, some sensors,",0.0
00:01:35.750,00:01:38.940,"and maybe some intelligence as to where we're directing it,",0.4767
00:01:38.940,00:01:40.090,then we could say it's a robot.,0.0
00:01:40.090,00:01:42.300,So this is sort of the backbone of our robot.,0.0
00:01:42.300,00:01:45.740,This is what allows us to build our type of robots.,0.0
00:01:45.740,00:01:48.570,- So where did the idea for this device come from?,0.0
00:01:48.570,00:01:52.830,"- I had a vine in my office that was on a shelf,",0.0
00:01:52.830,00:01:54.960,and it was kind of out of the sunlight.,0.0
00:01:54.960,00:01:56.680,"And over the course of like a year or so,",0.3612
00:01:56.680,00:01:58.430,it slowly grew out this tender roll,0.0
00:01:58.430,00:02:00.830,out and around the edge of the shelf,0.0
00:02:00.830,00:02:02.360,and towards the sunlight.,0.0
00:02:02.360,00:02:05.490,"I said, ""That's a pretty cool thing it just did,"" right?",0.6705
00:02:05.490,00:02:06.707,"So I started thinking,",0.0
00:02:06.707,00:02:09.120,"""Well is there a way you can do that robotically?""",0.2732
00:02:09.120,00:02:12.520,- The solution is really elegant in its simplicity.,0.6901
00:02:12.520,00:02:16.430,Just take some airtight tubing and fold it in on itself.,0.0
00:02:16.430,00:02:18.360,"It's kind of like a water wiggle,",0.2975
00:02:18.360,00:02:21.662,those toys that are really hard to hold.,-0.1761
00:02:21.662,00:02:22.610,(air hissing) When you inflate it,0.0
00:02:22.610,00:02:26.160,"with compressed air, it starts growing out from the tip.",0.1779
00:02:26.160,00:02:29.150,"And if you want the tube to always bend at a certain spot,",0.34
00:02:29.150,00:02:31.460,you could just tape the tubing on the outside,0.0
00:02:31.460,00:02:33.770,to shorten one of the sides.,0.0
00:02:33.770,00:02:36.310,"For example, you could tape it into a helical shape",0.0
00:02:36.310,00:02:38.743,to create a deployable antenna.,0.2732
00:02:39.600,00:02:41.540,What about getting them to retract?,0.0
00:02:41.540,00:02:43.670,"- Yeah, that's a challenging problem.",0.0258
00:02:43.670,00:02:44.990,"When you're in a constrained environment,",-0.1027
