Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:03.384,This propeller craft was built to settle a physics debate,0.0
00:00:03.384,00:00:08.356,because what its creators claim it can do is so counterintuitive,0.0
00:00:08.356,00:00:12.630,that it seems to violate the law of conservation of energy.,-0.2732
00:00:12.630,00:00:17.910,So I've come here to drive it myself and see if it really works.,0.0
00:00:17.910,00:00:20.859,And is it safe? It feels makeshift. I'm not gonna lie.,0.4404
00:00:20.859,00:00:22.200,I need some wind.,0.0
00:00:22.200,00:00:26.282,Give me a gust. It's a little unbalanced. Isn't it?,0.0
00:00:30.510,00:00:32.132,"Slow it down, Derek!",0.0
00:00:32.827,00:00:34.307,"Pull tack, pull tack!",0.0
00:00:36.470,00:00:40.310,"This video was sponsored by Kiwico, more about them at the end of the show.",0.0
00:00:44.420,00:00:47.150,"I've come to El Mirage, a dry lakebed,",0.0
00:00:47.151,00:00:51.650,a couple hours from Los Angeles to race a one of a kind propeller craft.,0.5267
00:00:54.380,00:00:56.343,It's called Blackbird.,0.0
00:00:56.343,00:00:57.978,"And I'm here with its inventor, Rick",0.0
00:00:57.978,00:00:59.009,- Howdy!,0.0
00:00:59.180,00:01:01.274,"And the current owner, Neil.",0.0
00:01:02.300,00:01:04.190,It all started with a brain teaser:,-0.25
00:01:04.550,00:01:09.020,Can any wind-powered vehicle go directly downwind,0.0
00:01:09.020,00:01:11.043,faster than the wind itself?,0.0
00:01:12.560,00:01:15.920,"If you've got a sail boat and you're sailing it straight down, wind. - Yeah.",0.4767
00:01:15.920,00:01:19.280,"As soon as that sailboat is going the same speed as the wind,",0.0
00:01:19.280,00:01:22.220,then there is no more wind. That is correct. You can't push the sailboat.,-0.296
00:01:22.220,00:01:25.400,So sailboats can't just go downwind faster than the wind.,0.0
00:01:25.850,00:01:27.266,Not straight downwind.,-0.1695
00:01:27.266,00:01:28.530,-Not straight downwind? Not direct downwind.,-0.1695
00:01:29.360,00:01:32.420,Imagine a boat floating in the water.,0.0
00:01:32.420,00:01:36.547,"As the wind picks up, it pushes the sail, accelerating the boat.",0.0
00:01:36.770,00:01:40.340,The boat gets faster and faster until its speed,0.0
00:01:40.341,00:01:43.880,"exactly matches the wind. But at this point,",0.0
00:01:44.000,00:01:46.550,"the wind can't push the sail anymore. I mean,",0.0
00:01:46.551,00:01:48.830,"if you imagine it from the frame of reference of the boat,",0.0
00:01:49.160,00:01:51.410,there's no longer any apparent wind.,-0.296
00:01:51.440,00:01:55.550,There's no air moving over the boat because the air and the boat are moving,-0.296
00:01:55.551,00:01:57.680,together at the same speed.,0.0
00:01:57.680,00:02:02.600,So a sailboat going directly downwind can only match the speed,0.0
00:02:02.601,00:02:06.650,"of the wind, never exceed it, even if there's no drag.",0.1695
