Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:03.710,- This is the world's largest 3D metal printer.,0.0
00:00:03.710,00:00:06.060,"It was built by Relativity Space,",0.0
00:00:06.060,00:00:09.090,"a startup that aims to print an entire rocket,",0.0
00:00:09.090,00:00:13.510,"including fuel tanks and rocket engines, in just 60 days.",0.0
00:00:13.510,00:00:15.650,I'm like looking inside a 3D printed rocket,0.3612
00:00:15.650,00:00:16.970,that is actually gonna go to space.,0.0
00:00:16.970,00:00:19.610,"This giant hunk of metal, it's unbelievable.",0.2023
00:00:19.610,00:00:21.850,This video is sponsored by Omaze.,0.0
00:00:21.850,00:00:24.060,Offering you the chance to win a trip to space.,0.7003
00:00:24.060,00:00:26.053,More about that at the end of the show.,0.0
00:00:27.060,00:00:30.480,"- There's a lot of UV coming off the welds,",0.0
00:00:30.480,00:00:32.490,"you can film it, but don't look directly at it.",0.0
00:00:32.490,00:00:35.120,"You get sunburned fast, so it's like you're suiting up",0.4173
00:00:35.120,00:00:36.710,to go in a volcano.,0.0
00:00:36.710,00:00:40.270,"All right, we're gonna go in to the 3D printer,",0.0
00:00:40.270,00:00:42.253,and see how it works.,0.0
00:00:44.580,00:00:46.050,"All right, so, yep, just hold this up.",0.296
00:00:46.050,00:00:46.900,Don't look at it.,0.0
00:00:49.940,00:00:51.270,We are in the printer.,0.0
00:00:51.270,00:00:52.810,- I can see it over there.,0.0
00:00:52.810,00:00:55.658,"- If we walk around here, we can get up close.",0.0
00:00:55.658,00:00:58.741,(machinery whirring),0.0
00:00:59.830,00:01:03.300,(machinery beating),-0.4588
00:01:03.300,00:01:05.040,"So that's the wire melt team,",0.0
00:01:05.040,00:01:07.230,and the print head moving around.,0.0
00:01:07.230,00:01:10.790,"So that's the plasma discharge, and it's hard to tell,",-0.1027
00:01:10.790,00:01:14.150,"but it's doing things every couple of milliseconds,",0.0
00:01:14.150,00:01:16.551,"it's actually changing the electric wave form,",0.0
00:01:16.551,00:01:19.700,which is how it's controlling the deposition so well.,0.4101
00:01:19.700,00:01:20.930,- Do you know the temperature of it?,0.0
00:01:20.930,00:01:22.533,"Like, is it just above melt temp?",0.3612
00:01:22.533,00:01:24.410,- It's just above melting for aluminum.,0.0
00:01:24.410,00:01:27.120,"Yeah, probably a few hundred degrees above.",0.296
00:01:27.120,00:01:30.930,- The melting point of aluminum is 660 degrees Celsius.,0.0
00:01:30.930,00:01:32.560,So the whole body of the rocket,0.0
00:01:32.560,00:01:36.533,is effectively melted together one tiny bit at a time.,0.4404
00:01:38.410,00:01:39.480,- All the raw metal,0.0
00:01:39.480,00:01:42.200,for the whole rocket that's printed is this.,0.0
00:01:42.200,00:01:44.090,"It's a, you know, we kind of joke",0.228
00:01:44.090,00:01:45.656,it's like Charlotte's web.,0.3612
00:01:45.656,00:01:49.463,"Like a spider silk, but this is an aluminum alloy",0.1901
00:01:49.463,00:01:51.600,that's on a wire spool.,0.0
00:01:51.600,00:01:55.260,We actually print about 10 inches a second.,0.0
00:01:55.260,00:01:58.150,"So this wire is really going super fast,",0.6344
00:01:58.150,00:02:02.660,and then the combination of lasers and plasma arc discharge,0.0
00:02:02.660,00:02:05.750,are working to melt both of them together at the same time.,0.0
00:02:05.750,00:02:07.810,- So where does the wire come out?,0.0
00:02:07.810,00:02:12.580,"- So it's right there, and then the electric arc discharge",0.0
00:02:12.580,00:02:15.100,happens right at the tip of the wire too.,0.0
00:02:15.100,00:02:17.020,"- This is a camera. - Yeah, that's a camera.",0.296
00:02:17.020,00:02:20.630,- But why would you want to 3D print a rocket?,0.1154
00:02:20.630,00:02:22.460,Is it just because we can?,0.0
00:02:22.460,00:02:23.660,It's funny to me that,0.4404
00:02:23.660,00:02:26.010,"you had this experience with 3D printing where you're like,",0.3612
