Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:02.530,- Can I tell you something I'm bad at?,-0.5423
00:00:02.530,00:00:05.500,I am terrible at making clickbait.,-0.4767
00:00:05.500,00:00:06.650,"Up until two years ago,",0.0
00:00:06.650,00:00:09.110,my most popular video was about a basketball,0.4754
00:00:09.110,00:00:12.010,being dropped from a dam with a bit of backspin.,0.0
00:00:12.010,00:00:14.400,It takes off like a rocket and shoots out,0.3612
00:00:14.400,00:00:16.560,way further than you'd expect.,0.0
00:00:16.560,00:00:18.190,This video was embedded,0.0
00:00:18.190,00:00:20.700,on literally hundreds of news websites.,0.0
00:00:20.700,00:00:25.320,"And in its first week, it got 16.3 million views,",0.0
00:00:25.320,00:00:29.200,but almost none of those views came on the YouTube platform.,0.0
00:00:29.200,00:00:30.130,Why?,0.0
00:00:30.130,00:00:32.560,Because I gave it this thumbnail,0.0
00:00:32.560,00:00:35.917,"and I called it ""Strange Applications of the Magnus Effect.""",-0.2023
00:00:37.470,00:00:39.630,This video is sponsored by KiwiCo.,0.0
00:00:39.630,00:00:42.120,More about them at the end of the show.,0.0
00:00:42.120,00:00:43.610,"Now, I believe within YouTube,",0.0
00:00:43.610,00:00:47.240,I'm used as an example of how not to package your video.,0.0
00:00:47.240,00:00:48.880,As if to demonstrate just how bad,-0.5423
00:00:48.880,00:00:50.320,"a title and thumbnail this is,",0.0
00:00:50.320,00:00:53.137,"someone else re-uploaded the video with the clever title,",0.4588
00:00:53.137,00:00:55.550,"""Basketball Dropped From Dam.""",0.0
00:00:55.550,00:00:58.240,"And within a few weeks, that video had received",0.0
00:00:58.240,00:01:01.010,tens of millions of views on YouTube.,0.0
00:01:01.010,00:01:03.410,This is when YouTube gave me access to ContentID.,0.0
00:01:03.410,00:01:05.560,That's the system that allows you to earn revenue,0.0
00:01:05.560,00:01:08.890,"when someone else re-uploads your videos, which was good,",0.4404
00:01:08.890,00:01:11.740,but I still wasn't very good at clickbait.,-0.5321
00:01:11.740,00:01:14.730,"So for this video, I called in an expert.",0.0
00:01:14.730,00:01:16.650,I wanted to see your reaction face.,0.0
00:01:16.650,00:01:17.970,Can you give me like a reaction face?,0.3612
00:01:17.970,00:01:19.100,Like what's a good thumbnail face?,0.6597
00:01:19.100,00:01:20.150,"- Oh, I got you.",0.0
00:01:20.150,00:01:22.096,This is a thumbnail face.,0.0
00:01:22.096,00:01:24.220,(Derek laughs),0.4939
00:01:24.220,00:01:28.285,"I have like 10, I go through the motions of like...",0.6124
00:01:28.285,00:01:30.065,(Derek laughs),0.4939
00:01:30.065,00:01:31.060,"And then we just take the best one,",0.6369
00:01:31.060,00:01:33.560,I probably have like 500 of these just saved,0.6486
00:01:33.560,00:01:36.290,and we can just Photoshop my face on my face.,0.0
00:01:36.290,00:01:38.360,"That way, I don't have to do it anymore.",0.0
00:01:38.360,00:01:41.460,"- When I started on this platform, some 10 years ago,",0.0
00:01:41.460,00:01:43.120,clickbait was less important.,0.1298
00:01:43.120,00:01:45.090,"Subscribers were what mattered,",0.0
00:01:45.090,00:01:47.800,because most of the views came from the sub feed.,0.0
00:01:47.800,00:01:49.480,And videos went viral usually,0.0
00:01:49.480,00:01:51.090,"by getting a lot of attention elsewhere,",0.0
00:01:51.090,00:01:53.000,"like on Reddit or Facebook,",0.3612
00:01:53.000,00:01:54.860,not due to the YouTube algorithm.,0.0
00:01:54.860,00:01:57.810,"But once you had a big video and people subscribed,",0.0
00:01:57.810,00:02:00.080,"well, then your next video would likely get a lot of views",0.2732
00:02:00.080,00:02:01.280,from those subscribers.,0.0
00:02:01.280,00:02:03.210,So YouTube would take that popular video,0.4215
00:02:03.210,00:02:04.420,and share it with more people.,0.296
00:02:04.420,00:02:06.720,And so you'd get more subscribers,0.0
00:02:06.720,00:02:09.240,in a positive feedback loop.,0.5574
00:02:09.240,00:02:12.020,"But soon, YouTube realized that this did not create",-0.3007
00:02:12.020,00:02:14.110,the best experience for the viewer.,0.6369
00:02:14.110,00:02:17.050,They discovered that showing people only videos,0.0
00:02:17.050,00:02:20.240,"from channels they were subscribed to led to fewer clicks,",0.0
00:02:20.240,00:02:22.690,less watch time and less engagement,0.4033
00:02:22.690,00:02:24.250,with the site as a whole.,0.0
00:02:24.250,00:02:26.250,"Plus, they knew that relying on other platforms",0.0
00:02:26.250,00:02:28.800,"to drive traffic to viral hits was risky,",-0.2023
00:02:28.800,00:02:30.560,since those other platforms might disable,0.0
00:02:30.560,00:02:32.230,the traffic at any time.,0.0
00:02:32.230,00:02:35.990,So they needed to make YouTube a destination in itself.,0.0
00:02:35.990,00:02:38.000,"They wanted people to come to YouTube,",0.0
00:02:38.000,00:02:39.900,"see videos that interested them,",0.4019
00:02:39.900,00:02:42.620,click on at least one of them and watch it for a while.,0.0
00:02:42.620,00:02:45.430,Ideally get sucked down the YouTube rabbit hole,-0.0516
00:02:45.430,00:02:48.770,and spend hours on the site without even noticing it.,0.0
00:02:48.770,00:02:50.960,The ultimate resource is people's time,0.0
00:02:50.960,00:02:52.620,"and attention, and every platform",0.0
00:02:52.620,00:02:56.430,is trying to capture as much of it as possible.,0.0
00:02:56.430,00:02:58.690,"So, to make YouTube this go-to destination,",0.0
00:02:58.690,00:03:01.420,"they had decrease the importance of subscribers,",0.3612
00:03:01.420,00:03:03.160,make it less like a podcast app,0.2975
00:03:03.160,00:03:05.160,"where you only get the shows you're subscribed to,",0.0
00:03:05.160,00:03:06.530,"and more like Reddit,",0.4201
00:03:06.530,00:03:10.260,where stuff with the most engagement rises to the top.,0.624
00:03:10.260,00:03:12.430,But that necessarily meant increasing,0.0
00:03:12.430,00:03:14.740,the importance of clickbait.,0.3612
00:03:14.740,00:03:17.850,"Now, there seems to be a paradox when it comes to clickbait.",-0.1027
00:03:17.850,00:03:21.130,"People almost universally claim to hate it,",-0.5719
00:03:21.130,00:03:23.850,but you also see it everywhere.,0.0
00:03:23.850,00:03:25.600,So why is this?,0.0
00:03:25.600,00:03:27.740,"Well, one of the problems is we don't all agree",-0.4039
00:03:27.740,00:03:29.390,on the definition of clickbait.,0.0
00:03:29.390,00:03:31.900,"When I google it, the top definition is,",0.2023
00:03:31.900,00:03:34.240,"on the internet, content whose main purpose",0.0
00:03:34.240,00:03:36.790,is to attract attention and encourage visitors,0.7003
00:03:36.790,00:03:39.360,to click on a link to a particular webpage.,0.0
00:03:39.360,00:03:42.050,"We could call this type I clickbait,",0.0
00:03:42.050,00:03:44.410,and there doesn't seem to be anything wrong with it.,-0.4767
00:03:44.410,00:03:46.980,"I mean, if you didn't try to attract attention",-0.2755
00:03:46.980,00:03:48.280,"and get people to click on your links,",0.0
00:03:48.280,00:03:50.400,then you wouldn't really be doing your job.,0.0
00:03:50.400,00:03:52.290,But there is a second definition.,0.0
00:03:52.290,00:03:54.950,"One that I think more people ascribe to,",0.0
00:03:54.950,00:03:57.410,which is something such as a headline designed,0.0
00:03:57.410,00:03:59.760,"to make readers want to click on a hyperlink,",0.0772
00:03:59.760,00:04:01.820,especially when the link leads to content,0.0
00:04:01.820,00:04:04.280,of dubious value or interest.,0.4404
00:04:04.280,00:04:07.090,"Wikipedia says, ""A defining characteristic of clickbait",0.0
00:04:07.090,00:04:09.980,"is that it is sensationalized or misleading.""",-0.4019
00:04:09.980,00:04:11.820,And it also talks about teasers,-0.1779
00:04:11.820,00:04:13.520,that intentionally withhold information,0.0
00:04:13.520,00:04:15.640,"to exploit the ""curiosity gap.""",-0.1027
00:04:15.640,00:04:18.200,"They give you enough information to make you curious,",0.3182
00:04:18.200,00:04:21.330,but not enough to satisfy that curiosity.,-0.4973
00:04:21.330,00:04:25.060,Here are two actual titles from a news website.,0.0
00:04:25.060,00:04:27.730,Nine out of 10 Americans are completely wrong,-0.5256
00:04:27.730,00:04:30.200,about this mind blowing fact.,0.0
00:04:30.200,00:04:32.630,And someone gave some kids some scissors.,0.0
00:04:32.630,00:04:34.920,Here's what happened next.,0.0
00:04:34.920,00:04:36.950,I think we can all agree that these are examples,0.3612
00:04:36.950,00:04:38.453,of bad type II clickbait.,-0.5423
00:04:39.350,00:04:42.170,"Now, imagine a clickbait space where on one axis,",0.0
00:04:42.170,00:04:45.630,you have how misleading or sensationalized it is.,-0.4019
00:04:45.630,00:04:47.630,"And on the other, how much information",0.0
00:04:47.630,00:04:50.880,is intentionally withheld to create a curiosity gap.,0.2732
00:04:50.880,00:04:54.180,"Well, then these two titles fall in the top right corner.",0.4404
00:04:54.180,00:04:57.740,And these are the zones of type II clickbait.,0.0
00:04:57.740,00:04:58.710,"At the other extreme,",0.0
00:04:58.710,00:05:02.730,you have things that are so unsensationalized as to be dull.,-0.4019
00:05:02.730,00:05:05.550,You could call this the dead zone.,-0.6486
00:05:05.550,00:05:07.727,"Now, here is where you would find",0.0
00:05:07.727,00:05:10.650,"""Strange applications of the Magnus Effect.""",-0.2023
00:05:10.650,00:05:13.750,"I mean, I didn't tell you what the applications were.",0.0
00:05:13.750,00:05:17.980,"Now, in the middle is where you would find type I clickbait.",0.0
00:05:17.980,00:05:20.230,"But honestly, I think type I and type II clickbait",0.6124
00:05:20.230,00:05:22.440,"are so different, that we shouldn't even use",0.0
00:05:22.440,00:05:23.990,the same word for them.,0.0
00:05:23.990,00:05:25.600,"Instead of type I clickbait,",0.0
00:05:25.600,00:05:29.440,"my friend and YouTuber, Brady Heron suggested legitbait.",0.5106
00:05:29.440,00:05:33.310,"I mean, it might sound enticing, but it is legit.",0.0
00:05:33.310,00:05:34.730,"Instead of type II clickbait,",0.0
00:05:34.730,00:05:39.730,"we could use clicktrap, clicktrick, linktrap or dupechute.",0.0
00:05:40.860,00:05:43.940,"What's important to recognize is that for any given video,",0.2023
00:05:43.940,00:05:47.170,there is no one true title and thumbnail.,-0.5472
00:05:47.170,00:05:49.760,Each video could have hundreds or thousands,0.0
00:05:49.760,00:05:51.760,of different legitbait titles.,0.0
00:05:51.760,00:05:55.070,"For example, how does a zero-G plane work?",0.0
00:05:55.070,00:05:58.440,I went on a plane that does parabolic trajectories.,0.0
