Start Time,End Time,Text,sentiment-score
00:00:00.066,00:00:03.206,This video includes a discussion of serious crimes,-0.0772
00:00:03.206,00:00:05.226,which may be disturbing for some viewers,-0.5106
00:00:05.226,00:00:07.766,"so I wanted to let you know that upfront,",0.0
00:00:07.766,00:00:09.276,but I think it's necessary,0.0
00:00:09.276,00:00:11.566,to talk about these crimes in some detail,0.0
00:00:11.566,00:00:13.979,for reasons that will become apparent.,0.0
00:00:16.426,00:00:20.596,"In the small town of Visalia, California in the mid 1970s,",0.0
00:00:20.596,00:00:24.106,one of the state's most prolific criminals got his start.,-0.6096
00:00:24.106,00:00:27.946,He repeatedly broke into houses and stole small items,-0.4215
00:00:27.946,00:00:30.636,"like cash, coins, and jewelry.",0.3612
00:00:30.636,00:00:33.626,He was dubbed the Visalia ransacker,0.0
00:00:33.626,00:00:36.456,but soon his crimes escalated.,0.0
00:00:36.456,00:00:38.386,"- Six months later in 1976,",0.0
00:00:38.386,00:00:40.126,he moves up to Sacramento and over,0.0
00:00:40.126,00:00:41.726,"the course of the next three years,",0.0
00:00:41.726,00:00:45.296,he's moving all across Northern California,0.0
00:00:45.296,00:00:47.766,"committing numerous sexual assaults,",-0.4939
00:00:47.766,00:00:49.826,over 50 sexual assaults.,-0.5423
00:00:49.826,00:00:52.766,"- Here, he was called the east area rapist.",-0.7096
00:00:52.766,00:00:55.036,- [Male Reporter] The police are saying lock up tight.,0.0
00:00:55.036,00:00:58.429,Sacramento's infamous east area rapist may still be in town.,-0.7096
00:00:59.446,00:01:03.226,"- And then in 1979, he moves down to Southern California,",0.0
00:01:03.226,00:01:06.476,starting in Santa Barbara and starts killing.,-0.6597
00:01:06.476,00:01:08.416,And he was known as the original night stalker,0.3182
00:01:08.416,00:01:09.946,in Southern California.,0.0
00:01:09.946,00:01:12.236,- [Reporter] Variously known as the east area rapist,-0.7096
00:01:12.236,00:01:14.206,"and the original night stalker,",0.3182
00:01:14.206,00:01:17.136,these were brutal meticulously planned crimes,-0.6249
00:01:17.136,00:01:19.396,that spanned numerous California counties,0.0
00:01:19.396,00:01:22.856,between 1976 and 1986.,0.0
00:01:22.856,00:01:24.976,- Police believed that all of these crimes,0.0
00:01:24.976,00:01:27.326,were committed by the same person,0.2732
00:01:27.326,00:01:30.006,now known as the golden state killer.,-0.6486
00:01:30.006,00:01:32.066,How was it known that these were committed,0.2732
00:01:32.066,00:01:33.176,by the same person?,0.0
00:01:33.176,00:01:36.531,- Investigators were relying on MO.,0.0
00:01:36.531,00:01:38.947,"MO, modus operandi is basically",0.0
00:01:38.947,00:01:43.086,how a criminal will commit a crime.,-0.6908
00:01:43.086,00:01:46.962,- He was wearing some type of a mask or a hood.,0.0
00:01:46.962,00:01:49.136,He was wearing shorts and a T-shirt.,0.0
00:01:49.136,00:01:51.816,- The golden state killer had a very distinctive MO,-0.6486
00:01:51.816,00:01:52.716,- What he would do is,0.0
00:01:52.716,00:01:56.266,"he would break into a house with a gun,",-0.34
00:01:56.266,00:01:58.376,a house with a man and a woman.,0.0
00:01:58.376,00:02:00.196,He would tie them up,0.0
00:02:01.226,00:02:04.386,tell the man I'm gonna put plates on your back.,0.0
00:02:04.386,00:02:05.866,"If I hear those plates move,",0.0
00:02:05.866,00:02:08.566,"I'm going to kill your wife and then kill you,",-0.886
00:02:08.566,00:02:11.636,take the wife into another room and sexually assault her.,-0.5859
00:02:11.636,00:02:16.066,"Then he would go through the house for however much time,",0.0
00:02:16.066,00:02:19.276,"eating, stealing stuff, stealing little things or whatever",-0.8126
00:02:19.276,00:02:20.586,and then he would leave.,-0.0516
00:02:20.586,00:02:24.066,- How was he not caught based on fingerprint evidence?,0.0
00:02:24.066,00:02:26.046,"- Well, he didn't leave his fingerprints.",0.3067
00:02:26.046,00:02:27.106,He always wore a mask.,0.0
00:02:27.106,00:02:28.306,He always had gloves on.,0.0
00:02:28.306,00:02:30.916,This was an offender that did everything,-0.3612
00:02:30.916,00:02:32.896,to prevent himself from being caught.,0.0258
00:02:32.896,00:02:34.486,- [Reporter] The golden state killer has been linked,-0.6486
00:02:34.486,00:02:37.066,"to at least 12 murders, 50 rapes",-0.8591
00:02:37.066,00:02:39.699,and a string of burglaries throughout California.,0.0
00:02:43.864,00:02:45.222,"- All right, how's it going?",0.0
00:02:45.222,00:02:46.506,- How you doing? - Good.,0.4404
00:02:46.506,00:02:49.926,- So we supply DNA sequencing solutions,0.1779
00:02:49.926,00:02:53.136,to the forensic laboratories that process crime scene DNA.,-0.5423
00:02:53.136,00:02:55.831,"At a crime scene, there's typically less than a nanogram",-0.5423
00:02:55.831,00:03:00.406,"of DNA left and it's usually degraded, right?",-0.4215
00:03:00.406,00:03:02.426,So it breaks down. - Why is there so little?,0.0
00:03:02.426,00:03:03.426,at a crime scene?,-0.5423
00:03:03.426,00:03:04.296,A nanogram?,0.0
00:03:04.296,00:03:05.129,- Yes.,0.4019
00:03:05.129,00:03:05.962,- That's insane.,-0.4019
00:03:05.962,00:03:06.795,- Yes.,0.4019
00:03:06.795,00:03:09.786,- There's no accident that he stops in 1986.,0.2392
00:03:09.786,00:03:14.786,1986 is when the first DNA case of a murder case,-0.6908
00:03:15.486,00:03:18.776,"is actually solved with DNA and he's,",0.2732
00:03:18.776,00:03:22.386,"I think he's following that and he's saying, you know what,",0.0
00:03:22.386,00:03:26.256,"what I'm doing here, I'm leaving my DNA.",0.0
00:03:26.256,00:03:27.776,I can't do this anymore.,0.0
00:03:27.776,00:03:29.736,- [Reporter] Investigator Paul Holes tracked,0.0
00:03:29.736,00:03:31.496,the golden state killer for decades.,-0.6486
00:03:31.496,00:03:33.516,- He couldn't it account for DNA technology,0.0
00:03:33.516,00:03:35.566,and that really was his big mistake.,-0.34
00:03:35.566,00:03:37.176,That was the critical mistake.,-0.5719
00:03:37.176,00:03:40.196,He left his DNA all over California.,0.0
00:03:40.196,00:03:42.366,"And it turns out that in three of the cases,",0.0
00:03:42.366,00:03:44.826,I had three sexual assault kits and that's where I got,-0.5859
00:03:44.826,00:03:48.089,the golden state killer's DNA from Northern California.,0.0
00:03:49.516,00:03:52.866,- But having the unknown killer's DNA wasn't enough.,0.0
00:03:52.866,00:03:56.276,They needed to match it to a known sample.,0.0
00:03:56.276,00:03:58.806,"In 1990, the FBI started work",0.0
00:03:58.806,00:04:01.996,on what would become a national genetic database.,0.0
00:04:01.996,00:04:03.996,It mainly stores DNA profiles,0.0
00:04:03.996,00:04:06.976,from convicted criminals and persons of interest.,-0.1779
00:04:06.976,00:04:10.076,It's called the combined DNA index system,0.0
00:04:10.076,00:04:12.296,or CODIS for short.,0.0
00:04:12.296,00:04:15.976,"In each of your cells, there are 23 pairs of chromosomes,",0.0
00:04:15.976,00:04:18.656,one from your mom and one from your dad.,0.0
00:04:18.656,00:04:21.126,"And at particular places on some chromosomes,",0.0
00:04:21.126,00:04:23.646,there are short sections of DNA that repeat,0.0
00:04:25.136,00:04:30.136,"like A A T G, A A T G, A A T G, and so on.",0.3612
00:04:30.226,00:04:34.366,These are called short tandem repeats or STRs,0.0
00:04:34.366,00:04:37.756,and different people have different numbers of repeats.,0.0
00:04:37.756,00:04:40.196,Forensic labs produce STR profiles,0.0
00:04:40.196,00:04:44.116,by counting up the number of repeats at each location.,0.0772
00:04:44.116,00:04:46.976,"Initially, there were only 13 places on the DNA",0.0
00:04:46.976,00:04:49.856,"where STRs were counted, but in 2017",0.0
00:04:49.856,00:04:52.256,that was expanded to 20.,0.0
