Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:04.050,"In 2014, the qualifying exam for the US Physics Team",0.0
00:00:04.050,00:00:06.800,had this as question 19:,0.0
00:00:06.800,00:00:10.440,A helicopter is flying horizontally at constant speed.,0.0
00:00:10.440,00:00:12.990,A perfectly flexible uniform cable is suspended,0.4588
00:00:12.990,00:00:14.630,beneath the helicopter.,0.0
00:00:14.630,00:00:17.950,Air friction on the cable is not negligible.,0.0
00:00:17.950,00:00:19.380,"So, which of the following diagrams",0.0
00:00:19.380,00:00:21.310,best shows the shape of the cable,0.6369
00:00:21.310,00:00:24.360,as the helicopter flies through the air to the right?,0.0
00:00:24.360,00:00:26.721,Is it A. hanging straight down.,0.2263
00:00:26.721,00:00:29.480,"B, hanging diagonally to the left?",0.0
00:00:29.480,00:00:31.800,"C, this hook shape.",0.0
00:00:31.800,00:00:34.300,"D, the inverted hook shape,",0.0
00:00:34.300,00:00:37.640,"or E, a kind of S bend.",0.0
00:00:37.640,00:00:39.810,"Now, apparently there's been a certain amount of controversy",0.2732
00:00:39.810,00:00:41.620,about the correct answer to this question.,0.0
00:00:41.620,00:00:44.620,"So, today we're gonna go up in this helicopter,",0.0
00:00:44.620,00:00:47.683,and put this question to rest once and for all.,0.0
00:00:49.260,00:00:50.313,Let's go.,0.0
00:00:50.313,00:00:54.530,(intense music) (helicopter blades whirring),0.0772
00:00:54.530,00:00:56.900,"A portion of this video was sponsored by SimpliSafe,",0.0
00:00:56.900,00:00:59.120,which allowed us to rent this helicopter.,0.0
00:00:59.120,00:01:01.163,More about them at the end of the show.,0.0
00:01:02.100,00:01:05.150,"I've got several thousand hours of carrying sling loads,",0.0
00:01:05.150,00:01:06.990,"fire buckets, concrete buckets,",-0.34
00:01:06.990,00:01:10.130,"doing power line construction, actual power poles.",0.0
00:01:10.130,00:01:12.020,"You name it, anything that needs to be moved",0.0
00:01:12.020,00:01:13.410,"around the mountains, I've done.",0.0
00:01:13.410,00:01:14.417,Biggest concern that I have is,0.0
00:01:14.417,00:01:18.200,that the rope's gonna interact with the rotor wash,0.0
00:01:18.200,00:01:21.570,as its interaction with the ambient air around the aircraft.,0.0
00:01:21.570,00:01:25.270,And we'll get a whipping action that falls down the rope,0.0
00:01:25.270,00:01:26.970,and flips around on the end.,0.0
00:01:26.970,00:01:30.070,To a point that we worry if it will have a tendency,-0.4404
00:01:30.070,00:01:32.440,to work its way back up towards the aircraft.,0.0
00:01:32.440,00:01:34.820,"Obviously, we don't want it getting in the rotors",-0.0572
00:01:34.820,00:01:36.000,or the tail rotor.,0.0
00:01:36.000,00:01:38.540,(helicopter blades whirring),0.0
00:01:38.540,00:01:40.153,"- [Derek] Alright, we're all set.",0.25
00:01:41.216,00:01:42.049,Movin' up.,0.0
00:01:42.940,00:01:46.690,(helicopter blades whirring),0.0
00:01:50.096,00:01:51.580,(intense music),0.0772
00:01:51.580,00:01:53.890,"Here I'm deploying a battle rope,",-0.3818
00:01:53.890,00:01:55.660,like you'd see at the gym.,0.3612
00:01:55.660,00:01:59.952,This one is about 15 meters long and it weighs 20 kilograms.,0.0
00:01:59.952,00:02:01.494,"- [Craig] See, the whipping action's begun.",0.0
00:02:01.494,00:02:03.077,- [Derek] I see it.,0.0
00:02:04.231,00:02:06.220,"So, if we go really slow, will we avoid that?",-0.296
00:02:06.220,00:02:07.290,- We'll see.,0.0
00:02:07.290,00:02:08.900,We'll see where the rotor wash,0.0
00:02:08.900,00:02:10.687,stops interacting with the rope,-0.1531
00:02:10.687,00:02:11.970,and the ambient wind.,0.0
00:02:14.133,00:02:15.400,"Now the setup looks pretty simple,",0.4939
00:02:15.400,00:02:18.995,but few people agree on what the right answer should be.,0.5023
00:02:18.995,00:02:20.290,(peaceful music),0.4939
00:02:20.290,00:02:23.623,"When I polled YouTube, the most common answer was C.",0.0
00:02:26.840,00:02:29.850,Well done on making that beautiful bell curve by the way.,0.7184
00:02:29.850,00:02:32.250,"We got in touch with the question's author,",0.0
00:02:32.250,00:02:33.880,professor Paul Stanley.,0.0
00:02:33.880,00:02:37.580,There was some creative students who actually constructed,0.4404
00:02:37.580,00:02:40.200,their own homemade scenarios.,0.0
00:02:40.200,00:02:45.200,One had a fan to the side and another fan blowing downward,0.5574
00:02:46.720,00:02:49.170,so that they could mimic the motion of the helicopter,0.0
00:02:49.170,00:02:52.520,"and suspended a string and said, ""Oh, it's this design.""",-0.4767
00:02:52.520,00:02:54.507,"And the faculty members looked at it and said,",0.0
00:02:54.507,00:02:59.507,"""Oh, obviously I can prove that the answer is this answer.""",0.0
00:03:00.970,00:03:02.840,They just didn't agree with each other.,-0.2755
00:03:02.840,00:03:05.160,- If we approximated as a chain of rigid links,-0.128
00:03:05.160,00:03:06.512,- I don't think you can just do that.,0.0
00:03:06.512,00:03:07.345,- What do you think?,0.0
00:03:07.345,00:03:09.420,- I think you're more likely to be C.,0.0
00:03:09.420,00:03:12.550,- I think it is D.,0.0
00:03:12.550,00:03:13.383,- D.,0.0
00:03:13.383,00:03:14.216,- My guess is B.,0.0
00:03:14.216,00:03:15.049,- What do you think? - B.,0.0
00:03:15.049,00:03:15.882,- B?,0.0
00:03:15.882,00:03:16.715,- Imma go with A.,0.0
00:03:16.715,00:03:19.123,"- Interestingly, no one chose E.",0.128
00:03:20.980,00:03:23.230,Have you locked in your prediction?,0.0
00:03:23.230,00:03:26.130,(helicopter blades whirring),0.0
00:03:26.130,00:03:27.720,To make sure the rope doesn't come up,0.3182
00:03:27.720,00:03:29.370,"into the rotors of the helicopter,",0.0
00:03:29.370,00:03:32.940,pilot Craig wanted to keep the rope on our right side,0.0
00:03:32.940,00:03:34.440,so he could keep an eye on it.,0.0
00:03:36.390,00:03:37.650,Looks pretty good.,0.7269
00:03:37.650,00:03:38.853,- I'm trying to make it look good.,0.4404
00:03:38.853,00:03:40.892,I mean I'm really working on it.,0.0
00:03:40.892,00:03:42.410,- You're working hard.,-0.1027
00:03:42.410,00:03:44.910,"So, we're not going straight forward.",-0.1695
00:03:44.910,00:03:49.511,We're actually going diagonally forward and to the left.,0.0
00:03:49.511,00:03:53.683,(upbeat music) (helicopter blades whirring),0.0
00:03:53.683,00:03:56.710,"But you can clearly see the rope is hanging straight,",0.7096
00:03:56.710,00:03:58.313,diagonally to the left.,0.0
00:03:59.240,00:04:00.990,"That's a pretty good diagonal, man.",0.7269
00:04:02.920,00:04:05.543,"So, the correct answer to the question is B.",0.0
00:04:09.017,00:04:09.979,You wanna pull it in?,0.0
00:04:09.979,00:04:11.146,- Up it comes.,0.0
00:04:12.350,00:04:14.480,"- [Derek] We're going to try a few more experiments,",0.0
00:04:14.480,00:04:17.750,adding a weight to the end of the rope and then a parachute.,0.0
00:04:17.750,00:04:21.770,But first I want to discuss why the answer is B.,0.1154
00:04:21.770,00:04:24.750,"There are two external forces acting on the rope,",0.0
00:04:24.750,00:04:28.680,gravity pulling it down and air resistance to the left.,0.0
00:04:28.680,00:04:30.720,"When flying along at constant speed,",0.0
00:04:30.720,00:04:32.970,these forces must be perfectly balanced,0.6369
00:04:32.970,00:04:35.060,by the tension in the rope.,-0.3182
00:04:35.060,00:04:37.400,"Now, when I set out to do this experiment,",0.0
00:04:37.400,00:04:38.970,I wondered if the rope would be affected,-0.1531
00:04:38.970,00:04:41.960,"by the air pushed down by the helicopters rotor,",0.0
00:04:41.960,00:04:43.840,but judging by our results.,0.0
00:04:43.840,00:04:45.350,This was not the case.,0.0
00:04:45.350,00:04:49.470,"- The rotor wash doesn't extend down below the helicopter,",-0.1326
00:04:49.470,00:04:53.700,all that far. It dissipates pretty quickly.,0.4939
00:04:53.700,00:04:56.030,"- So, you can consider the air resistance on the rope",0.0
00:04:56.030,00:05:00.100,as entirely due to its motion through still air.,0.0
00:05:00.100,00:05:03.810,Imagine dividing the rope up into many short sections.,0.0
00:05:03.810,00:05:06.090,Each section has the same weight,0.0
00:05:06.090,00:05:09.110,and experiences the same amount of air resistance,0.0
00:05:09.110,00:05:10.980,because it has the same cross-sectional area.,0.0
00:05:10.980,00:05:13.230,And it's moving at the same speed.,0.0
00:05:13.230,00:05:15.640,"Now, the tension in any section of the rope",-0.3182
00:05:15.640,00:05:18.320,must balance the sum of the air resistance,0.0
00:05:18.320,00:05:21.480,and weight of all the sections beneath it.,0.0
00:05:21.480,00:05:24.720,"So, the tension is zero at the bottom of the rope,",-0.3182
00:05:24.720,00:05:29.160,and it increases linearly up to a maximum at the top.,0.2023
00:05:29.160,00:05:31.600,"You can see the tension is small at the bottom of the rope,",-0.3182
00:05:31.600,00:05:33.090,and that's why it wiggles around,0.0
00:05:33.090,00:05:35.360,while the top is much steadier.,0.2023
00:05:35.360,00:05:37.710,"Now, although the magnitude of tension changes",-0.3182
00:05:37.710,00:05:40.650,"throughout the rope, it's direction doesn't.",0.0
00:05:40.650,00:05:43.380,And that's because the ratio of air resistance,0.0
00:05:43.380,00:05:47.680,to weight is the same at every point along the rope.,0.0
00:05:47.680,00:05:50.870,That is why a uniform flexible cable hangs,0.2263
00:05:50.870,00:05:54.540,in a straight diagonal line when pulled at constant speed,0.2263
00:05:54.540,00:05:56.060,by a helicopter.,0.0
00:05:56.060,00:05:57.860,"If the helicopter flies faster,",0.0
00:05:57.860,00:06:00.290,"the angle of the rope changes,",0.0
00:06:00.290,00:06:02.660,but it still makes a diagonal straight line,0.3291
00:06:02.660,00:06:05.740,because the ratio of air resistance to weight,0.0
00:06:05.740,00:06:09.243,is still constant along the entire length of the rope.,0.0
00:06:10.420,00:06:12.177,"But this got me wondering,",0.0
00:06:12.177,00:06:14.970,"""What would happen if we added a weight",0.0
00:06:14.970,00:06:16.260,"to the end of the rope?""",0.0
00:06:16.260,00:06:18.450,"Here, I have a 20 pound,",0.0
00:06:18.450,00:06:20.470,that's an eight or nine kilos kettlebell.,0.0
00:06:20.470,00:06:22.320,And I want to ask you to make a prediction.,0.0772
00:06:22.320,00:06:25.320,What shape do you think the rope will make now?,0.0
00:06:25.320,00:06:27.490,"Will it still be that diagonal,",0.0
00:06:27.490,00:06:31.330,or will it be one of the other five options?,0.0
00:06:31.330,00:06:32.400,One more question for you.,0.0
00:06:32.400,00:06:34.250,"If we chucked a weight at the bottom,",0.0
00:06:35.180,00:06:36.524,which shape would it be?,0.0
00:06:36.524,00:06:37.650,- Oh. - Probably D.,0.0
00:06:39.140,00:06:42.350,"- B, or possibly C.",0.0
00:06:42.350,00:06:43.290,- [Derek] Does that change it?,0.0
00:06:43.290,00:06:44.823,- Then I think it would be B.,0.0
00:06:44.823,00:06:47.656,(whimsical music),0.0772
00:06:48.600,00:06:49.983,- Easy to do on the ground.,0.4404
00:06:51.822,00:06:53.344,(helicopter blades whirring),0.0
00:06:53.344,00:06:56.400,"Alright, we're dropping the rope over the side.",0.25
