Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:03.730,"- Mathematics began as a way to quantify our world,",0.0
00:00:03.730,00:00:04.910,"to measure land,",0.0
00:00:04.910,00:00:08.480,"predict the motions of planets, and keep track of commerce.",0.0
00:00:08.480,00:00:11.590,Then came a problem considered impossible.,-0.4019
00:00:11.590,00:00:14.450,The secret to solving it was to separate math,0.34
00:00:14.450,00:00:18.220,"from the real world, to split algebra from geometry",0.0
00:00:18.220,00:00:20.840,and to invent new numbers so fanciful,0.0
00:00:20.840,00:00:23.020,they are called imaginary.,0.0
00:00:23.020,00:00:26.750,"Ironically, 400 years later, these very numbers turn up",0.0
00:00:26.750,00:00:30.400,in the heart of our best physical theory of the universe.,0.8555
00:00:30.400,00:00:33.940,Only by abandoning math's connection to reality,-0.3818
00:00:33.940,00:00:36.956,could we discover reality's true nature.,0.4215
00:00:36.956,00:00:38.720,(light music),0.0
00:00:38.720,00:00:41.290,"In 1494, Luca Pacioli",0.0
00:00:41.290,00:00:44.197,who is Leonardo da Vinci's math teacher publishes,0.0
00:00:44.197,00:00:47.560,"""Summa de Arithmetica,"" a comprehensive summary",0.25
00:00:47.560,00:00:51.230,of all mathematics known in Renaissance Italy at the time.,0.0
00:00:51.230,00:00:53.380,"In it, there's a section on the cubic,",0.0
00:00:53.380,00:00:56.370,any equation which today we would write as ax cubed,0.0
00:00:56.370,00:01:00.200,plus bx squared plus cx plus d equals zero.,0.0
00:01:00.200,00:01:02.550,People have been trying to find a general solution,0.3182
00:01:02.550,00:01:05.630,"to the cubic for at least 4,000 years,",0.0
00:01:05.630,00:01:08.100,"but each ancient civilization that encountered it,",0.0
00:01:08.100,00:01:10.430,"the Babylonians, Greeks, Chinese,",0.0
00:01:10.430,00:01:12.740,"Indians, Egyptians, and Persians,",0.0
00:01:12.740,00:01:15.380,they all came up empty-handed.,0.0
00:01:15.380,00:01:17.990,Pacioli's conclusion is that a solution,0.3182
00:01:17.990,00:01:21.410,to the cubic equation is impossible.,0.0
00:01:21.410,00:01:23.370,"Now, this should be at least a little surprising,",0.204
00:01:23.370,00:01:25.130,"since without the X cubed term,",0.0
00:01:25.130,00:01:27.200,the equation is simply a quadratic.,0.0
00:01:27.200,00:01:29.310,And many ancient civilizations,0.0
00:01:29.310,00:01:32.620,had solved quadratics thousands of years earlier.,0.2732
00:01:32.620,00:01:34.610,"Today, anyone who's passed eighth grade",0.0
00:01:34.610,00:01:36.260,knows the general solution.,0.3182
00:01:36.260,00:01:39.340,It's minus b plus minus root b squared minus four ac,0.0
00:01:39.340,00:01:41.170,all over two a.,0.0
00:01:41.170,00:01:44.250,But most people just plug and chug into this formula,0.0
00:01:44.250,00:01:46.840,completely oblivious to the geometry,0.0
00:01:46.840,00:01:50.320,that ancient mathematicians used to derive it.,0.0
00:01:50.320,00:01:52.080,"You know, back in those days,",0.0
00:01:52.080,00:01:54.810,mathematics wasn't written down in equations.,0.0
00:01:54.810,00:01:58.220,It was written with words and pictures.,0.0
00:01:58.220,00:01:59.053,"Take, for example,",0.0
00:01:59.053,00:02:03.050,the equation x squared plus 26x equals 27.,0.0
00:02:03.050,00:02:06.480,Ancient mathematicians would think of the x squared term,0.0
00:02:06.480,00:02:10.980,like a literal square with sides of length x.,0.3612
00:02:10.980,00:02:12.670,"And then 26x,",0.0
00:02:12.670,00:02:17.010,"well, that would be a rectangle with one side of length 26",0.2732
00:02:17.010,00:02:19.780,"and the other side of length x,",0.0
00:02:19.780,00:02:24.430,and these two areas together add to 27.,0.0
00:02:24.430,00:02:26.880,So how do we figure out what x is?,0.0
00:02:26.880,00:02:31.880,"Well, we can take this 26x rectangle and cut it in half.",0.0
00:02:33.290,00:02:38.230,So now I have two 13x rectangles and I can position them,0.0
00:02:38.230,00:02:41.420,"so the new shape I create is almost a square,",0.2732
00:02:41.420,00:02:44.250,It's just missing this section down here.,-0.296
00:02:44.250,00:02:46.160,But I know the dimensions of this section.,0.0
00:02:46.160,00:02:48.450,It's just 13 by 13.,0.0
00:02:48.450,00:02:52.410,So I can complete the square by adding in,0.0
00:02:52.410,00:02:55.970,a 13 by 13 square.,0.0
00:02:55.970,00:02:57.860,"Now, since I've added 13-squared",0.0
00:02:57.860,00:03:01.450,"or 169 to the left-hand side of the equation,",0.0
00:03:01.450,00:03:03.480,I also have to add 169,0.0
00:03:03.480,00:03:05.980,to the right-hand side of the equation,0.0
00:03:05.980,00:03:07.670,to maintain the equality.,0.0
00:03:07.670,00:03:09.640,So now I have this larger square,0.0
00:03:09.640,00:03:13.917,"with sides of length X plus 13, and it is equal to 196.",0.0
00:03:16.470,00:03:19.700,Now the square root of 196 is 14.,0.0
00:03:19.700,00:03:23.330,"So I know that the sides of this square have length 14,",0.0
00:03:23.330,00:03:26.820,which means X is equal to one.,0.0
00:03:26.820,00:03:29.870,Now this is a great visual way,0.6249
00:03:29.870,00:03:34.870,"to solve a quadratic equation, but it isn't complete.",0.1027
00:03:34.910,00:03:37.080,"I mean, if you look at our original equation,",0.3182
00:03:37.080,00:03:39.820,x equals one is a solution.,0.3182
00:03:39.820,00:03:42.960,But so is negative 27.,-0.7556
00:03:42.960,00:03:46.620,"For thousands of years, mathematicians were oblivious",0.0
00:03:46.620,00:03:49.430,to the negative solutions to their equations,-0.4588
00:03:49.430,00:03:52.020,"because they were dealing with things in the real world,",0.0
00:03:52.020,00:03:54.130,lengths and areas and volumes.,0.0
00:03:54.130,00:03:56.650,"I mean, what would it mean to have a square",0.0
00:03:56.650,00:03:59.590,with sides of length negative 27?,-0.5719
00:03:59.590,00:04:02.080,That just doesn't make any sense.,0.0
00:04:02.080,00:04:06.360,"So for those mathematicians, negative numbers didn't exist.",-0.5719
00:04:06.360,00:04:07.320,"You could subtract,",0.0
00:04:07.320,00:04:09.930,"that is find the difference between two positive quantities,",0.5574
00:04:09.930,00:04:11.740,but you couldn't have a negative answer,0.612
00:04:11.740,00:04:13.630,or negative coefficients.,-0.5719
00:04:13.630,00:04:15.960,Mathematicians were so averse to negative numbers,-0.6077
