Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:01.350,"- For hundreds of years,",0.0
00:00:01.350,00:00:05.100,"analog computers were the most powerful computers on Earth,",0.4754
00:00:05.100,00:00:09.720,"predicting eclipses, tides, and guiding anti-aircraft guns.",0.0
00:00:09.720,00:00:12.650,"Then, with the advent of solid-state transistors,",0.0
00:00:12.650,00:00:14.500,digital computers took off.,0.0
00:00:14.500,00:00:18.080,"Now, virtually every computer we use is digital.",0.0
00:00:18.080,00:00:21.730,"But today, a perfect storm of factors is setting the scene",0.7227
00:00:21.730,00:00:24.900,for a resurgence of analog technology.,0.0
00:00:24.900,00:00:27.530,"This is an analog computer,",0.0
00:00:27.530,00:00:30.430,"and by connecting these wires in particular ways,",0.0
00:00:30.430,00:00:32.670,I can program it to solve a whole range,0.2023
00:00:32.670,00:00:34.870,of differential equations.,0.0
00:00:34.870,00:00:37.740,"For example, this setup allows me to simulate",0.0
00:00:37.740,00:00:40.800,a damped mass oscillating on a spring.,0.0
00:00:40.800,00:00:43.720,"So on the oscilloscope, you can actually see the position",0.0
00:00:43.720,00:00:45.750,of the mass over time.,0.0
00:00:45.750,00:00:48.940,"And I can vary the damping,",0.0
00:00:48.940,00:00:51.900,"or the spring constant,",0.0
00:00:51.900,00:00:54.740,"or the mass, and we can see how the amplitude",0.0
00:00:54.740,00:00:57.740,and duration of the oscillations change.,0.0
00:00:57.740,00:01:00.060,Now what makes this an analog computer,0.0
00:01:00.060,00:01:03.440,is that there are no zeros and ones in here.,-0.296
00:01:03.440,00:01:06.810,"Instead, there's actually a voltage that oscillates",0.0
00:01:06.810,00:01:10.260,up and down exactly like a mass on a spring.,0.3612
00:01:10.260,00:01:12.770,The electrical circuitry is an analog,0.0
00:01:12.770,00:01:14.330,"for the physical problem,",-0.4019
00:01:14.330,00:01:16.660,it just takes place much faster.,0.0
00:01:16.660,00:01:19.120,"Now, if I change the electrical connections,",0.0
00:01:19.120,00:01:20.300,I can program this computer,0.0
00:01:20.300,00:01:22.270,"to solve other differential equations,",0.2023
00:01:22.270,00:01:24.010,"like the Lorenz system,",0.3612
00:01:24.010,00:01:27.290,which is a basic model of convection in the atmosphere.,0.0
00:01:27.290,00:01:29.460,Now the Lorenz system is famous because it was one,0.0
00:01:29.460,00:01:32.270,of the first discovered examples of chaos.,-0.5719
00:01:32.270,00:01:35.520,"And here, you can see the Lorenz attractor",0.296
00:01:35.520,00:01:38.400,with its beautiful butterfly shape.,0.5994
00:01:38.400,00:01:39.900,"And on this analog computer,",0.0
00:01:39.900,00:01:42.360,I can change the parameters,0.0
00:01:42.360,00:01:45.563,and see their effects in real time.,0.0
00:01:46.410,00:01:47.980,So these examples illustrate some,0.0
00:01:47.980,00:01:50.650,of the advantages of analog computers.,0.3612
00:01:50.650,00:01:53.260,"They are incredibly powerful computing devices,",0.4754
00:01:53.260,00:01:56.580,and they can complete a lot of computations fast.,0.0
00:01:56.580,00:01:59.133,"Plus, they don't take much power to do it.",0.0
00:02:01.520,00:02:02.900,"With a digital computer,",0.0
00:02:02.900,00:02:05.600,"if you wanna add two eight-bit numbers,",0.0
00:02:05.600,00:02:08.120,"you need around 50 transistors,",0.0
00:02:08.120,00:02:09.760,"whereas with an analog computer,",0.0
00:02:09.760,00:02:12.240,"you can add two currents,",0.0
00:02:12.240,00:02:15.760,just by connecting two wires.,0.0
00:02:15.760,00:02:18.380,"With a digital computer to multiply two numbers,",0.0
00:02:18.380,00:02:20.970,"you need on the order of 1,000 transistors",0.0
00:02:20.970,00:02:23.600,"all switching zeros and ones,",0.0
00:02:23.600,00:02:24.960,"whereas with an analog computer,",0.0
00:02:24.960,00:02:28.480,"you can pass a current through a resistor,",0.0
00:02:28.480,00:02:31.850,and then the voltage across this resistor,0.0
00:02:31.850,00:02:34.290,will be I times R.,0.0
00:02:34.290,00:02:35.700,"So effectively,",0.4927
00:02:35.700,00:02:38.883,you have multiplied two numbers together.,0.0
00:02:40.010,00:02:42.930,But analog computers also have their drawbacks.,0.0
00:02:42.930,00:02:43.763,"For one thing,",0.0
00:02:43.763,00:02:46.430,they are not general-purpose computing devices.,0.0
00:02:46.430,00:02:49.430,"I mean, you're not gonna run Microsoft Word on this thing.",0.0
00:02:49.430,00:02:52.990,"And also, since the inputs and outputs are continuous,",0.0
00:02:52.990,00:02:55.920,I can't input exact values.,-0.3089
00:02:55.920,00:02:58.980,"So if I try to repeat the same calculation,",0.0
00:02:58.980,00:03:01.870,I'm never going to get the exact same answer.,0.0
00:03:01.870,00:03:04.660,"Plus, think about manufacturing analog computers.",0.0
00:03:04.660,00:03:06.300,There's always gonna be some variation,0.0
00:03:06.300,00:03:08.200,"in the exact value of components,",0.34
00:03:08.200,00:03:10.370,like resistors or capacitors.,0.3612
00:03:10.370,00:03:12.260,"So as a general rule of thumb,",0.0
00:03:12.260,00:03:15.540,you can expect about a 1% error.,-0.4019
00:03:15.540,00:03:17.340,"So when you think of analog computers,",0.0
00:03:17.340,00:03:20.820,"you can think powerful, fast, and energy-efficient,",0.4215
00:03:20.820,00:03:25.730,"but also single-purpose, non-repeatable, and inexact.",0.0
00:03:25.730,00:03:28.140,"And if those sound like deal-breakers,",0.3612
00:03:28.140,00:03:30.010,it's because they probably are.,0.0
00:03:30.010,00:03:31.850,I think these are the major reasons,0.0
00:03:31.850,00:03:33.610,why analog computers fell out of favor,0.4019
00:03:33.610,00:03:36.900,as soon as digital computers became viable.,0.0
00:03:36.900,00:03:41.318,"Now, here's why analog computers may be making a comeback.",0.0
00:03:41.318,00:03:43.800,(computers beeping),0.0
00:03:43.800,00:03:46.500,It all starts with artificial intelligence.,0.4767
00:03:46.500,00:03:48.710,- [Narrator] A machine has been programmed to see,0.0
00:03:48.710,00:03:50.043,and to move objects.,0.0
00:03:51.330,00:03:52.940,- AI isn't new.,0.0
