Start Time,End Time,Text,sentiment-score
00:00:02.404,00:00:03.713,- [Zac] Are you all right to grab the back end?,0.0
00:00:03.713,00:00:05.147,"- [Derek] Uh, well, not at the moment.",0.2732
00:00:05.147,00:00:06.677,- Not yet.,0.0
00:00:06.677,00:00:07.510,Get him up.,0.0
00:00:07.510,00:00:08.490,You gotta lock him in.,0.0
00:00:11.010,00:00:13.830,A scratch from this species will knock you.,0.0
00:00:13.830,00:00:15.000,- Knock you down...,0.0
00:00:15.000,00:00:15.833,Could kill you? Or...,-0.6908
00:00:15.833,00:00:17.193,"- Oh definitely, yeah, yeah, yeah.",0.8074
00:00:17.193,00:00:17.923,- Okay.,0.2263
00:00:18.980,00:00:20.640,"So I am back in Australia,",0.0
00:00:20.640,00:00:21.740,"and, of course, I'm a reminded",0.0
00:00:21.740,00:00:24.170,"that everything in this country is trying to kill you,",-0.6908
00:00:24.170,00:00:26.020,"particularly snakes and spiders,",0.0
00:00:26.020,00:00:28.230,and here at the Australian Reptile Park,0.0
00:00:28.230,00:00:30.440,they actually milk snakes and spiders,0.0
00:00:30.440,00:00:33.260,so they can use their venom to make antivenom,0.0
00:00:33.260,00:00:34.490,and save lives.,0.4939
00:00:34.490,00:00:36.397,Let's go see how they do it.,0.0
00:00:36.397,00:00:37.460,"- All right, so come on in, man.",0.0
00:00:37.460,00:00:38.540,This is without a doubt,0.2755
00:00:38.540,00:00:40.560,the most dangerous room in the country.,-0.5256
00:00:40.560,00:00:42.130,You're currently surrounded floor to ceiling,0.0
00:00:42.130,00:00:43.193,with venomous snakes.,0.0
00:00:48.800,00:00:50.400,- And the only thing that keeps the snakes in,0.0
00:00:50.400,00:00:52.320,is those little locks?,0.0
00:00:52.320,00:00:54.635,"- Yeah, just the little locks and the thin glass.",0.296
00:00:54.635,00:00:57.635,(suspenseful music),0.0
00:00:58.904,00:01:00.100,- [Derek] Did a snake actually do that?,0.0
00:01:00.100,00:01:00.933,- Yeah.,0.296
