Start Time,End Time,Text,sentiment-score
00:00:00.160,00:00:03.440,One single scientist created three inventions,0.25
00:00:03.440,00:00:07.280,"that accidentally caused the deaths of millions of people,",-0.34
00:00:07.840,00:00:09.280,including himself.,0.0
00:00:10.000,00:00:13.760,"Not only that, they decreased the&nbsp; average intelligence of people&nbsp;",0.4767
00:00:13.760,00:00:15.040,"all around the world,",0.0
00:00:15.040,00:00:16.480,"increased crime rates,",-0.34
00:00:16.480,00:00:20.080,and caused two completely&nbsp; separate environmental disasters,-0.5574
00:00:20.080,00:00:22.480,that we are still dealing with today.,0.0
00:00:24.080,00:00:26.240,Part of this video is sponsored by Wren.,0.0
00:00:26.240,00:00:29.840,More about them at the end of the show.,0.0
00:00:30.400,00:00:33.760,"In 1944, as a young chemist who had just finished his",0.0
00:00:33.760,00:00:38.080,"Master's, Clair Patterson went to work on the Manhattan Project,",0.0
00:00:38.080,00:00:40.960,building the first nuclear weapons.,-0.4404
00:00:40.960,00:00:46.560,"His job was to concentrate uranium-235, the fissile fuel for bombs",0.0
00:00:46.560,00:00:49.520,from the much more common uranium-238.,0.0
00:00:49.520,00:00:55.040,"And this required huge machines, mass spectrometers, which separated",0.3182
00:00:55.040,00:00:58.480,the two types of uranium by their slight difference in mass.,0.0
00:01:04.560,00:01:07.760,"After the war, Patterson went back to grad school to get his",-0.5994
00:01:07.760,00:01:11.040,"PhD, he picked a research project that would take",0.0
00:01:11.040,00:01:13.840,advantage of his experience with mass spectrometers:,0.25
00:01:14.480,00:01:16.560,measuring the age of the Earth.,0.0
00:01:18.400,00:01:21.920,Radioactive rocks are effectively clocks.,0.4404
00:01:21.920,00:01:26.880,"Uranium-238, for example, decays into thorium and then protactinium,",-0.4019
00:01:26.880,00:01:31.440,"and then 12 More decays until it ends up as lead-206, which is stable.",-0.2006
00:01:32.080,00:01:35.120,The rate of this decay is consistent and can be,-0.481
00:01:35.120,00:01:39.280,measured. It takes four and a half billion years for half of,0.0
00:01:39.280,00:01:43.120,a sample of U-238. to decay into lead-206,-0.4019
00:01:43.840,00:01:48.320,Patterson's PhD project was to determine the age of the Earth by measuring,0.0
00:01:48.320,00:01:51.920,"the ratio of uranium to lead in primordial rocks,",0.0
00:01:52.560,00:01:56.880,"but to calibrate his instrument, first he used zircon crystals whose",0.0
00:01:56.880,00:01:57.920,ages were known.,0.0
00:01:58.640,00:02:00.800,"Zircon is ideal for this purpose,",0.5267
00:02:00.800,00:02:03.840,because when it forms it contains trace amounts of,0.0
00:02:03.840,00:02:06.320,uranium but absolutely no lead.,-0.5006
00:02:06.880,00:02:11.760,"So any lead that you later find inside a zircon, you know must be the product",0.0
00:02:11.760,00:02:12.960,of a uranium decay.,-0.4019
00:02:14.000,00:02:17.040,"Patterson was tasked with&nbsp; measuring the lead content,",0.0
00:02:17.040,00:02:19.840,"and another student, George&nbsp; Tilton, measured uranium",0.0
00:02:21.280,00:02:24.880,Tilton 's uranium measurements were fine. They matched predictions.,0.2023
00:02:25.520,00:02:27.920,But Patterson's lead measurements were all,0.0
00:02:27.920,00:02:30.960,over the place. And they were many many times higher than,0.0
00:02:30.960,00:02:32.000,they expected.,0.0
00:02:32.000,00:02:34.240,We'd take George's uranium and my lead...,0.0
00:02:34.800,00:02:35.840,Not right Patterson!,0.0
00:02:37.200,00:02:39.040,There was lead there that didn't belong there.,0.0
00:02:40.480,00:02:43.120,So where was all this extra lead coming from?,0.0
00:02:43.920,00:02:48.480,That mystery would take over the rest of Clair Patterson's life,0.0
00:02:48.480,00:02:51.440,and bring him to the literal ends of the earth.,0.0
00:02:54.400,00:02:58.240,"In 1908, a woman was driving across the Belle Isle bridge",0.0
00:02:58.240,00:03:00.480,in Detroit. When her car stalled.,-0.2023
00:03:01.120,00:03:03.360,A passing motorist stopped to help.,0.2023
00:03:03.360,00:03:06.560,In those days cars needed to be hand cranked to start.,0.4939
00:03:07.280,00:03:10.080,"He knelt down and turned the crank,",0.0
00:03:10.080,00:03:13.520,and the engine roared to life. A little too suddenly.,0.0
00:03:14.080,00:03:17.520,The man couldn't get out of the way. The crank handle hit him in,0.0
00:03:17.520,00:03:19.200,the face and broke his jaw.,-0.4215
00:03:20.480,00:03:22.720,He died as a result of his injuries.,-0.5574
00:03:23.360,00:03:28.320,"His name was Byron Carter, and he was the founder of his own car company.",0.0
00:03:28.320,00:03:31.280,So he was well connected in the Detroit Auto scene.,0.3321
00:03:31.280,00:03:35.280,"He counted among his close friends, the founder of Cadillac, Henry Leland.",0.4767
00:03:36.000,00:03:38.480,Leland was so distraught over his friend's,-0.6825
00:03:38.480,00:03:42.960,death that he resolved to eliminate hand cranks from his vehicles.,0.0
00:03:44.000,00:03:46.827,Leland hired Charles Kettering to create a self-,0.2732
00:03:46.827,00:03:50.880,"starting car. And by 1911, he had a working prototype.",0.0
00:03:51.760,00:03:56.160,"Hand cranking was difficult and dangerous, and best left to men,",0.4215
00:03:57.200,00:04:00.240,but a car that started itself,0.0
00:04:00.240,00:04:01.680,changed everything.,0.0
00:04:02.400,00:04:04.080,The world's first crankless car,0.0
00:04:04.080,00:04:07.200,was the Cadillac Model 30. It was much more powerful than,0.4754
00:04:07.200,00:04:11.200,cars before it. It had a top speed of 45 miles per hour and,0.2023
00:04:11.200,00:04:15.760,"40 horsepower, double the Ford Model T. The Model 30 was a",0.0
00:04:15.760,00:04:19.200,"huge success for Cadillac, doubling the company's annual",0.7184
00:04:19.200,00:04:23.920,"sales, but it had a problem. It was deafeningly loud.",-0.5499
00:04:25.360,00:04:29.680,"In internal combustion engines a piston compresses the fuel-air mixture,",0.0
00:04:29.680,00:04:32.800,which is then ignited by a spark from the spark plug.,0.4215
00:04:32.800,00:04:36.000,The expanding hot gases push the piston back down.,0.0
00:04:36.640,00:04:39.120,The problem with the Model 30 engine was it,-0.4019
00:04:39.120,00:04:42.080,compressed the fuel-air mixture more than previous,0.0
00:04:42.080,00:04:45.120,"models so much in fact, that often the fuel would",0.0
00:04:45.120,00:04:48.960,spontaneously combust before the spark from the spark plug.,0.4215
00:04:48.960,00:04:51.840,"So rather than orderly, perfectly timed explosions,",0.6369
00:04:51.840,00:04:55.280,you'd get multiple haphazard combustions leading to,0.0
00:04:55.280,00:04:58.160,turbulent pressure waves inside the cylinder. The,-0.296
00:04:58.160,00:04:59.920,resulting sound led the problem,-0.4019
00:04:59.920,00:05:02.080,To become known as engine knocking.,0.0
00:05:03.520,00:05:06.800,"Knocking wasn't just hard on the ears, it hurt the engine's",-0.4774
