Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:03.600,- Do you bring this trick out at parties?,0.3506
00:00:03.600,00:00:05.460,- Oh no. It's a terrible party trick.,-0.1531
00:00:05.460,00:00:06.900,Here we go.,0.0
00:00:06.900,00:00:10.020,3.141592653589793,0.0
00:00:10.020,00:00:11.640,- This is Grant Gussman.,0.3612
00:00:11.640,00:00:13.080,He watched an old video of mine,0.0
00:00:13.080,00:00:13.913,about how we think,0.0
00:00:13.913,00:00:16.110,that there are two systems of thought.,0.0
00:00:16.110,00:00:19.650,System two is the conscious slow effortful system.,0.0
00:00:19.650,00:00:21.660,And system one is subconscious.,0.0
00:00:21.660,00:00:23.820,Fast and automatic.,0.0
00:00:23.820,00:00:26.460,"To explore how these systems work in his own head,",0.0
00:00:26.460,00:00:29.760,Grant decided to memorize a hundred digits of pi.,0.3612
00:00:29.760,00:00:30.593,- Three eight four four six...,0.0
00:00:30.593,00:00:33.000,- Then he just kept going.,0.0
00:00:33.000,00:00:36.480,"He has now memorized 23,000 digits of pi",0.0
00:00:36.480,00:00:38.947,in preparation to challenge the north American record,0.0772
00:00:38.947,00:00:40.753,- .95493038196.,0.0
00:00:40.753,00:00:41.586,That's 200.,0.0
00:00:41.586,00:00:44.169,(Derek laughs),0.4939
00:00:45.060,00:00:46.083,- That's amazing.,0.5859
00:00:47.970,00:00:51.663,I have wanted to make a video about experts for a long time.,0.0
00:00:56.790,00:00:58.470,"This is Magnus Carlsen,",0.0
00:00:58.470,00:01:00.570,the five time world chess champion.,0.5994
00:01:00.570,00:01:02.070,He's being shown chessboards,0.0
00:01:02.070,00:01:05.460,and asked to identify the game in which they occurred.,0.0
00:01:05.460,00:01:10.323,- This looks an awful lot like Tal V Botvinnik.,-0.128
00:01:10.323,00:01:13.584,(playful music),0.4404
00:01:13.584,00:01:14.417,- Whoops.,0.0
00:01:16.075,00:01:18.524,- Okay. This is the 24th game from Sevilla obviously.,0.2263
00:01:18.524,00:01:19.380,(chuckling),0.34
00:01:19.380,00:01:22.140,- Now I'm going to play through an opening.,0.34
00:01:22.140,00:01:25.050,And stop me when you recognize the game.,-0.296
00:01:25.050,00:01:28.444,And if you can tell me who was playing black in this one.,0.2023
00:01:28.444,00:01:29.277,Okay.,0.2263
00:01:29.277,00:01:32.550,(playful music),0.4404
00:01:32.550,00:01:34.555,I'm sure you've seen this opening before.,0.3182
00:01:34.555,00:01:35.941,- Okay. It's gonna be Anand.,0.2263
00:01:35.941,00:01:37.697,(laughs),0.4939
00:01:37.697,00:01:39.047,- Against?,0.0
00:01:39.047,00:01:40.500,- Zapata.,0.0
00:01:40.500,00:01:42.000,- How can he do this?,0.0
00:01:42.000,00:01:44.700,It seems like superhuman ability.,0.5859
00:01:44.700,00:01:45.540,"Well decades ago,",0.2732
00:01:45.540,00:01:46.740,scientists wanted to know,0.0
00:01:46.740,00:01:49.152,what makes experts like chess masters special.,0.6369
00:01:49.152,00:01:51.960,"Do they have incredibly high IQ's,",0.0
00:01:51.960,00:01:54.300,"much better spatial reasoning than average,",0.4404
00:01:54.300,00:01:56.520,bigger short term memory spans?,0.0
00:01:56.520,00:01:58.560,"Well, it turns out that as a group,",0.2732
00:01:58.560,00:02:02.640,chess masters are not exceptional on any of these measures.,0.0
00:02:02.640,00:02:04.380,But one experiment showed,0.0
00:02:04.380,00:02:08.100,how their performance was vastly superior to amateurs.,0.5423
00:02:08.100,00:02:10.980,"In 1973, William Chase and Herbert Simon",0.0
00:02:10.980,00:02:12.900,"recruited three chess players,",0.0
00:02:12.900,00:02:14.610,"a master, an A player,",0.0
00:02:14.610,00:02:18.030,"who's an advanced amateur, and a beginner.",0.25
00:02:18.030,00:02:20.430,A chess board was set up with around 25 pieces,0.0
00:02:20.430,00:02:22.740,positioned as they might be during a game.,0.0
00:02:22.740,00:02:24.000,And each player was allowed,0.0
00:02:24.000,00:02:26.460,to look at the board for five seconds.,0.0
00:02:26.460,00:02:27.390,Then they were asked,0.0
00:02:27.390,00:02:29.100,to replicate the setup from memory,0.0
00:02:29.100,00:02:31.260,on a second board in front of them.,0.0
00:02:31.260,00:02:32.550,The players could take as many,0.0
00:02:32.550,00:02:34.140,five second peeks as they needed,0.0
00:02:34.140,00:02:36.150,to get their board to match.,0.0
00:02:36.150,00:02:38.130,"From just the first look,",0.0
00:02:38.130,00:02:41.370,the master could recall the positions of 16 pieces.,0.0
00:02:41.370,00:02:43.017,"The A player could recall eight,",0.0
00:02:43.017,00:02:45.119,and the beginner only four.,0.0
00:02:45.119,00:02:48.000,The master only needed half the number of peeks,0.0772
00:02:48.000,00:02:50.730,as the A player to get their board perfect.,0.5719
00:02:50.730,00:02:52.620,But then the researchers arranged the board,0.0
00:02:52.620,00:02:54.600,with pieces in random positions,0.0
00:02:54.600,00:02:57.240,that would never arise in a real game.,0.0
00:02:57.240,00:02:59.325,"And now, the chess master performed",0.0
00:02:59.325,00:03:01.590,no better than the beginner.,-0.3412
00:03:01.590,00:03:02.520,"After the first look,",0.0
00:03:02.520,00:03:04.020,"all players, regardless of rank",0.0
00:03:04.020,00:03:06.810,could remember the location of only three pieces.,0.0
00:03:06.810,00:03:08.220,The data are clear.,0.3818
00:03:08.220,00:03:10.980,"Chess experts don't have better memory in general,",-0.3412
00:03:10.980,00:03:12.870,but they have better memory specifically,0.5927
00:03:12.870,00:03:15.960,for chess positions that could occur in a real game.,0.0
00:03:15.960,00:03:18.720,"The implication is what makes the chess master special,",0.4019
00:03:18.720,00:03:22.110,is that they have seen lots and lots of chess games.,0.0
00:03:22.110,00:03:22.943,"And over that time,",0.0
00:03:22.943,00:03:24.570,their brains have learned patterns.,0.0
