Start Time,End Time,Text,sentiment-score
00:00:00.180,00:00:02.769,This tiny robot weighs less than a tennis ball,0.0
00:00:02.880,00:00:05.823,and can jump higher than anything in the world.,0.0
00:00:09.150,00:00:11.211,"In the competitive world of jumping robots,",0.1779
00:00:11.310,00:00:14.081,"the previous record was 3.7 meters,",0.0
00:00:14.190,00:00:16.717,enough to leap a single-story building.,0.0
00:00:16.830,00:00:19.386,"This jumper can reach 31 meters,",0.0258
00:00:19.470,00:00:21.693,higher than a 10-story building.,0.0
00:00:23.790,00:00:24.825,It could jump all the way from,0.0
00:00:24.930,00:00:27.963,the Statue of Liberty's feet up to eye level.,0.0
00:00:30.690,00:00:32.699,"For something to count as a jump,",0.0
00:00:32.790,00:00:35.135,it must satisfy two criteria.,0.4588
00:00:35.220,00:00:38.205,"First, motion must be created by pushing off the ground,",0.25
00:00:38.280,00:00:40.440,"so, a quad-copter doesn't count",0.0
00:00:40.500,00:00:43.143,because it pushes off the air.,0.0
00:00:43.200,00:00:45.846,"And second, no mass can be lost,",-0.5423
00:00:45.930,00:00:50.684,"so, rockets constantly ejecting burnt fuel are not jumping,",0.0
00:00:50.760,00:00:53.320,and neither is an arrow launched from a bow.,0.128
00:00:53.370,00:00:55.289,The bow would have to come with the arrow,0.0
00:00:55.350,00:00:56.883,for it to count as a jump.,0.0
00:00:57.840,00:00:59.326,"Many animals jump,",0.0
00:00:59.370,00:01:02.763,from sand fleas to grass hoppers to kangaroos,0.0
00:01:02.880,00:01:04.998,and they launch their bodies into the air,0.0
00:01:05.130,00:01:08.435,with a single stroke of their muscles.,0.0
00:01:08.550,00:01:11.204,The amount of energy delivered in that single stroke,0.2732
00:01:11.310,00:01:13.173,determines the jump height.,0.0
00:01:13.290,00:01:14.308,"So if you wanna jump higher,",0.0
00:01:14.430,00:01:17.444,you have to maximize the strength of the muscle.,0.4939
00:01:17.550,00:01:19.713,The best jumper in the animal kingdom is,0.6369
00:01:19.830,00:01:21.813,the Galago or Bush baby.,0.0
00:01:23.700,00:01:26.320,And that's because 30% of their entire muscle mass,0.0
00:01:26.400,00:01:28.388,is dedicated to jumping.,0.4588
00:01:28.470,00:01:31.258,This allows the squirrel-sized primate,0.0
00:01:31.350,00:01:34.461,to jump over two meters from a standstill.,0.0
00:01:34.560,00:01:37.631,It has like very small arms and upper body,0.3612
00:01:37.710,00:01:39.833,"and it's just like, huge jumping legs.",0.5859
00:01:39.900,00:01:41.134,"It doesn't have better muscles or anything,",-0.3412
00:01:41.220,00:01:43.303,it just has more of them.,0.0
00:01:46.088,00:01:49.476,- There are some clever jumping toys.,0.4588
00:01:49.556,00:01:51.278,(laughs),0.4939
00:01:51.360,00:01:53.680,- I used to play with these poppers as a kid,0.34
00:01:53.760,00:01:55.449,"and when you deform a popper,",0.0
00:01:55.500,00:01:58.719,you store energy in its deformed shape.,0.2732
00:01:58.770,00:02:00.787,Effectively it becomes a spring,0.4404
00:02:00.900,00:02:03.457,and then just like an animal in one stroke,0.3612
00:02:03.570,00:02:05.625,it applies a large force to the ground,0.0
00:02:05.760,00:02:07.953,launching itself into the air.,0.0
00:02:09.058,00:02:12.232,(whimsical music),0.0772
00:02:12.360,00:02:14.801,All elastic jumpers follow the same principle,0.0
00:02:14.910,00:02:18.205,of storing energy in a spring and releasing that energy,0.4939
00:02:18.300,00:02:20.073,in a single stroke to jump.,0.0
00:02:21.330,00:02:22.876,But none of the jumping toys we had,0.0
00:02:22.980,00:02:25.846,could compare to this tiny robot.,0.0
00:02:25.965,00:02:27.614,(bouncy music),0.0
00:02:27.720,00:02:30.550,"- Of all the things that I have ever tried to film,",0.0
00:02:30.660,00:02:33.520,this is the most challenging.,0.2247
00:02:33.600,00:02:36.623,"Because it's so small, it accelerates rapidly",0.0
00:02:36.720,00:02:39.843,and travels a huge distance on each jump.,0.3182
00:02:40.830,00:02:44.493,Each takeoff happened faster than we could even register.,0.0
00:02:48.210,00:02:50.804,"Now, jumping might sound like a niche skill,",0.3612
00:02:50.880,00:02:53.040,but engineered jumpers would be perfect,0.7227
00:02:53.100,00:02:54.641,"for exploring other worlds,",0.0
00:02:54.720,00:02:58.145,particularly where the atmosphere is thin or non-existent.,0.0
00:02:58.200,00:03:00.714,"On the moon with one sixth the gravity of earth,",0.0
00:03:00.840,00:03:04.251,this robot would be able to leap 125 meters high,0.0
00:03:04.380,00:03:06.920,and half a kilometer forward.,0.0
00:03:07.050,00:03:10.791,"Rovers may struggle with steep cliffs and deep craters,",-0.3182
00:03:10.920,00:03:13.593,"but jumpers could hop in and out,",0.0
00:03:13.710,00:03:16.063,fetching samples to bring back to the Rover.,0.0
00:03:16.170,00:03:18.398,"And you don't lose much energy when jumping,",0.1139
00:03:18.510,00:03:19.499,so if you could store,0.0
00:03:19.620,00:03:22.202,"the kinetic energy back in the spring on landing,",0.2732
00:03:22.320,00:03:24.963,the efficiency could be near perfect.,0.7351
00:03:26.520,00:03:29.009,The team has already started to build an entire fleet,0.0
00:03:29.130,00:03:30.310,of jumping robots.,0.0
00:03:30.420,00:03:33.280,"Some of them can right themselves after landing so,",0.0
00:03:33.390,00:03:35.313,they can take off again right away.,0.0
00:03:36.630,00:03:38.251,Others are steerable.,0.0
00:03:38.340,00:03:40.554,They have three adjustable legs that allow the,0.2263
00:03:40.650,00:03:42.823,jumper to launch in any direction.,0.0
00:03:42.900,00:03:43.723,"- Essentially, what we've done is",0.0
00:03:43.800,00:03:45.759,we've added three additional legs,0.0
00:03:45.840,00:03:47.527,that don't store energy but rather allow it,0.2366
00:03:47.610,00:03:50.564,to form a tripod sort of that allows it to point a direction,0.0
00:03:50.640,00:03:52.233,and launch in that direction.,0.0
00:03:54.090,00:03:57.137,- But how does this jumping mechanism work?,0.0
00:03:57.210,00:03:59.272,"Well, the main structure consists of four pieces",0.2732
00:03:59.340,00:04:02.676,of carbon fiber bound together by elastic bands.,0.0
00:04:02.820,00:04:05.779,Together they create a spring that stores all,0.2732
00:04:05.910,00:04:08.448,the energy needed for the jump at the top of,0.4404
00:04:08.580,00:04:10.450,"the robot is a small motor,",0.0
00:04:10.590,00:04:13.487,a string wrapped around the axle is connected to the bottom,0.0
00:04:13.620,00:04:14.521,of the robot.,0.0
00:04:14.640,00:04:18.125,"So when the motor is turned on, it winds up the string",0.0
00:04:18.240,00:04:21.628,compressing the robot and this stores energy in,0.2732
00:04:21.750,00:04:24.264,the carbon fiber and rubber bands.,0.0
00:04:24.390,00:04:25.999,After about a minute and a half,0.0
00:04:26.130,00:04:29.102,the structure reaches maximum compression.,0.0516
00:04:29.220,00:04:30.871,How do you know like when to put it down?,0.3612
00:04:30.990,00:04:32.439,"- Basically once the bottom there,",0.0
00:04:32.550,00:04:33.874,"sits inward and it can stand up,",0.0
00:04:33.990,00:04:34.908,right now it would roll over.,0.0
00:04:35.010,00:04:35.775,- Right.,0.0
00:04:35.880,00:04:36.743,- Then you put it down.,0.0
00:04:36.840,00:04:38.979,- Got it. - So as soon as you can.,0.0
00:04:39.090,00:04:42.015,"- And at this point, a trigger releases the latch",0.0
00:04:42.120,00:04:44.818,that's holding the string on the axle.,0.0
00:04:44.910,00:04:47.554,So all the string unspools all at once and,0.0
00:04:47.640,00:04:51.307,the energy stored in the spring is released.,0.2732
00:04:55.770,00:04:57.664,- The jumper goes from a standstill,0.0
00:04:57.750,00:05:00.100,to over a hundred kilometers an hour,0.0
00:05:00.180,00:05:02.553,in only nine milliseconds.,0.0
00:05:12.030,00:05:15.393,That gives an acceleration of over 300 g's.,0.0
00:05:17.190,00:05:20.583,That would be enough to kill basically any living creature.,-0.6908
00:05:22.290,00:05:24.491,"- Watch out, watch out, watch out.",0.0
00:05:24.630,00:05:27.861,- But how does it jump so much higher than everything else?,0.0
00:05:27.990,00:05:31.531,Nearly 10 times higher than the previous record holder.,0.0
00:05:31.650,00:05:35.001,"Well, this jumper has three special design features.",0.5859
00:05:35.130,00:05:38.939,"First, the jumper is incredibly light at just 30 grams.",0.0
00:05:39.060,00:05:41.508,It achieves this weight by employing a tiny motor,0.0
00:05:41.610,00:05:42.509,and battery.,0.0
00:05:42.600,00:05:46.012,Plus its entire structure made of lightweight carbon fiber,0.0
00:05:46.110,00:05:48.682,and rubber doubles as the spring.,0.0
00:05:48.780,00:05:52.285,Per unit mass natural latex rubber can store more energy,0.5984
00:05:52.380,00:05:54.788,"than nearly any other elastic material,",0.0
00:05:54.870,00:05:57.243,"7,000 joules per kilogram.",0.0
00:06:02.520,00:06:05.899,And the design of the spring makes it ideal for its purpose.,0.5267
00:06:06.060,00:06:08.568,Initially they tried using only rubber bands connected,0.0
00:06:08.700,00:06:10.804,"to hinged aluminum rods,",0.0
00:06:10.950,00:06:14.174,"but with this design when compressing it, the force rises",0.0
00:06:14.310,00:06:16.509,to a peak and then decreases.,0.0
00:06:16.650,00:06:19.713,Just feels like it all of a sudden got a lot easier to pull.,0.6486
00:06:20.550,00:06:24.017,Another design with only carbon fiber slats requires a lot,0.0
00:06:24.150,00:06:25.385,"of force to get started,",0.0
00:06:25.500,00:06:27.687,and then it increases linearly after that.,0.0
00:06:27.810,00:06:30.624,There is more and more force required to do this.,0.0
00:06:30.750,00:06:33.593,The ultimate design is a hybrid of these two approaches.,0.0
00:06:33.720,00:06:36.563,The benefit being it's force profile is almost flat,0.4588
00:06:36.690,00:06:38.999,over the entire range of compression.,0.0
00:06:39.120,00:06:40.767,"Feels like that needs a lot of force,",0.3612
00:06:40.890,00:06:43.436,and now it feels pretty steady,0.4939
00:06:43.560,00:06:45.672,with the amount of force that I need to apply.,0.0
00:06:45.780,00:06:48.208,Therefore it provides double the energy storage,0.2732
00:06:48.330,00:06:49.409,of a typical spring,0.0
00:06:49.500,00:06:52.012,where force is proportional to displacement.,0.0
00:06:52.110,00:06:54.180,The researchers argue this is the most,-0.34
00:06:54.270,00:06:56.283,efficient spring ever made.,0.4215
00:06:58.410,00:06:59.352,"- Sometimes a string will snap,",0.0
00:06:59.460,00:07:01.688,it's not always consistent that it releases,0.0
00:07:01.860,00:07:02.960,when it's supposed to.,0.0
00:07:04.080,00:07:04.913,- Ooh.,0.0
00:07:05.970,00:07:06.660,"- There's a string cut,",-0.2732
00:07:06.803,00:07:07.994,let me go re-string it.,0.0
00:07:08.151,00:07:09.229,(fingers snap),0.0
00:07:09.390,00:07:10.897,I'll be right back. - All right.,0.0
00:07:11.040,00:07:12.866,- You'd probably expect that lighter would always,0.0
00:07:13.020,00:07:14.134,"be better with a jumper,",0.4404
00:07:14.280,00:07:16.603,especially if the added weight is simply dead weight,-0.6486
00:07:16.740,00:07:19.205,rather than anything useful like a spring or a motor.,0.6597
00:07:19.350,00:07:21.941,- So we're adding basically a chunk of steel,0.0
00:07:22.080,00:07:24.577,to our jumper and it's gonna jump higher.,0.0
00:07:24.720,00:07:27.280,And the key is that we're adding it to the top.,0.2023
00:07:27.420,00:07:28.748,"You want your body,",0.0772
00:07:28.890,00:07:32.118,the part that's moving to weigh at least as much as the foot,0.0
00:07:32.250,00:07:34.387,and when your body's lighter it's basically this collision,-0.4357
00:07:34.530,00:07:36.189,this energy transfer is very inefficient,0.2732
00:07:36.330,00:07:37.780,and you don't jump very high.,0.0
00:07:39.090,00:07:40.026,- But the real secret to how,0.0
00:07:40.140,00:07:42.495,this jumper can achieve such heights is through something,0.0
00:07:42.630,00:07:46.166,"the researchers call work multiplication, unlike an animal",0.0
00:07:46.290,00:07:49.102,"which can only jump using a single stroke of its muscle,",0.0
00:07:49.200,00:07:50.937,an engineered jumper can store up,0.0
00:07:51.060,00:07:53.606,the energy from many strokes or in this case,0.2732
00:07:53.700,00:07:55.842,many revolutions of its motor.,0.0
00:07:55.950,00:07:58.311,And that's how the motor can be so small.,0.0
00:07:58.410,00:08:01.014,It doesn't have to deliver the energy all at once.,0.2732
00:08:01.170,00:08:03.817,It builds it up gradually over a few minutes.,0.0
00:08:03.990,00:08:07.954,So the trade off is kind of like time for energy.,0.5118
