Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:02.880,"- This is the world's strongest magnet,",0.4404
00:00:02.880,00:00:05.190,"capable of sucking objects in,",0.3818
00:00:05.190,00:00:06.870,generating electric current.,0.0
00:00:06.870,00:00:08.160,Can you see that?,0.0
00:00:08.160,00:00:11.310,And levitating non-magnetic objects.,0.0
00:00:11.310,00:00:14.220,It even wreaks havoc on camera equipment.,-0.5994
00:00:14.220,00:00:16.770,"- Wire is magnetic! - So if it's a CMOS sensor,",0.0
00:00:16.770,00:00:18.630,the electrons just can't find their way.,0.0
00:00:18.630,00:00:19.650,"- Well, they get redirected.",0.2732
00:00:19.650,00:00:22.440,"- So yeah, if you notice bad video or audio,",-0.2516
00:00:22.440,00:00:23.850,know that it's incredibly hard,-0.1761
00:00:23.850,00:00:26.790,to shoot in these magnetic fields.,-0.34
00:00:26.790,00:00:29.190,A portion of this video was sponsored by Google.,0.0
00:00:30.060,00:00:32.610,I came to the National High Magnetic Field Laboratory,0.0
00:00:32.610,00:00:35.760,"in Tallahassee, Florida, where since the year 2000,",0.0
00:00:35.760,00:00:37.980,they have held the Guinness World Record,0.0
00:00:37.980,00:00:40.740,for the strongest continuous magnetic field.,0.4404
00:00:40.740,00:00:43.500,- Somebody left a chair where it wasn't supposed to be.,0.0
00:00:43.500,00:00:46.410,"It then got accelerated across the cell,",0.0
00:00:46.410,00:00:48.810,completely pulled the guts out of the chair.,0.0
00:00:48.810,00:00:52.410,"Now we all have those nice, super uncomfortable,",0.6249
00:00:52.410,00:00:53.340,wooden chairs.,0.0
00:00:53.340,00:00:55.010,"- For reference, the magnetic field",0.0
00:00:55.010,00:00:59.610,of the Earth is 0.00005 Tesla.,0.0
00:00:59.610,00:01:03.330,A fridge magnet is around 0.01 Tesla.,0.0
00:01:03.330,00:01:06.540,MRI machines can get up to three Tesla.,0.0
00:01:06.540,00:01:11.540,"But this electromagnet creates a magnetic field of 45 Tesla,",0.3919
00:01:11.820,00:01:15.603,so nearly a million times Earth's magnetic field.,0.0
00:01:17.160,00:01:19.830,"To achieve this field, the magnet consists",0.0
00:01:19.830,00:01:21.660,of an outer superconducting magnet,0.0
00:01:21.660,00:01:23.940,and an inner resistive magnet.,0.0
00:01:23.940,00:01:26.670,I'll explain why you need both types in a moment.,0.0
00:01:26.670,00:01:29.820,"The apparatus is two stories tall,",0.0
00:01:29.820,00:01:31.140,"but the maximum field,",0.0
00:01:31.140,00:01:33.720,"or field center, only occurs in the center",0.0
00:01:33.720,00:01:36.120,of a narrow cylinder that runs through the middle.,0.0
00:01:36.120,00:01:37.470,- Right now it's off. - Is it?,0.0
00:01:37.470,00:01:38.550,- [Tim] There's no magnet.,-0.296
00:01:38.550,00:01:40.650,- Can I put my finger in the bore?,-0.25
00:01:40.650,00:01:41.580,Is that a bad idea?,-0.5423
00:01:41.580,00:01:43.050,"- No, it's fine.",0.2023
00:01:43.050,00:01:44.250,You can totally do that.,0.0
00:01:45.150,00:01:46.473,- I'm gonna see. Oh.,0.0
00:01:47.340,00:01:49.230,So that's where there's 45 Tesla.,0.0
00:01:49.230,00:01:50.063,- Further down.,0.0
00:01:50.063,00:01:51.720,A meter away from that. - A meter down.,0.0
00:01:51.720,00:01:53.430,And so that just drops down,0.0
00:01:53.430,00:01:55.470,for a couple meters? - It's clear all the way,0.3818
00:01:55.470,00:01:56.970,through to the bottom. - Oh wow.,0.5859
00:01:56.970,00:02:00.540,- The maximum field is basically a centimeter tall.,0.0
00:02:00.540,00:02:01.373,- Yeah. - Here we have,0.296
00:02:01.373,00:02:02.206,very small samples.,0.0
00:02:02.206,00:02:05.370,Think something like a chip in a computer or a cell phone.,0.3612
00:02:05.370,00:02:07.050,That's what users will come in with.,0.0
00:02:07.050,00:02:10.470,So that's plenty big for what we want to do,0.0772
00:02:10.470,00:02:12.870,with material science or kinetic matter research.,0.0258
00:02:12.870,00:02:15.210,- Since we can't see or film in the center,0.0
00:02:15.210,00:02:16.950,"of the magnet, we're going to experiment",0.0
00:02:16.950,00:02:18.930,with the magnetic field that extends above,0.128
00:02:18.930,00:02:21.270,and around the magnet on this platform.,0.0
00:02:21.270,00:02:23.010,So the magnet's over there?,0.0
00:02:23.010,00:02:24.300,- Yes. - But the magnetic field,0.2144
00:02:24.300,00:02:25.860,extends all the way out here.,0.128
00:02:25.860,00:02:27.360,- Yes. - And past.,0.4019
00:02:27.360,00:02:29.730,"This is known as the fringe field,",0.0
00:02:29.730,00:02:32.010,"and although it's much weaker than 45 Tesla,",-0.4404
00:02:32.010,00:02:34.650,it is still plenty dangerous.,-0.4767
00:02:34.650,00:02:36.720,"- For a superconducting magnet,",0.0
00:02:36.720,00:02:39.420,it depends on the size of that bore.,-0.25
00:02:39.420,00:02:42.120,"So the bigger the bore, the larger the fringe field,",-0.25
00:02:42.120,00:02:46.350,because the magnetic flux does not penetrate the windings.,0.0
00:02:46.350,00:02:48.090,And you have to form a complete loop.,0.0
00:02:48.090,00:02:49.770,So those loops just move further,0.0
00:02:49.770,00:02:52.890,and further and further out to make that field.,0.0
00:02:52.890,00:02:55.800,So this is the 100 Gauss line for the fringe field.,0.0
00:02:55.800,00:02:57.240,- So what happens to objects,0.0
00:02:57.240,00:02:58.530,around the 100 Gauss line?,0.0
00:02:58.530,00:03:01.770,- Things with shapes will start orienting themselves,0.0
00:03:01.770,00:03:02.730,to the field.,0.0
00:03:02.730,00:03:04.863,"So if you have it sitting on a tabletop,",0.0
00:03:05.730,00:03:10.200,"say over here, it will start pivoting on its own.",0.0
00:03:10.200,00:03:13.080,"And if you get it too much closer, it will just go.",0.0
00:03:13.080,00:03:14.640,"And by the time you notice it's moving,",0.0
00:03:14.640,00:03:15.630,it's already too late.,0.0
00:03:15.630,00:03:17.640,"Meaning, no ferromagnetic objects",-0.296
00:03:17.640,00:03:18.840,within the 100 Gauss line.,0.0
00:03:18.840,00:03:21.660,"If you have anything ferromagnetic on you,",0.0
00:03:21.660,00:03:24.090,any implants that are metallic.,0.0
00:03:24.090,00:03:25.500,Pacemaker? Anybody?,0.0
00:03:25.500,00:03:26.763,Anybody? Anybody? Okay.,0.3094
00:03:28.110,00:03:30.060,- Ramping up this magnet to full power,0.0
00:03:30.060,00:03:32.520,takes around an hour and a half.,0.0
00:03:32.520,00:03:35.610,"That's because they have to put 47,000 amps",0.0
00:03:35.610,00:03:38.700,of current into the outer superconducting electromagnet.,0.0
00:03:38.700,00:03:39.620,"47,000 amps.",0.0
00:03:39.620,00:03:41.760,"- 47,000 amps, 500 volts.",0.0
00:03:41.760,00:03:43.950,- It is so insane.,-0.541
00:03:43.950,00:03:45.360,"- [Tim] All right, so let's take it all the way up",0.0
00:03:45.360,00:03:46.233,to full field.,0.0
00:03:48.480,00:03:49.440,- One thing that happens,0.0
00:03:49.440,00:03:51.600,"in a strong magnetic field, obviously,",0.5106
00:03:51.600,00:03:54.870,is that magnetic materials are attracted to it.,0.4215
00:03:54.870,00:03:56.400,We cut open a Nerf football,-0.2732
00:03:56.400,00:03:58.950,and put in a couple steel washers being careful,0.1531
00:03:58.950,00:04:01.050,to tape it up so the washers can't get out.,0.0
00:04:01.050,00:04:02.940,We also covered the opening to the magnet,0.0
00:04:02.940,00:04:05.070,so the ball won't get sucked down into it.,0.357
00:04:05.070,00:04:08.700,I got an unmodified Nerf football.,0.0
00:04:08.700,00:04:09.870,"And sure enough,",0.3182
00:04:09.870,00:04:12.993,it's easy to tell which ball contains the washers.,0.4404
00:04:16.320,00:04:17.670,I tried to throw the football,0.0
00:04:17.670,00:04:20.100,and hit the side of the magnet.,0.0
00:04:20.100,00:04:20.933,Okay.,0.2263
00:04:20.933,00:04:22.020,After a few misses.,-0.2263
00:04:22.020,00:04:24.624,No! Are you kidding me?,0.1759
00:04:24.624,00:04:25.457,No. - No.,0.0
00:04:26.940,00:04:29.220,- It bounced around and stuck.,-0.25
00:04:29.220,00:04:32.880,It should have looked more like this.,0.4201
00:04:32.880,00:04:34.860,Another thing to do if you have a strong magnet,0.5106
00:04:34.860,00:04:36.900,is get ferrofluid fluid.,0.0
00:04:36.900,00:04:40.020,"Ferrofluid fluid contains nanoscale pieces of magnetite,",0.0
00:04:40.020,00:04:41.940,"that's an iron containing mineral,",0.0
00:04:41.940,00:04:43.890,and they're suspended in solution,-0.2023
00:04:43.890,00:04:47.040,coded in surfactants so they don't all clump together.,0.0
00:04:47.040,00:04:48.870,"But in an external magnetic field,",0.0
00:04:48.870,00:04:53.400,they all line up like iron filings around a bar magnet.,0.3612
00:04:53.400,00:04:56.640,This ferrofluid fluid started to develop parallel ridges,0.0
00:04:56.640,00:04:58.950,even meters away from the magnet.,0.0
00:04:58.950,00:05:02.250,"And as we got closer, spikes formed on the surface,",0.0
00:05:02.250,00:05:04.980,aligning the magnetite particles with the field.,0.0
00:05:04.980,00:05:08.160,Closer still and the ferrofluid fluid climbed up the side,0.0
00:05:08.160,00:05:09.360,of the vessel.,0.0
00:05:09.360,00:05:11.203,"- [Tim] So it's not much, but it's just kind of a.",0.0
00:05:11.203,00:05:12.450,- A little bit of a tug?,0.0
00:05:12.450,00:05:14.280,"- [Tim] Yep, and then try and tilt it away,",0.296
00:05:14.280,00:05:16.530,and then you'll feel the difference.,0.0
00:05:16.530,00:05:17.363,- Oh yeah.,0.296
00:05:17.363,00:05:20.310,It definitely preferentially wants to come this way.,0.4019
00:05:20.310,00:05:22.530,Magnetite is actually the mineral that led people,0.0
00:05:22.530,00:05:25.470,to discover the phenomenon of magnetism in the first place.,0.0
00:05:25.470,00:05:27.630,"At least 3000 years ago,",0.0
00:05:27.630,00:05:30.330,naturally magnetized pieces of magnetite were found,0.0
