Start Time,End Time,Text,sentiment-score
00:00:00.000,00:00:03.180,I am about to get buried in concrete.,0.0
00:00:03.180,00:00:04.410,"And while that's happening,",0.0
00:00:04.410,00:00:07.410,I'm going to explain everything you need to know,0.0
00:00:07.410,00:00:09.360,about this substance.,0.0
00:00:09.360,00:00:11.970,So the first thing that I want to clear up is the difference,0.4404
00:00:11.970,00:00:13.920,"between cement and concrete,",0.0
00:00:13.920,00:00:15.870,"because people often mix these up, okay?",0.2263
00:00:15.870,00:00:17.820,Cement is like the glue.,0.3612
00:00:17.820,00:00:20.280,It's the matrix of stuff.,0.0
00:00:20.280,00:00:21.810,"Oh there, I feel it.",0.0
00:00:21.810,00:00:23.850,"Okay, that feels good.",0.5859
00:00:23.850,00:00:27.570,"Now concrete is cement plus aggregate,",0.0
00:00:27.570,00:00:30.060,so plus gravel and sand.,-0.197
00:00:30.060,00:00:33.810,And this is filling up really rather quickly.,0.0
00:00:33.810,00:00:36.840,Cement is the most important man-made substance,0.2716
00:00:36.840,00:00:37.890,on the planet.,0.0
00:00:37.890,00:00:42.360,We use more of it than any other substance apart from water.,0.0
00:00:42.360,00:00:46.800,"Every year, 500 kilograms of cement are created",0.25
00:00:46.800,00:00:49.890,"for every man, woman, and child on earth.",0.0
00:00:49.890,00:00:53.700,And that amount of cement can make two cubic meters,0.0
00:00:53.700,00:00:58.233,"of concrete, which is about two of these big fishbowls.",0.0
00:00:59.160,00:01:00.993,This video is sponsored by Wren.,0.0
00:01:01.920,00:01:04.710,I don't think people realize just how important concrete is.,0.2023
00:01:04.710,00:01:07.020,So here's another way to think about it.,0.0
00:01:07.020,00:01:10.650,"Every year, we make a certain weight of goods out of copper,",0.2732
00:01:10.650,00:01:12.360,"more out of aluminum,",0.0
00:01:12.360,00:01:16.110,"and then you have glass, asphalt, lime,",0.0
00:01:16.110,00:01:18.780,"iron is a big one for all the steel,",0.0
00:01:18.780,00:01:21.660,and then there's ceramic and wood.,0.0
00:01:21.660,00:01:24.600,"But by far, the solid product we make the most of,",0.2263
00:01:24.600,00:01:28.320,"is cementitious material, essentially cement.",0.0
00:01:28.320,00:01:33.320,We use as much of it as we do all other materials combined.,0.0
00:01:33.450,00:01:35.730,And it's easy to see why.,0.4404
00:01:35.730,00:01:38.040,Concrete is liquid rock.,0.0
00:01:38.040,00:01:40.770,You can pour it into any shape you like.,0.3612
00:01:40.770,00:01:43.920,It's strong and durable and inexpensive.,0.5106
00:01:43.920,00:01:45.870,And it is so easy to produce,0.5777
00:01:45.870,00:01:47.610,that people have been making a version of it,0.0
00:01:47.610,00:01:49.740,for thousands of years.,0.0
00:01:52.030,00:01:53.290,"To make primitive cement,",0.0
00:01:53.290,00:01:55.570,"the key ingredient is limestone,",0.0
00:01:55.570,00:01:57.610,which is basically calcium carbonate.,0.0
00:01:57.610,00:02:00.430,"If you heat it up to around 1,000 degrees Celsius,",0.0
00:02:00.430,00:02:03.280,"that drives off CO2 out of the rock,",0.0
00:02:03.280,00:02:07.180,"leaving calcium oxide, which is also known as quicklime.",0.0
00:02:07.180,00:02:10.930,"Now if you grind up the calcium oxide and mix it with water,",0.0
00:02:10.930,00:02:12.550,you get an exothermic reaction,0.0
00:02:12.550,00:02:14.830,"that creates calcium hydroxide,",0.2732
00:02:14.830,00:02:17.440,which you can pour into a mold.,0.0
00:02:17.440,00:02:21.400,"And over a time, it will absorb CO2 from the atmosphere,",0.0
00:02:21.400,00:02:26.400,turning back into calcium carbonate as the water evaporates.,0.0
00:02:26.620,00:02:28.420,"Now, that's a pretty good primitive cement.",0.7269
00:02:28.420,00:02:31.060,"It's the first way that people ever made cement,",0.0
00:02:31.060,00:02:32.860,but there are several drawbacks to it.,0.0
00:02:32.860,00:02:35.800,"I mean, for one thing, you can't make the molds very big",0.0
00:02:35.800,00:02:39.490,"because otherwise, CO2 can't penetrate all of the material",0.0
00:02:39.490,00:02:40.510,and harden it.,0.0
00:02:40.510,00:02:42.340,"Plus, it's not gonna work underwater",0.0
00:02:42.340,00:02:45.433,where there is no CO2 to harden your mixture.,-0.296
00:02:46.270,00:02:49.150,The Romans discovered the solution to these problems.,-0.1027
00:02:49.150,00:02:51.640,They added volcanic ash called pozzolana,0.0
00:02:51.640,00:02:54.100,to the crushed limestone before heating it up.,-0.4215
00:02:54.100,00:02:56.770,And they discovered this cement was much stronger,0.3818
00:02:56.770,00:02:58.390,and much more durable.,0.0
00:02:58.390,00:02:59.223,They used it,0.0
00:02:59.223,00:03:02.080,to create the largest unreinforced concrete dome,0.2732
00:03:02.080,00:03:07.080,"in the world, the Pantheon, which has stood for 2,000 years.",0.0
00:03:07.360,00:03:10.060,"And they built concrete piers into the sea,",0.0
00:03:10.060,00:03:12.130,which hardened underwater.,0.0
00:03:12.130,00:03:14.353,Some of which are still standing today.,0.0
00:03:15.850,00:03:18.460,"I did not expect it to feel this heavy,",0.0
00:03:18.460,00:03:20.410,like it's already really weighing down my feet,0.3612
00:03:20.410,00:03:21.580,and making me slightly concerned,0.0
00:03:21.580,00:03:23.770,about being able to get out.,0.0
00:03:23.770,00:03:27.700,What I can tell you is that concrete is about three times,0.0
00:03:27.700,00:03:29.830,as dense as water.,0.0
00:03:29.830,00:03:30.970,- Are you able to lift a leg?,0.0
00:03:30.970,00:03:31.803,I just wanna make sure,0.3182
