Start Time,End Time,Text,Date
00:00:01.580,00:00:05.970,Sometimes the simplest questions have the most amazing answers.,2012-10-30
00:00:05.970,00:00:10.950,Like how can trees be so tall? It's a question that doesn't even seem,2012-10-30
00:00:10.950,00:00:11.730,like it needs an answer.,2012-10-30
00:00:11.730,00:00:15.330,Trees just are tall. Some of them are over 100 meters.,2012-10-30
00:00:15.330,00:00:17.050,Why should there be a height limit?,2012-10-30
00:00:17.050,00:00:21.800,I'll tell you why. Tress need to transport water from their roots up into their topmost,2012-10-30
00:00:21.800,00:00:25.570,branches in order to survive. And that is no trivial task.,2012-10-30
00:00:25.570,00:00:30.140,There is a limit to the height that water can be sucked up a tube - it's 10 meters.,2012-10-30
00:00:30.140,00:00:35.130,"If you suck on a long vertical straw, the water will go no higher than 10 meters. At",2012-10-30
00:00:35.130,00:00:38.090,this point there will be a perfect vacuum at the top of the straw and the water will,2012-10-30
00:00:38.090,00:00:43.790,"start to boil spontaneously. For a tree to raise water 100 meters, it would have to create",2012-10-30
00:00:43.790,00:00:46.600,a pressure difference of 10 atmospheres.,2012-10-30
00:00:46.600,00:00:48.640,How would trees do that?,2012-10-30
00:00:48.640,00:00:53.180,"When I posed this conundrum, a lot of people said the answer is transpiration. And that's",2012-10-30
00:00:53.180,00:00:57.900,"when water evaporates from the leaf, pulling up the water molecules behind it. Now that's",2012-10-30
00:00:57.900,00:01:02.530,"clearly a mechanism a tree can use to create suction, but it doesn't help us overcome this",2012-10-30
00:01:02.530,00:01:05.710,"10 meter limit. The lowest the pressure can go is a pure vacuum,",2012-10-30
00:01:05.710,00:01:09.590,"which I imagine is not happening inside of tree leaves, right?",2012-10-30
00:01:09.590,00:01:15.110,"Right, Hank. So you might suspect that a tree does not contain continuous straw-like tubes",2012-10-30
00:01:15.110,00:01:20.860,The tree effectively has valves in it. So you don't have a column of water,2012-10-30
00:01:20.860,00:01:25.480,This big tube that you're saying needs to be full of water is actually made up of cells.,2012-10-30
