Start Time,End Time,Text,Date
00:00:00.130,00:00:05.280,"We have all heard of mind over matter, but is it possible that the right motivation can",2012-12-04
00:00:05.280,00:00:10.760,"actually help repair spinal damage?I have come to Lausanne, Switzerland to find out",2012-12-04
00:00:10.760,00:00:16.289,"about some innovative research being done to repair the spinal cords of rats using pharmaceuticals,",2012-12-04
00:00:16.289,00:00:17.289,electrical signals.,2012-12-04
00:00:17.289,00:00:19.579,And the key ingredient?,2012-12-04
00:00:19.579,00:00:21.489,Motivation.,2012-12-04
00:00:21.489,00:00:28.259,Sometimes with the right motivation anything is possible.,2012-12-04
00:00:28.259,00:00:36.570,Tres bien.,2012-12-04
00:00:36.570,00:00:41.120,The main function of the spinal cord is to transmit neural signals or messages between,2012-12-04
00:00:41.120,00:00:43.460,the brain and the rest of the body.,2012-12-04
00:00:43.460,00:00:48.260,"So when the spinal cord is severed or crushed, these messages can’t get past the injury.",2012-12-04
00:00:48.260,00:00:52.370,The result is often chronic paralysis.,2012-12-04
00:00:52.370,00:00:57.220,"Research in this area generally focuses on regenerating damaged nerve fibers, but here",2012-12-04
00:00:57.220,00:00:59.430,in Lausanne they are taking a different approach.,2012-12-04
00:00:59.430,00:01:00.430,"&gt;&gt; Bonjour, Derek.",2012-12-04
00:01:00.430,00:01:01.430,&gt;&gt; Bonjour.,2012-12-04
00:01:01.430,00:01:02.430,&gt;&gt; Welcome in the lab.,2012-12-04
00:01:02.430,00:01:03.440,"&gt;&gt; Ah, thank you.",2012-12-04
00:01:03.440,00:01:07.239,&gt;&gt; Professor Courtine’s work with rats is producing remarkable results.,2012-12-04
00:01:07.239,00:01:13.549,"&gt;&gt; So I thought, what can we actually deliver to the spinal cord the kind of information",2012-12-04
00:01:13.549,00:01:18.200,that the brain would deliver naturally in order to walk.,2012-12-04
00:01:18.200,00:01:21.399,&gt;&gt; The rats have their spinal cord’s cut in two places.,2012-12-04
00:01:21.399,00:01:27.760,"Although not completely severed, signals can’t get past the legion, leaving the rats paralyzed.",2012-12-04
00:01:27.760,00:01:32.390,"To reactivate the healthy, but disconnected neural cells below the injury, the researchers",2012-12-04
00:01:32.390,00:01:37.309,administer a cocktail of synthetic neural transmitters followed by electrical stimulation.,2012-12-04
00:01:37.309,00:01:44.779,&gt;&gt; I am cutting the cable that connects to the electrodes on the spinal cord so we can,2012-12-04
00:01:44.779,00:01:47.219,provide the stimulation to the spinal cord.,2012-12-04
00:01:47.219,00:01:48.219,&gt;&gt; Ok.,2012-12-04
00:01:48.219,00:01:50.500,So there are cables that run down the spinal cord?,2012-12-04
00:01:50.500,00:01:56.039,&gt;&gt; It actually runs under the skin and then it is sutured on top of the spinal cord.,2012-12-04
00:01:56.039,00:02:01.170,&gt;&gt; This electro-chemical combination mimics the input of the brain and reawakens the spinal,2012-12-04
00:02:01.170,00:02:02.280,cord below the lesion.,2012-12-04
00:02:02.280,00:02:05.170,&gt;&gt; Now I start the 20 immediately.,2012-12-04
00:02:05.170,00:02:07.920,"Oh, as soon as that is working.",2012-12-04
00:02:07.920,00:02:09.489,"It is amazing, right?",2012-12-04
00:02:09.489,00:02:10.489,&gt;&gt; The result?,2012-12-04
00:02:10.489,00:02:15.590,"After a few weeks of training and while on the treadmill, the rat is incredibly able",2012-12-04
00:02:15.590,00:02:16.590,to walk again.,2012-12-04
00:02:16.590,00:02:20.950,&gt;&gt; So this animal was completely paralyzed five minutes ago and now she is doing {?} stepping,2012-12-04
00:02:20.950,00:02:22.310,on the treadmill.,2012-12-04
00:02:22.310,00:02:23.970,And now we have got 20 speed.,2012-12-04
00:02:23.970,00:02:27.790,Even got the... the animal is capable of {?} on the treadmill.,2012-12-04
00:02:27.790,00:02:29.530,And look at this.,2012-12-04
00:02:29.530,00:02:30.570,You can let him do it yourself.,2012-12-04
00:02:30.570,00:02:31.990,I would stop the treadmill.,2012-12-04
00:02:31.990,00:02:34.730,"Oh, she stands immediately.",2012-12-04
00:02:34.730,00:02:37.950,&gt;&gt; But this is happening without the involvement of the brain.,2012-12-04
00:02:37.950,00:02:42.440,At this stage the rat’s stepping is stimulated by the treadmill.,2012-12-04
00:02:42.440,00:02:47.650,"The legs are moving independently of the brain, so the movement is completely involuntary.",2012-12-04
00:02:47.650,00:02:52.400,&gt;&gt; You can train rats on this treadmill for two months.,2012-12-04
00:02:52.400,00:02:55.100,You will not see recovery of voluntary control.,2012-12-04
00:02:55.100,00:02:56.100,Why?,2012-12-04
00:02:56.100,00:02:57.100,The brain is not involved.,2012-12-04
00:02:57.100,00:02:59.120,"There is no motivation to work, because we see that the rat...",2012-12-04
00:02:59.120,00:03:02.950,&gt;&gt; Motivation is the key to restoring voluntary movement.,2012-12-04
00:03:02.950,00:03:06.250,So this is when the irresistible Swiss chocolate comes in.,2012-12-04
00:03:06.250,00:03:14.030,"I brought a chocolate éclair . I ate half, but the other half is for the rat.",2012-12-04
00:03:14.030,00:03:15.730,"&gt;&gt; Yes, eat.",2012-12-04
00:03:15.730,00:03:16.730,&gt;&gt; she does like it.,2012-12-04
00:03:16.730,00:03:18.200,&gt;&gt; She likes it.,2012-12-04
00:03:18.200,00:03:24.400,&gt;&gt; We have a combination of like actually yogurt and chocolate which the rat love.,2012-12-04
00:03:24.400,00:03:29.349,&gt;&gt; This reward based training without a treadmill was the focus of the next phase of research.,2012-12-04
00:03:29.349,00:03:31.060,&gt;&gt; I have to get her in the right position.,2012-12-04
00:03:31.060,00:03:35.120,"&gt;&gt; They designed a special robot which only supports the paralyzed rat, but doesn’t",2012-12-04
00:03:35.120,00:03:36.120,propel it forward.,2012-12-04
00:03:36.120,00:03:42.530,&gt;&gt; This means that the rats really need to generate the propulsive forces to go to the,2012-12-04
00:03:42.530,00:03:45.510,"reward, which is the chocolate.",2012-12-04
00:03:45.510,00:03:50.100,&gt;&gt; So the rat is asked to go and to push herself forward.,2012-12-04
00:03:50.100,00:03:52.740,But she does get a little bit of help up and down.,2012-12-04
00:03:52.740,00:03:57.290,"&gt;&gt; So the rats have, again, been given electric chemical stimulants, but without the treadmill",2012-12-04
00:03:57.290,00:04:01.040,the rat has to decide for itself if it wants to walk.,2012-12-04
00:04:01.040,00:04:07.170,"&gt;&gt; When you want the animal to participate very actively, I mean, we are talking about",2012-12-04
00:04:07.170,00:04:11.430,"the championships of rehabilitation, you know?",2012-12-04
00:04:11.430,00:04:13.540,You need to motivate the rat at any cost.,2012-12-04
00:04:13.540,00:04:16.049,"&gt;&gt; Come, come, come, come, come.",2012-12-04
00:04:16.049,00:04:19.180,&gt;&gt; So Rubia does whatever it takes to coax the rat to walk.,2012-12-04
00:04:19.180,00:04:20.460,"&gt;&gt; Come on, jump, go forwards.",2012-12-04
