Start Time,End Time,Text,Date
00:00:00.120,00:00:06.060,In my last video we performed an experiment in which two identical wood blocks were shot,2013-08-30
00:00:06.060,00:00:09.990,"with the same rifle, one through the center of mass and the other one slightly off to",2013-08-30
00:00:09.990,00:00:10.990,one side.,2013-08-30
00:00:10.990,00:00:14.420,"Now if you haven’t seen that video yet, then click here now and go and watch it.",2013-08-30
00:00:14.420,00:00:20.720,"Or, if you are on a mobile device, click the link in the description.",2013-08-30
00:00:20.720,00:00:24.780,"So the question was: Compared to the block shot straight through its center, how high",2013-08-30
00:00:24.780,00:00:27.190,would the block shot to one side go?,2013-08-30
00:00:27.190,00:00:31.480,Now 60 percent of you predicted that it wouldn’t go as high.,2013-08-30
00:00:31.480,00:00:34.969,&gt;&gt; It didn’t seem as high.,2013-08-30
00:00:34.969,00:00:37.309,&gt;&gt; Now check out the high speed footage.,2013-08-30
00:00:37.309,00:00:39.290,"&gt;&gt; Oh, no.",2013-08-30
00:00:39.290,00:00:40.929,&gt;&gt; You can clearly see that both blocks...,2013-08-30
00:00:40.929,00:00:41.929,&gt;&gt; What?,2013-08-30
00:00:41.929,00:00:43.139,&gt;&gt; ... go to the exact same height.,2013-08-30
00:00:43.139,00:00:44.190,"&gt;&gt; Oh, come on.",2013-08-30
00:00:44.190,00:00:46.839,&gt;&gt; Nineteen percent said that it would go higher.,2013-08-30
00:00:46.839,00:00:52.569,And only 21 percent correctly predicted that both blocks would go to the exact same height.,2013-08-30
00:00:52.569,00:00:56.859,So most of us got it wrong the first time around and that includes Henry and me and,2013-08-30
00:00:56.859,00:00:59.029,Destin who has a lot of experience with this stuff.,2013-08-30
00:00:59.029,00:01:02.639,"&gt;&gt; I mean, I can’t tell you how many times I have hit wood with a rifle.",2013-08-30
00:01:02.639,00:01:06.500,&gt;&gt; So even experienced and intelligent people get it wrong sometimes.,2013-08-30
00:01:06.500,00:01:10.640,"In this case I think the result was particularly counter intuitive, because the spinning block",2013-08-30
00:01:10.640,00:01:13.890,clearly ended up with more energy than the other block.,2013-08-30
00:01:13.890,00:01:17.560,So I asked you guys to make me a video response and explain what is happening.,2013-08-30
00:01:17.560,00:01:19.400,And this is what I received.,2013-08-30
00:01:19.400,00:01:29.230,"&gt;&gt; If you imagine the bullet traveling through the center of the block, then...",2013-08-30
00:01:29.230,00:01:35.750,[multiple voices],2013-08-30
00:01:35.750,00:01:39.000,&gt;&gt; Whoa.,2013-08-30
00:01:39.000,00:01:40.740,That is a lot of video responses.,2013-08-30
00:01:40.740,00:01:42.250,And that is not even all of them.,2013-08-30
00:01:42.250,00:01:47.430,I have got to say I was blown away by all of the great video responses I received.,2013-08-30
00:01:47.430,00:01:51.850,"You guys are awesome and really, really appreciate all the effort you went to.",2013-08-30
00:01:51.850,00:01:57.590,"You know, some of you actually replicated the experiment, perhaps with different setups.",2013-08-30
00:01:57.590,00:01:59.630,"&gt;&gt; Oh, ah.",2013-08-30
00:01:59.630,00:02:04.090,"&gt;&gt; The experiment was featured on blog posts, including Scientific America and Wired.",2013-08-30
00:02:04.090,00:02:06.530,There is an interactive simulation you can try.,2013-08-30
