Start Time,End Time,Text,Date
00:00:00.130,00:00:02.139,"- Just press play, you mean?",2014-04-17
00:00:02.140,00:00:05.900,"- [Voiceover] Yeah, go for it. Whoa!",2014-04-17
00:00:06.260,00:00:14.800,[Music],2014-04-17
00:00:15.060,00:00:19.419,"- Now, you may have seen a Ruben's tube before. That's basically a pipe with a bunch of holes",2014-04-17
00:00:19.419,00:00:24.409,"in it, and you pump in a flammable gas, and light it on fire, so you basically create",2014-04-17
00:00:24.409,00:00:28.800,"a row of Bunsen burners. What's really cool is to play some sounds into the tube, and",2014-04-17
00:00:28.800,00:00:33.410,"you can actually set up standing waves. That is, there are areas, there are patterns of",2014-04-17
00:00:33.410,00:00:38.080,"the vibration of the air where there's a lot of vibration in some parts, and not very much",2014-04-17
00:00:38.080,00:00:43.710,"vibration in other parts. Now, that affects the flow rate of the gas inside that tube",2014-04-17
00:00:43.710,00:00:48.000,"into the atmosphere, and so it affects the height of those flames. So basically, you",2014-04-17
00:00:48.000,00:00:52.700,can visualize the standing wave pattern. I'm currently in Denmark with a team of physics,2014-04-17
00:00:52.700,00:00:56.010,and chemistry demonstrators who have taken this experiment to the next level. They've,2014-04-17
00:00:56.010,00:01:02.070,"actually created a two-dimensional Ruben's tube, a whole plane of Bunsen burners, effectively.",2014-04-17
00:01:02.070,00:01:03.870,How many holes in this tube?,2014-04-17
00:01:03.870,00:01:04.659,"- 2,500",2014-04-17
00:01:04.659,00:01:06.950,"- [Voiceover] 2,500 in this Pyro Board?",2014-04-17
00:01:06.950,00:01:07.189,- Yeah,2014-04-17
00:01:07.189,00:01:10.280,"- [Voiceover] So we're gonna see 2,500 little flames. Yeah. So, do you want to light it",2014-04-17
00:01:10.280,00:01:10.860,up?,2014-04-17
00:01:10.860,00:01:12.530,"- Yes, I really want to light it up.",2014-04-17
00:01:12.530,00:01:13.480,- [Voiceover] Why did you make this?,2014-04-17
00:01:14.000,00:01:20.020,"- Because, we really liked the Ruben's tube, but then we thought, ""when you put on more fire, then it always gets better.""",2014-04-17
00:01:22.560,00:01:23.840,Let's just turn [the frequency] down,2014-04-17
00:01:25.700,00:01:28.380,...and then we can just find the standing wave.,2014-04-17
00:01:28.380,00:01:31.540,"So, this is below the normal standing wave",2014-04-17
00:01:42.840,00:01:44.100,- [Voiceover] So what are we seeing here?,2014-04-17
00:01:44.600,00:01:49.020,- It's pretty much like the standing wave on the Ruben's tube. It's just in this direction.,2014-04-17
00:01:49.260,00:01:55.540,This is the lowest frequency that makes a standing wave in this pulse.,2014-04-17
00:01:55.840,00:01:57.340,- [Voiceover] So this is like the fundamental.,2014-04-17
00:01:57.420,00:01:58.220,- It's the fundamental.,2014-04-17
00:01:59.980,00:02:02.440,- [Voiceover] Can you show me what happens when you vary the volume a little bit?,2014-04-17
