Start Time,End Time,Text,Date
00:00:00.000,00:00:02.010,Derek: A couple of years ago my friend Destin,2017-03-20
00:00:02.010,00:00:04.020,and I wanted to definitively answer the,2017-03-20
00:00:04.020,00:00:06.029,question: does water actually swirl the,2017-03-20
00:00:06.029,00:00:07.859,opposite direction down the drain in the,2017-03-20
00:00:07.859,00:00:09.570,"other hemisphere? At the time, I was",2017-03-20
00:00:09.570,00:00:11.580,"living in Sydney, Australia, and Destin",2017-03-20
00:00:11.580,00:00:13.440,"was in Huntsville, Alabama. Those are",2017-03-20
00:00:13.440,00:00:15.210,"about the same latitude, just opposite",2017-03-20
00:00:15.210,00:00:17.730,"sides of the Equator, so we created two",2017-03-20
00:00:17.730,00:00:19.050,videos that were meant to be watched,2017-03-20
00:00:19.050,00:00:20.550,"simultaneously, and if you want to",2017-03-20
00:00:20.550,00:00:22.350,"synchronize them yourself, you can click",2017-03-20
00:00:22.350,00:00:24.090,"the link in the description, but we also",2017-03-20
00:00:24.090,00:00:25.680,recognize that that was a hassle for,2017-03-20
00:00:25.680,00:00:27.390,"some people, particularly watching on",2017-03-20
00:00:27.390,00:00:29.460,"mobile devices, and that's why I'm now",2017-03-20
00:00:29.460,00:00:32.189,releasing this extra wide video of both,2017-03-20
00:00:32.189,00:00:35.579,videos synchronized. The Simpsons did a,2017-03-20
00:00:35.579,00:00:37.739,whole episode based on toilet flushing,2017-03-20
00:00:37.739,00:00:40.079,"the opposite direction in Australia. Plus,",2017-03-20
00:00:40.080,00:00:42.390,other shows have supposedly demonstrated,2017-03-20
00:00:42.390,00:00:43.560,this effect.,2017-03-20
00:00:43.560,00:00:45.210,Destin: So I have seen documentaries,2017-03-20
00:00:45.210,00:00:46.500,that seemed to indicate that which,2017-03-20
00:00:46.500,00:00:48.149,hemisphere you're in determines which,2017-03-20
00:00:48.149,00:00:49.680,"way the water is going to swirl, but",2017-03-20
00:00:49.680,00:00:51.270,"there's this other group of people, and",2017-03-20
00:00:51.270,00:00:52.920,they seem really confident that it,2017-03-20
00:00:52.920,00:00:54.320,"doesn't matter where you're at, the",2017-03-20
00:00:54.320,00:00:57.000,water's going to swirl however it wants.,2017-03-20
00:00:57.000,00:00:59.180,Derek: so is this a real effect or not?,2017-03-20
00:00:59.180,00:01:00.539,Hank: the application of this principle to,2017-03-20
00:01:00.539,00:01:02.910,draining water in Earth's two hemispheres,2017-03-20
00:01:02.910,00:01:04.820,is just bunk.,2017-03-20
00:01:04.820,00:01:05.640,Destin: But if you ever just look,2017-03-20
00:01:05.640,00:01:06.990,for yourself and figured out which way your,2017-03-20
00:01:06.990,00:01:08.680,"toilets swirls,",2017-03-20
00:01:08.680,00:01:09.720,Derek: if you try it yourself,2017-03-20
00:01:09.720,00:01:13.799,you'll find inconsistent results.,2017-03-20
00:01:13.799,00:01:15.299,Destin: Here in Alabama I've noticed that some turn,2017-03-20
00:01:15.300,00:01:18.160,counterclockwise and some go clockwise,2017-03-20
00:01:18.160,00:01:19.980,Derek: this sink sometimes drains one way and,2017-03-20
00:01:19.980,00:01:22.220,sometimes the other way.,2017-03-20
00:01:22.220,00:01:24.320,"Destin: You see, most will it have little jets in it, so the",2017-03-20
00:01:24.330,00:01:25.700,swirl direction is determined by the,2017-03-20
00:01:25.710,00:01:27.420,design of the toilet and not which,2017-03-20
00:01:27.420,00:01:28.740,hemisphere you're in.,2017-03-20
00:01:28.780,00:01:29.780,Derek: In any container of,2017-03-20
00:01:29.790,00:01:31.110,water there's always going to be some,2017-03-20
00:01:31.110,00:01:33.060,rotation: the water is not perfectly,2017-03-20
00:01:33.060,00:01:35.549,"still, and it is this, rather than the",2017-03-20
00:01:35.549,00:01:37.320,"hemisphere, that determines which way the",2017-03-20
00:01:37.320,00:01:39.600,water will swirl down the drain.,2017-03-20
00:01:39.620,00:01:42.240,Derek: so it's a myth: crossing the equator does not,2017-03-20
00:01:42.240,00:01:43.560,mean the toilet's going to change,2017-03-20
00:01:43.560,00:01:45.570,directions. But what if we come into the,2017-03-20
00:01:45.570,00:01:46.740,garage and do a more controlled,2017-03-20
00:01:46.740,00:01:47.800,experiment?,2017-03-20
00:01:47.800,00:01:48.680,Derek: But what if we could,2017-03-20
00:01:48.689,00:01:51.210,eliminate all motion from the water?,2017-03-20
00:01:51.210,00:01:53.430,Destin: This is a one and a half meter kiddie pool.,2017-03-20
00:01:53.430,00:01:56.880,Derek: I have here a five foot wide kiddie pool.,2017-03-20
00:01:56.880,00:01:58.760,Destin: Instead of filling the pool with no vorticity at,2017-03-20
00:01:58.770,00:02:00.479,"all, I'm going against the way it's",2017-03-20
00:02:00.479,00:02:01.700,supposed to drain.,2017-03-20
00:02:01.700,00:02:02.790,So I'm trying to fill,2017-03-20
00:02:02.790,00:02:05.680,it with a flow going clockwise.,2017-03-20
00:02:05.680,00:02:06.980,Derek: I actually fill the pool in the,2017-03-20
00:02:06.990,00:02:09.330,anti-clockwise direction to be sure that,2017-03-20
00:02:09.330,00:02:11.700,any clockwise motion we see is no,2017-03-20
00:02:11.700,00:02:12.880,due to the way I filled the pool.,2017-03-20
00:02:12.880,00:02:15.420,Destin: So let's let the water settle for a complete day,2017-03-20
00:02:15.420,00:02:17.250,so that we know that it's perfectly still.,2017-03-20
00:02:17.250,00:02:20.280,Derek: I've left this water sitting here for 24,2017-03-20
00:02:20.280,00:02:22.650,hours. So it seems like I damped all of,2017-03-20
00:02:22.650,00:02:24.860,the motions from the filling.,2017-03-20
00:02:24.860,00:02:26.660,Destin: I'm not going to reach in and pull a plug out,2017-03-20
00:02:26.660,00:02:28.800,because that would induce some vorticity.,2017-03-20
00:02:28.800,00:02:30.420,I'm going to use this valve that I have,2017-03-20
00:02:30.420,00:02:33.160,connected to the bottom of the pool.,2017-03-20
00:02:33.180,00:02:37.520,"Derek: I really hope this works. Destin, wish me luck.",2017-03-20
00:02:37.560,00:02:38.780,Destin: Good luck Derek.,2017-03-20
00:02:38.780,00:02:39.660,Derek: I'm about to pull,2017-03-20
00:02:39.660,00:02:41.320,the plug.,2017-03-20
00:02:41.320,00:02:41.820,Destin: okay opening the valve in,2017-03-20
00:02:41.820,00:02:45.480,"Both: three, two, one",2017-03-20
00:02:45.480,00:02:47.940,Destin: Water should be flowing,2017-03-20
00:02:47.960,00:02:51.280,Derek: And the pool is draining. But you can't see any,2017-03-20
00:02:51.300,00:02:53.160,motion of the water just yet.,2017-03-20
00:02:53.220,00:02:54.920,been flowing for a couple of minutes and I,2017-03-20
00:02:54.930,00:02:56.489,"haven't seen anything yet, so we're going to",2017-03-20
00:02:56.489,00:02:57.940,put some dye in it.,2017-03-20
00:02:58.000,00:03:00.000,Derek: To help us see where the water is blowing I'm going to put,2017-03-20
00:03:00.000,00:03:01.920,some food coloring in on the four,2017-03-20
00:03:01.920,00:03:09.120,cardinal directions around the pool.,2017-03-20
00:03:09.120,00:03:10.680,"Destin: Check it out, it's like a tornado like right off",2017-03-20
00:03:10.680,00:03:12.020,the bat.,2017-03-20
00:03:12.020,00:03:13.720,We got a counterclockwise rotation.,2017-03-20
00:03:13.760,00:03:15.140,"We filled it up clockwise, and now",2017-03-20
00:03:15.140,00:03:17.800,it's going counterclockwise.,2017-03-20
00:03:19.480,00:03:21.200,Derek: You can clearly see that the water is,2017-03-20
