Start Time,End Time,Text,Date
00:00:00.000,00:00:03.720,Hey! This episode was sponsored by Head &amp; Shoulders.,2018-10-24
00:00:05.760,00:00:13.040,"A hundred and twenty-five million years ago in what is now China, dinosaurs walked the earth.",2018-10-24
00:00:14.620,00:00:18.360,and a few species of small feathered dinosaurs climbed trees,2018-10-24
00:00:19.120,00:00:21.300,This is Sinornithosaurus,2018-10-24
00:00:21.800,00:00:27.960,"Although they couldn't truly fly, they could glide, which helped them evade predators and catch prey",2018-10-24
00:00:28.820,00:00:33.580,What makes these dinosaurs unique is how well-preserved their fossils were.,2018-10-24
00:00:34.600,00:00:38.740,Normally when you find a dinosaur it's just a pile of bones and that's all there is.,2018-10-24
00:00:38.740,00:00:43.620,In between the feathers and the parts of the feather we saw little bits of skin,2018-10-24
00:00:43.620,00:00:49.200,And you can tell that they are skin - they're not just random bits of rock or broken up bone or something,2018-10-24
00:00:49.200,00:00:52.620,because they have a particular kind of cells within the structure,2018-10-24
00:00:52.620,00:00:56.880,which are just like the skin cells that we find in humans today,2018-10-24
00:00:57.540,00:01:00.860,"Well, my first thought when I saw these was this is dinosaur dandruff",2018-10-24
00:01:00.860,00:01:07.400,"and I was already planning to write the paper with the headline of we have discovered dinosaur dandruff,",2018-10-24
00:01:07.400,00:01:08.800,I thought great.,2018-10-24
00:01:08.800,00:01:13.920,So these dinosaurs may have had the first known case of dandruff.,2018-10-24
00:01:13.920,00:01:15.700,But it certainly wasn't the last,2018-10-24
00:01:15.700,00:01:19.360,Our skin cells are constantly replenishing themselves,2018-10-24
00:01:19.360,00:01:23.880,in fact every second 500 new skin cells are created,2018-10-24
00:01:23.880,00:01:27.700,"and as they move up through the outer layer of your skin, the epidermis",2018-10-24
00:01:27.700,00:01:32.800,They flatten out and harden until they fall off one by one,2018-10-24
00:01:32.800,00:01:38.440,In fact over your lifetime you will shed about a hundred pounds of dead skin,2018-10-24
00:01:38.440,00:01:43.740,But we don't really notice this because skin falls off in such tiny microscopic pieces,2018-10-24
00:01:43.740,00:01:50.180,except for some people from some parts of the body skin comes off in larger flakes,2018-10-24
00:01:50.180,00:01:55.300,typically from the skin under the hair the scalp and this is what's known as dandruff,2018-10-24
00:01:55.300,00:01:59.540,Now around half of everyone on earth suffers from it.,2018-10-24
00:01:59.540,00:02:03.040,So there are actually a lot of scientists who study this condition.,2018-10-24
00:02:03.040,00:02:07.060,and I'm flying to Cincinnati to Head &amp; Shoulders headquarters to visit their lab,2018-10-24
00:02:08.960,00:02:09.800,Okay.,2018-10-24
00:02:10.560,00:02:12.060,Do you need a break or something?,2018-10-24
00:02:12.060,00:02:15.200,"No, it's funny like 'cause I'm not really sure what I'm getting myself into right",2018-10-24
00:02:15.200,00:02:16.320,No. No.,2018-10-24
00:02:16.320,00:02:19.400,I am going to have my head swabbed,2018-10-24
00:02:19.400,00:02:20.880,Mm-hmm. You are,2018-10-24
00:02:20.880,00:02:24.160,"What what is that all about? I mean, this is something you do to people all the time?",2018-10-24
00:02:24.160,00:02:25.540,"Oh, yeah. Every day.",2018-10-24
00:02:25.540,00:02:29.120,--You're gonna cotton swab my scalp. --Yes,2018-10-24
00:02:29.120,00:02:32.140,And we're looking for what？,2018-10-24
00:02:32.140,00:02:39.000,So we are gonna be looking for the malassezia that is on your scalp.,2018-10-24
00:02:39.000,00:02:41.220,"Okay, so what do I need to do?",2018-10-24
00:02:41.220,00:02:44.420,So I need you to have a seat here.,2018-10-24
00:02:44.420,00:02:47.380,Let's see and I just put my head in here?,2018-10-24
00:02:47.380,00:02:52.320,"Yeah, put your head face forward. Okay. What I'm gonna do is I'm gonna part your hair.",2018-10-24
00:02:52.320,00:02:58.340,So now I'm gonna take my swab I'm basically gonna grab off your scalp. Mm-hmm,2018-10-24
00:02:58.340,00:03:00.640,So then what I do is I take this,2018-10-24
00:03:00.640,00:03:05.360,These are sticky plates here that I can plate the malassezia on,2018-10-24
00:03:05.360,00:03:07.400,and what I can do is I can add a stain,2018-10-24
00:03:07.400,00:03:14.300,throw this under the microscope and this is the individual cells of malassezia here.,2018-10-24
00:03:14.300,00:03:18.380,Malassezia globosa is a fungus that lives on your scalp,2018-10-24
00:03:18.380,00:03:22.840,it thrives in the warm moist environment under your hair,2018-10-24
00:03:22.840,00:03:28.640,"and it is thought to be one of the causes of dandruff. So, how did my swab come back?",2018-10-24
00:03:28.640,00:03:32.120,"Well, I have malassezia living on my head.",2018-10-24
00:03:32.120,00:03:36.420,This is actually what the fungus looks like. This is a lawn of the Malassezia globosa fungi.,2018-10-24
00:03:36.420,00:03:38.100,You say a lawn. It's a lawn.,2018-10-24
00:03:38.100,00:03:41.780,So basically you can see those little dots they're all individual colonies,2018-10-24
00:03:41.780,00:03:46.640,"and when they grow really close together like that, that's a lawn, Kind of like a bunch of grass",2018-10-24
00:03:49.180,00:03:52.900,Now that I'm close to and actually smell it it smells like bread,2018-10-24
00:03:52.900,00:03:54.780,"Yeah, well, you know, it's a yeast",2018-10-24
