Start Time,End Time,Text,Date
00:00:00.239,00:00:03.406,(shade balls rolling),2019-05-10
00:00:04.290,00:00:06.880,- These are shade balls.,2019-05-10
00:00:06.880,00:00:09.130,They're being dumped into this water reservoir,2019-05-10
00:00:09.130,00:00:10.910,in Los Angeles.,2019-05-10
00:00:10.910,00:00:13.010,"And contrary to what you may have heard,",2019-05-10
00:00:13.010,00:00:16.633,their main purpose is not to reduce evaporation.,2019-05-10
00:00:17.730,00:00:20.170,So what are they really for?,2019-05-10
00:00:20.170,00:00:23.000,"To find out, I'm visiting the largest collection",2019-05-10
00:00:23.000,00:00:24.821,"of these balls anywhere on earth,",2019-05-10
00:00:24.821,00:00:25.654,What?,2019-05-10
00:00:25.654,00:00:26.487,at LA Reservoir.,2019-05-10
00:00:27.490,00:00:30.240,(tranquil music),2019-05-10
00:00:32.650,00:00:34.550,96 million shade balls.,2019-05-10
00:00:34.550,00:00:35.483,- [Man 1] That's correct.,2019-05-10
00:00:35.483,00:00:36.780,(laughing),2019-05-10
00:00:36.780,00:00:38.063,- 96 million.,2019-05-10
00:00:39.120,00:00:41.517,It's very rare to for you to see 96 million of anything.,2019-05-10
00:00:41.517,00:00:42.350,- [Man 1] Yeah.,2019-05-10
00:00:42.350,00:00:43.183,(laughing),2019-05-10
00:00:43.183,00:00:45.460,- This is your life vest which you are required to wear.,2019-05-10
00:00:45.460,00:00:46.370,- All right.,2019-05-10
00:00:46.370,00:00:49.303,- Throw a leg over and climb on in any way you can.,2019-05-10
00:00:49.303,00:00:51.374,(tranquil music),2019-05-10
00:00:51.374,00:00:52.207,There you go.,2019-05-10
00:00:52.207,00:00:54.020,- [Narrator] Thank you.,2019-05-10
00:00:54.020,00:00:57.280,"Looking at this, I had so many questions.",2019-05-10
00:00:57.280,00:00:59.110,"Like, why are they black?",2019-05-10
00:00:59.110,00:01:01.740,Are they safe to have in drinking water?,2019-05-10
00:01:01.740,00:01:03.400,How much do they cost?,2019-05-10
00:01:03.400,00:01:05.735,Do they actually reduce evaporation?,2019-05-10
00:01:05.735,00:01:09.203,"And, what is their real purpose?",2019-05-10
00:01:09.203,00:01:12.970,(boat engine roaring),2019-05-10
00:01:12.970,00:01:14.560,Is that hard to drive in shade balls?,2019-05-10
00:01:14.560,00:01:15.570,- It is very hard.,2019-05-10
00:01:15.570,00:01:16.765,- Why is that?,2019-05-10
00:01:16.765,00:01:18.017,- 'Cause...,2019-05-10
