Start Time,End Time,Text,Date
00:00:00.960,00:00:04.200,"I'm at the Jet Propulsion Laboratory in Pasadena,",2019-08-10
00:00:04.200,00:00:08.800,and I'm here to see the first drone that's gonna fly on another planet.,2019-08-10
00:00:08.800,00:00:11.000,It's the Mars helicopter. Come on!,2019-08-10
00:00:11.000,00:00:14.840,- So this is our baby.,2019-08-10
00:00:14.840,00:00:15.800,- No way!,2019-08-10
00:00:15.800,00:00:16.880,- Yeah.,2019-08-10
00:00:16.880,00:00:22.600,- That thing right there is the actual machine that is going to take off and land on Mars.,2019-08-10
00:00:22.600,00:00:26.560,It's going with the Mars 2020 mission. That is the Mars helicopter.,2019-08-10
00:00:26.560,00:00:28.920,- This will be the first powered flight in another planet.,2019-08-10
00:00:30.140,00:00:31.700,- How awesome is that?,2019-08-10
00:00:31.720,00:00:34.600,"Now it's necessary to say first powered flight,",2019-08-10
00:00:34.600,00:00:39.920,"because in 1985, the Soviet Vega missions deployed two helium balloons on Venus.",2019-08-10
00:00:39.920,00:00:46.960,"They transmitted data for over forty six hours while floating at an altitude of 54 kilometers in Venus's dense atmosphere,",2019-08-10
00:00:46.960,00:00:51.320,which at the surface has a pressure of over 90 Earth atmospheres.,2019-08-10
00:00:51.320,00:00:56.560,"In contrast, Mars has very little atmosphere, only around 1% of Earth's.",2019-08-10
00:00:56.560,00:01:05.480,- Flying this kind of helicopter is equivalent to flying a similar helicopter on Earth at a hundred thousand feet.,2019-08-10
00:01:05.480,00:01:09.160,"So you don't know, you don't hear about many helicopters at a hundred thousand.",2019-08-10
00:01:09.160,00:01:11.280,I think forty thousand feet is probably the record.,2019-08-10
00:01:11.280,00:01:16.320,- I checked. Forty thousand feet is the record altitude reached by helicopters on Earth.,2019-08-10
00:01:16.320,00:01:19.720,"85,000 feet is the highest a plane has ever flown.",2019-08-10
00:01:19.720,00:01:23.520,"On Mars, the air is even thinner than that.",2019-08-10
00:01:23.520,00:01:26.560,- Right. In terms of density is 1% of what you have in this room.,2019-08-10
00:01:26.560,00:01:30.560,"So in this room, a cubic meter of air is about a kilogram.",2019-08-10
00:01:30.560,00:01:35.680,- Yeah - The same cubic meter on Mars will be about 15 grams to 18 grams.,2019-08-10
00:01:35.680,00:01:36.680,So that much,2019-08-10
00:01:36.680,00:01:38.520,- So you have to push a lot of air down.,2019-08-10
00:01:38.520,00:01:40.440,- Yes. You gotta get a lot of air flowing.,2019-08-10
00:01:40.440,00:01:45.400,"And so the obvious trick, if you will, is to spin the blades faster.",2019-08-10
00:01:45.400,00:01:49.320,- It can spin between 2300 rpm and 2900 rpm.,2019-08-10
00:01:49.320,00:01:50.240,- That is fast.,2019-08-10
00:01:50.240,00:01:51.240,- That is fast. Yes.,2019-08-10
00:01:51.800,00:01:55.200,- Here I'm trying to work out exactly how fast that is.,2019-08-10
00:01:55.200,00:02:01.040,"So I looked it up, and on Earth helicopters typically spin their rotors at around 500 rpm.",2019-08-10
00:02:01.040,00:02:05.360,So the Mars helicopter will have to spin its blades five times faster.,2019-08-10
00:02:05.360,00:02:11.320,"- But there are some limits you know, you really don't want to get the tips of the blades breaking the speed of sound,",2019-08-10
00:02:11.320,00:02:13.040,- cause then you have shockwaves and all sorts of,2019-08-10
00:02:13.040,00:02:18.760,"- and you get all kinds of funky aerodynamics and you know the transonic flows and things like that, so you don't want to go there.",2019-08-10
00:02:18.760,00:02:23.560,"So we, in our designs, keep the tip Mach numbers down to below about 0.7.",2019-08-10
00:02:23.560,00:02:25.040,- So 70% the speed sound.,2019-08-10
00:02:25.040,00:02:26.360,- Yeah. It was very conservative.,2019-08-10
00:02:26.360,00:02:32.080,- One advantage of flying on Mars is that gravity is only 38% of what it is on Earth.,2019-08-10
00:02:32.080,00:02:35.320,"Even so, making the craft lightweight was essential.",2019-08-10
00:02:35.320,00:02:40.560,- Keeping the mass of this vehicle contained during the entire design process has been the major challenge.,2019-08-10
00:02:40.560,00:02:44.000,- Every single part had to be considered.,2019-08-10
00:02:44.000,00:02:46.840,The entire vehicle is less than 1.8 kilograms,2019-08-10
00:02:46.840,00:02:47.360,- Woah!,2019-08-10
00:02:47.360,00:02:48.560,"- So, less than four pounds",2019-08-10
00:02:48.560,00:02:51.120,- That's about the same as this laptop.,2019-08-10
00:02:51.120,00:02:57.640,- The blades are a foam core with carbon fiber layup. Each of them is about 35 grams.,2019-08-10
00:02:57.640,00:02:58.040,- Wow.,2019-08-10
00:02:58.040,00:02:59.600,"- Yes, it's quite light. Yes.",2019-08-10
00:03:01.120,00:03:04.400,- 35 grams is the mass of six quarters.,2019-08-10
00:03:04.400,00:03:15.280,Think about that: two 35 gram blades lifting an 1800 gram helicopter by spinning 40 times per second in just 1% of Earth's atmosphere.,2019-08-10
00:03:15.280,00:03:17.360,How long can it fly for?,2019-08-10
00:03:18.080,00:03:20.560,- It's designed to fly up to 90 seconds.,2019-08-10
00:03:20.560,00:03:22.000,- A minute and a half of flight.,2019-08-10
00:03:22.000,00:03:22.480,- Yes.,2019-08-10
00:03:22.480,00:03:24.560,"- To me that sounds like forever,",2019-08-10
00:03:24.560,00:03:28.280,"when you're talking about another planet, flying autonomously by itself",2019-08-10
00:03:28.280,00:03:30.840,"in 1/100 earth atmosphere, I mean, come on!",2019-08-10
00:03:30.840,00:03:32.440,"Like, that's a long time!",2019-08-10
00:03:32.440,00:03:33.120,- That is. Yeah.,2019-08-10
00:03:33.120,00:03:37.520,"- One of the questions I had was, why didn't they use a quadcopter design?",2019-08-10
00:03:37.520,00:03:43.600,"Well, because on Mars, the blades have to be so long that the whole craft would barely fit on the rover.",2019-08-10
00:03:43.600,00:03:47.560,Two counter-rotating propellers provide the simplest design.,2019-08-10
00:03:47.560,00:03:52.200,They also generate lift more efficiently when stacked on top of each other.,2019-08-10
00:03:52.200,00:03:58.280,- The bottom rotor sees the sort of the more compactified flow.,2019-08-10
00:03:58.280,00:04:02.800,"The top one pulls it, the bottom one sees sort of a more concentrated flow.",2019-08-10
00:04:02.800,00:04:06.040,So the bottom rotor actually can do better than if they were separated apart.,2019-08-10
00:04:06.040,00:04:10.760,- But how do you test a helicopter designed for conditions on Mars on Earth?,2019-08-10
00:04:10.760,00:04:16.560,What would happen if you just took your Mars helicopter and you tried to take off on Earth?,2019-08-10
00:04:16.560,00:04:17.960,- It would just make a lot of noise.,2019-08-10
00:04:17.960,00:04:18.520,- Really?,2019-08-10
00:04:18.520,00:04:20.440,- And it probably wouldn't get the full head speed either...,2019-08-10
00:04:20.440,00:04:22.240,- because of how much atmosphere we've got.,2019-08-10
00:04:22.240,00:04:23.920,"- Exactly, it's like trying to swim in a thick soup.",2019-08-10
00:04:23.920,00:04:28.040,We have a really amazing chamber here on lab called the 25-foot space simulator.,2019-08-10
00:04:28.040,00:04:31.520,And in that chamber you could simulate any kind of atmosphere you want.,2019-08-10
00:04:31.520,00:04:34.360,"You can go to Martian pressures, you can stay at Earth pressures, whatever you want.",2019-08-10
00:04:34.360,00:04:38.240,"But that only took care of half of the problem, that was the aerodynamics aspect of it.",2019-08-10
00:04:38.240,00:04:40.200,There's the other part which is the gravity.,2019-08-10
00:04:40.200,00:04:43.600,"We needed a way to fake Mars' gravity here on Earth,",2019-08-10
00:04:43.600,00:04:46.760,and the best way that we could figure out to do that was a gravity offload.,2019-08-10
00:04:46.760,00:04:50.040,"- Gravity offload just means pulling up on the helicopter,",2019-08-10
00:04:50.040,00:04:55.080,so it only has to support about 38% of its weight just like it will have to do on Mars.,2019-08-10
00:04:55.080,00:04:57.200,"- And effectively it was a high-tech fishing reel,",2019-08-10
00:04:57.200,00:05:01.080,"so taking a brushed DC motor, a reaction torque sensor, and a pulley,",2019-08-10
00:05:01.080,00:05:03.240,mounting that a couple stories in the air,2019-08-10
00:05:03.240,00:05:06.360,and then attaching a fishing string to the top of the helicopter,2019-08-10
00:05:06.360,00:05:10.880,that would tug the necessary force required to offload the differences in gravity.,2019-08-10
00:05:10.880,00:05:12.120,- An actual fishing line?,2019-08-10
00:05:12.120,00:05:13.200,"- Yeah, real fishing line.",2019-08-10
00:05:13.200,00:05:14.600,"- But isn't that stretchy,",2019-08-10
00:05:14.600,00:05:18.880,like don't you want something that's perfectly rigid so as soon as you apply the torque it gets applied to the craft?,2019-08-10
00:05:18.880,00:05:23.960,"- Right right, and we did a lot of testing with different vendors to find out which fishing line had the best spring constant for us.",2019-08-10
00:05:24.680,00:05:26.920,- What does the helicopter sound like?,2019-08-10
00:05:26.920,00:05:32.040,"I imagined that in 1% of Earth's atmosphere, the helicopter would be pretty quiet.",2019-08-10
00:05:32.040,00:05:35.200,"- Yeah you're still at 1%, but it's still, real loud.",2019-08-10
00:05:35.200,00:05:35.760,- Really?,2019-08-10
00:05:35.760,00:05:37.520,- Yeah we have audio recordings of it too.,2019-08-10
00:05:37.520,00:05:42.460,"But it's it's, I would characterize it more like a 'baaaaaaaaah', something like that.",2019-08-10
00:05:43.120,00:05:46.440,(baaaaaaah),2019-08-10
00:05:46.560,00:05:51.640,"When gravity offload systems working and the chamber was pumped down, the helicopter thought it was on Mars.",2019-08-10
00:05:51.640,00:05:53.960,It felt like it was on Mars.,2019-08-10
00:05:53.960,00:05:57.840,- How do you actually steer this thing around and drive it?,2019-08-10
00:05:57.840,00:06:03.040,- So the way helicopters work is they have something called collective and cyclic.,2019-08-10
00:06:03.040,00:06:06.960,So what collectives do is they change the pitch on the blades uniformly.,2019-08-10
00:06:06.960,00:06:09.640,"So throughout the entire revolution you will move the collective,",2019-08-10
00:06:09.640,00:06:13.800,"the blades will change, you can change your angle of attack, you'll get more lift",2019-08-10
00:06:13.800,00:06:16.280,"so that's basically what you would provides you height control,",2019-08-10
00:06:16.280,00:06:20.040,"Right? You pitch more you go up, pitch less you come down.",2019-08-10
00:06:20.040,00:06:23.320,"But then, there's something called a cyclic on helicopters,",2019-08-10
00:06:23.320,00:06:29.040,"which basically what it does is it modulates the pitch as it goes around,",2019-08-10
00:06:29.040,00:06:34.200,"so it can pitch it a little bit more here, less here, so it kind of like modulates.",2019-08-10
00:06:34.200,00:06:37.640,"So what that does is it provides an asymmetric torque, right?",2019-08-10
00:06:37.640,00:06:40.040,When you're pitched up there you get that additional torque.,2019-08-10
00:06:40.040,00:06:46.960,"Now you get it, depending upon the stiffness the system you actually get it with that a gyroscopic lag that can happen afterwards.",2019-08-10
00:06:46.960,00:06:54.200,"So once you get an asymmetric torque, the vehicle wants to start pitching or rolling. Right?",2019-08-10
00:06:54.200,00:06:56.600,"So once it pitches and rolls,",2019-08-10
00:06:56.600,00:06:58.400,you're doing it stably.,2019-08-10
00:06:58.400,00:07:05.480,You are now pointed in a direction and your thrust vector now has a component that's horizontal in the direction that you pitched. Right?,2019-08-10
00:07:05.480,00:07:07.680,So then you start translating in that direction.,2019-08-10
00:07:07.680,00:07:12.240,- I've heard that initially someone tried to fly it with a joystick?,2019-08-10
00:07:12.240,00:07:13.600,- Yes. - Was it an early prototype?,2019-08-10
00:07:13.600,00:07:16.880,"- If you were sitting right there on Mars and you were trying to joystick it, what is it like?",2019-08-10
00:07:16.880,00:07:19.040,And it's almost unflyable.,2019-08-10
00:07:19.040,00:07:24.760,And the reason for that it's the aerodynamics of when you want to command a roll to the left,2019-08-10
00:07:24.760,00:07:28.640,because you see yourself starting to move to the right and you start commanding a roll to the left.,2019-08-10
00:07:28.640,00:07:30.160,There's a delay aspect.,2019-08-10
00:07:30.160,00:07:34.840,So that that delay effect makes it very very difficult for a human to try and pilot it.,2019-08-10
00:07:34.840,00:07:37.240,- You can't fly this from Earth...,2019-08-10
00:07:37.240,00:07:42.760,"- because of the twenty-minute kind of time delay, so you have to really send sequences.",2019-08-10
00:07:42.760,00:07:45.200,"- So essentially you're gonna push a button,",2019-08-10
00:07:45.200,00:07:49.280,and like 20 minutes later it'll take off and do its thing and then you will find out.,2019-08-10
00:07:49.280,00:07:51.200,"- The way this flies autonomously,",2019-08-10
00:07:51.200,00:08:00.560,"it has onboard gyros, onboard accelerometers and onboard camera,  an altimeter and an inclinometer;",2019-08-10
00:08:00.560,00:08:02.640,"and so using that sensor suite,",2019-08-10
00:08:02.640,00:08:10.680,"real-time measurement, you know against terrain and of course the gyros and the accelerometers sensing onboard",2019-08-10
00:08:10.680,00:08:19.200,the real-time estimation of the state of the vehicle is made continuously again at hundreds of Hertz,2019-08-10
00:08:19.200,00:08:23.400,"and then that's fed into the closed-loop control algorithm,",2019-08-10
00:08:23.400,00:08:25.440,that takes the estimated state,2019-08-10
00:08:25.440,00:08:30.720,"and then generates the correction that's needed at the blade level,",2019-08-10
00:08:30.720,00:08:33.000,and then the blades are continuously being controlled.,2019-08-10
00:08:33.000,00:08:38.400,"So when you see video tapes of our ""successful flights"", right!",2019-08-10
00:08:38.400,00:08:44.520,"And the vehicle looks dead calm, it's coming up, and hovering, and going laterally, coming back;",2019-08-10
00:08:45.280,00:08:51.240,"you know the machines are working very very fast and very very hard it just looks very calm, but yes",2019-08-10
00:08:51.240,00:08:53.840,so the the blades are being continuously controlled.,2019-08-10
00:08:53.840,00:08:55.280,- That is amazing.,2019-08-10
