Start Time,End Time,Text,Date
00:00:08.520,00:00:10.880,- This video was sponsored by KiwiCo.,2020-11-30
00:00:10.880,00:00:13.033,More about them at the end of the show.,2020-11-30
00:00:15.160,00:00:19.264,"On February 15th, 2013, over Chelyabinsk Russia,",2020-11-30
00:00:19.264,00:00:22.010,an asteroid heavier than the Eiffel tower,2020-11-30
00:00:22.010,00:00:24.071,slammed into the atmosphere.,2020-11-30
00:00:24.071,00:00:28.920,"And then 30 kilometers above the ground, it exploded.",2020-11-30
00:00:28.920,00:00:32.320,"This violent event was brighter than the sun,",2020-11-30
00:00:32.320,00:00:35.062,"but so high up that it was silent,",2020-11-30
00:00:35.062,00:00:38.615,"for a full 90 seconds after the blast,",2020-11-30
00:00:38.615,00:00:41.890,which only made the devastation worse.,2020-11-30
00:00:41.890,00:00:44.307,"- So you see all these videos, of people,",2020-11-30
00:00:44.307,00:00:45.530,"""Look, oh, what was that?""",2020-11-30
00:00:45.530,00:00:47.567,"They see the smoke trail in the sky,",2020-11-30
00:00:47.567,00:00:49.030,"""Oh, that's amazing!""",2020-11-30
00:00:49.030,00:00:50.478,"And then, you know,",2020-11-30
00:00:50.478,00:00:52.360,"just when you think nothing's gonna happen,",2020-11-30
00:00:52.360,00:00:54.820,"the shockwave hits and it blows out the windows,",2020-11-30
00:00:54.820,00:00:57.850,thousand people got glass in their face and their eyes,2020-11-30
00:00:57.850,00:00:59.940,because they're looking through the windows.,2020-11-30
00:00:59.940,00:01:03.030,- The shockwave damaged thousands of buildings,2020-11-30
00:01:03.030,00:01:05.463,and injured 1500 people.,2020-11-30
00:01:08.040,00:01:10.953,What makes the Chelyabinsk incident kind of embarrassing,2020-11-30
00:01:10.953,00:01:12.811,"is that the very same day,",2020-11-30
00:01:12.811,00:01:16.150,scientists had predicted that an asteroid would make,2020-11-30
00:01:16.150,00:01:18.900,a close fly-by of earth.,2020-11-30
00:01:18.900,00:01:19.971,And they were right.,2020-11-30
00:01:19.971,00:01:23.349,"16 hours after Chelyabinsk, a similar sized asteroid,",2020-11-30
00:01:23.349,00:01:24.766,"known as Duende,",2020-11-30
00:01:24.766,00:01:28.840,"came within 27,000 kilometers of earth's surface.",2020-11-30
00:01:28.840,00:01:32.611,That's closer than satellites in geosynchronous orbit.,2020-11-30
00:01:32.611,00:01:36.280,"But while they correctly predicted this close approach,",2020-11-30
00:01:36.280,00:01:39.290,they completely missed the unrelated asteroid,2020-11-30
00:01:39.290,00:01:41.053,that exploded over Russia.,2020-11-30
00:01:41.950,00:01:44.326,"And the truth is, this happens all the time.",2020-11-30
00:01:44.326,00:01:47.530,We're really not that good at detecting asteroids,2020-11-30
00:01:47.530,00:01:49.090,before they hit us.,2020-11-30
00:01:49.090,00:01:53.760,"Since 1988, over 1200 asteroids bigger than a meter",2020-11-30
00:01:53.760,00:01:56.770,"have collided with the earth, and of those,",2020-11-30
00:01:56.770,00:02:00.270,"we detected only five before they hit,",2020-11-30
00:02:00.270,00:02:03.157,never with more than a day of warning.,2020-11-30
00:02:03.157,00:02:06.140,With all our technology and all the telescopes,2020-11-30
