Start Time,End Time,Text,Date
00:00:00.080,00:00:04.480,The second law of thermodynamics tells us that everything in the universe tends towards,2021-03-31
00:00:04.480,00:00:11.520,"disorder. And in complex systems, chaos is the norm. So you'd naturally expect the universe",2021-03-31
00:00:11.520,00:00:18.240,"to be messy. And yet, we can observe occasions of spontaneous order, the synchronization",2021-03-31
00:00:18.240,00:00:24.640,"of metronomes, the perfectly timed orbits of moons, the simultaneous flashes of fireflies,",2021-03-31
00:00:24.640,00:00:31.040,and even the regular beating of your heart. What puts these things in order in spite of,2021-03-31
00:00:31.040,00:00:33.360,nature's tendency for disorder.,2021-03-31
00:00:34.720,00:00:38.960,This video was sponsored by Kiwico more about them at the end of the video.,2021-03-31
00:00:40.320,00:00:45.680,"On June 10 2000, the Millennium Bridge, a new footbridge Across the River Thames in",2021-03-31
00:00:45.680,00:00:53.040,"London was opened to much excitement. But as crowds filled the bridge, it began to wobble",2021-03-31
00:00:53.040,00:00:58.480,"back and forth. Police started restricting access to the bridge, but that only resulted",2021-03-31
00:00:58.480,00:01:05.280,"in long lines to get on the wobble was unaffected. Two days later, the bridge which had cost",2021-03-31
00:01:05.280,00:01:12.960,"18 million pounds, was fully closed, and it wouldn't reopen for another two years. So",2021-03-31
00:01:12.960,00:01:13.920,what went wrong?,2021-03-31
00:01:15.200,00:01:20.160,"Well, it's long been known that armies should break step when crossing bridges. This dates",2021-03-31
00:01:20.160,00:01:26.320,back to an accident in 1831. When 74 men from the 60 of Rifle Corps were marching across,2021-03-31
00:01:26.320,00:01:31.200,the Broughton suspension bridge in northern England. It collapsed under their synchronized,2021-03-31
00:01:31.200,00:01:37.200,footsteps. 60 men fell into the river 20 of whom suffered injuries like broken bones or,2021-03-31
00:01:37.200,00:01:44.000,"concussions. Luckily, no one was killed. But after this, the British Army ordered all troops",2021-03-31
00:01:44.000,00:01:45.920,to break step when crossing bridges.,2021-03-31
00:01:47.360,00:01:53.120,Now look at the people walking across the Millennium Bridge. Most of them are walking,2021-03-31
00:01:53.120,00:01:59.520,in step with each other. But they are not part of an army. They're random members of,2021-03-31
00:01:59.520,00:02:05.440,the public so why are they walking together? And why couldn't a modern bridge designed,2021-03-31
00:02:05.440,00:02:11.440,"for heavy pedestrian traffic handle this? Well, to understand it, we have to go back",2021-03-31
00:02:11.440,00:02:13.120,350 years.,2021-03-31
00:02:15.360,00:02:21.440,"In 1656, famous Dutch physicist Christian Huygens created the first working pendulum",2021-03-31
00:02:21.440,00:02:27.520,clock. The goal was to help sailors figure out where they were on the globe. Latitude,2021-03-31
00:02:27.520,00:02:32.960,can be judged by measuring the position of the sun or stars. But for longitude you also,2021-03-31
00:02:32.960,00:02:38.480,"need to know the time at some fixed location, say your home port. But clocks at the time",2021-03-31
00:02:38.480,00:02:44.480,were routinely out by around 15 minutes a day. So they were effectively useless. wagons,2021-03-31
00:02:44.480,00:02:51.360,"pendulum clocks by contrast, were accurate to around 10 to 15 seconds per day.&nbsp;Huygens&nbsp;plan",2021-03-31
