Start Time,End Time,Text,Date
00:00:00.038,00:00:03.619,"I am here to sign a document betting $10,000",2021-06-30
00:00:03.619,00:00:07.950,"that my last video is in fact, correct.",2021-06-30
00:00:07.950,00:00:10.380,This is the video in question.,2021-06-30
00:00:10.380,00:00:11.620,"Some people may have missed it,",2021-06-30
00:00:11.620,00:00:15.140,"but in this car, there is no motor, no batteries,",2021-06-30
00:00:15.140,00:00:18.170,"no energy source, besides the wind itself.",2021-06-30
00:00:18.170,00:00:19.370,"And the counterintuitive claim,",2021-06-30
00:00:19.370,00:00:22.320,is that this car can maintain speeds,2021-06-30
00:00:22.320,00:00:25.100,faster than the wind that's pushing it.,2021-06-30
00:00:25.100,00:00:28.480,"There is a physics professor at UCLA,",2021-06-30
00:00:28.480,00:00:31.620,"who got in touch, to say that he thought that I was wrong,",2021-06-30
00:00:31.620,00:00:33.800,that the explanation was wrong.,2021-06-30
00:00:33.800,00:00:35.300,"You know, we went back and forth a little bit,",2021-06-30
00:00:35.300,00:00:36.907,"and eventually I said,",2021-06-30
00:00:36.907,00:00:40.121,"""Well, how about we bet $10,000?",2021-06-30
00:00:40.121,00:00:41.747,"""I can prove it to you.",2021-06-30
00:00:41.747,00:00:45.490,"""This vehicle really can go downwind faster than the wind.""",2021-06-30
00:00:45.490,00:00:48.490,"And to my surprise, he is taking me up on the bet.",2021-06-30
00:00:48.490,00:00:50.249,"- Look, no one is perfect,",2021-06-30
00:00:50.249,00:00:53.560,but you have a much lower error rate,2021-06-30
00:00:53.560,00:00:56.550,"than most people on YouTube, in YouTube Space.",2021-06-30
00:00:56.550,00:00:59.000,"- Now, Professor Alex Kusenko wanted this wager",2021-06-30
00:00:59.000,00:01:01.330,and all related discourse to be public.,2021-06-30
00:01:01.330,00:01:03.230,"In fact, he suggested we get a celebrity",2021-06-30
00:01:03.230,00:01:04.480,to witness the signing.,2021-06-30
00:01:04.480,00:01:06.980,"So I asked Neil deGrasse Tyson, Bill Nye,",2021-06-30
00:01:06.980,00:01:08.750,and Sean Carroll to be our witnesses.,2021-06-30
00:01:08.750,00:01:10.580,And they graciously agreed.,2021-06-30
00:01:10.580,00:01:12.510,"- And Alex, I just wanna say,",2021-06-30
00:01:12.510,00:01:15.540,I agree with everything you said about Veritasium.,2021-06-30
00:01:15.540,00:01:18.730,That generally I can watch it,2021-06-30
00:01:18.730,00:01:21.670,"and not have to wonder, is he gonna mess up?",2021-06-30
00:01:21.670,00:01:22.503,How am I gonna-,2021-06-30
00:01:22.503,00:01:24.650,"- No, he's brilliant, no, he's brilliant.",2021-06-30
00:01:24.650,00:01:25.960,"- I'm excited about this bet,",2021-06-30
00:01:25.960,00:01:28.312,"because if I am wrong, then I wanna know.",2021-06-30
00:01:28.312,00:01:31.340,Like the whole point of the channel is to get to the truth.,2021-06-30
00:01:31.340,00:01:33.670,"And that is, I think why we're all here today.",2021-06-30
00:01:33.670,00:01:34.503,"And I think, you know,",2021-06-30
00:01:34.503,00:01:36.390,this is a great chance to sort of see.,2021-06-30
00:01:36.390,00:01:39.132,"I'm going to summarize Alex's main points in this video,",2021-06-30
00:01:39.132,00:01:41.970,but I'll put his full presentation here.,2021-06-30
00:01:41.970,00:01:46.020,- So let me first explain what I see in the video.,2021-06-30
00:01:46.020,00:01:50.840,"In the video, the vehicle is operated in a gusty wind.",2021-06-30
00:01:50.840,00:01:55.430,"Initially, you have the wind speed exceeding the car speed,",2021-06-30
00:01:55.430,00:01:57.110,but then the wind speed is not constant.,2021-06-30
00:01:57.110,00:02:01.360,"The wind speed drops, and the car moves by inertia",2021-06-30
00:02:01.360,00:02:03.510,with deceleration for awhile.,2021-06-30
00:02:03.510,00:02:05.640,"- So, basically Alex thinks a gust",2021-06-30
00:02:05.640,00:02:07.240,pushes the car to a high speed.,2021-06-30
00:02:07.240,00:02:08.590,"And then when the wind dies,",2021-06-30
00:02:08.590,00:02:11.390,"the car is going faster than the wind momentarily,",2021-06-30
00:02:11.390,00:02:13.480,but it must be slowing down.,2021-06-30
00:02:13.480,00:02:14.850,"- In fact, that will be my conclusion",2021-06-30
