Start Time,End Time,Text,Date
00:00:00.000,00:00:02.250,Finding scorpions in the desert at night,2021-09-03
00:00:02.250,00:00:04.040,is surprisingly easy.,2021-09-03
00:00:04.040,00:00:06.670,All you need is an ultraviolet torch,2021-09-03
00:00:06.670,00:00:10.190,because scorpions are incredibly fluorescent.,2021-09-03
00:00:10.190,00:00:13.260,Fluorescence means their bodies absorb ultraviolet light,2021-09-03
00:00:13.260,00:00:16.000,and reradiate it in the visible part of the spectrum.,2021-09-03
00:00:16.000,00:00:19.210,They glow this bright neon green color.,2021-09-03
00:00:19.210,00:00:22.290,But scorpions aren't the only animals that fluoresce.,2021-09-03
00:00:22.290,00:00:25.940,"Jellyfish, amphibians, owls, and even platypus'",2021-09-03
00:00:25.940,00:00:28.390,glow under ultraviolet light.,2021-09-03
00:00:28.390,00:00:30.950,Part of this video is sponsored by Capital One Shopping.,2021-09-03
00:00:30.950,00:00:33.143,More about them at the end of the show.,2021-09-03
00:00:34.640,00:00:37.520,"I'm out here in the desert near Bakersfield, California,",2021-09-03
00:00:37.520,00:00:39.760,"looking for scorpions with Carl Kloock,",2021-09-03
00:00:39.760,00:00:43.080,a professor of biology at Cal State Bakersfield.,2021-09-03
00:00:43.080,00:00:45.180,He's been researching scorpion fluorescence,2021-09-03
00:00:45.180,00:00:47.010,for over a decade.,2021-09-03
00:00:47.010,00:00:48.710,- If you have a black light it's really pretty easy.,2021-09-03
00:00:48.710,00:00:50.450,"If they're there, you're going to spot them.",2021-09-03
00:00:50.450,00:00:52.360,- [Derek] Does he look like he's in a posture,2021-09-03
00:00:52.360,00:00:54.210,to like defend himself?,2021-09-03
00:00:54.210,00:00:55.660,"- [Carl] Yeah, he's not real happy.",2021-09-03
00:00:55.660,00:00:56.600,- [Derek] Okay.,2021-09-03
00:00:56.600,00:00:57.470,(man chuckling),2021-09-03
00:00:57.470,00:00:58.440,- [Carl] I'm going to grab my high-tech,2021-09-03
00:00:58.440,00:01:00.530,scorpion catching equipment here.,2021-09-03
00:01:00.530,00:01:02.810,It's a tongue depressor with a yellow highlighter on it.,2021-09-03
