Start Time,End Time,Text,Date
00:00:00.000,00:00:04.050,"In 2014, the qualifying exam for the US Physics Team",2021-10-27
00:00:04.050,00:00:06.800,had this as question 19:,2021-10-27
00:00:06.800,00:00:10.440,A helicopter is flying horizontally at constant speed.,2021-10-27
00:00:10.440,00:00:12.990,A perfectly flexible uniform cable is suspended,2021-10-27
00:00:12.990,00:00:14.630,beneath the helicopter.,2021-10-27
00:00:14.630,00:00:17.950,Air friction on the cable is not negligible.,2021-10-27
00:00:17.950,00:00:19.380,"So, which of the following diagrams",2021-10-27
00:00:19.380,00:00:21.310,best shows the shape of the cable,2021-10-27
00:00:21.310,00:00:24.360,as the helicopter flies through the air to the right?,2021-10-27
00:00:24.360,00:00:26.721,Is it A. hanging straight down.,2021-10-27
00:00:26.721,00:00:29.480,"B, hanging diagonally to the left?",2021-10-27
00:00:29.480,00:00:31.800,"C, this hook shape.",2021-10-27
00:00:31.800,00:00:34.300,"D, the inverted hook shape,",2021-10-27
00:00:34.300,00:00:37.640,"or E, a kind of S bend.",2021-10-27
00:00:37.640,00:00:39.810,"Now, apparently there's been a certain amount of controversy",2021-10-27
00:00:39.810,00:00:41.620,about the correct answer to this question.,2021-10-27
00:00:41.620,00:00:44.620,"So, today we're gonna go up in this helicopter,",2021-10-27
00:00:44.620,00:00:47.683,and put this question to rest once and for all.,2021-10-27
00:00:49.260,00:00:50.313,Let's go.,2021-10-27
00:00:50.313,00:00:54.530,(intense music) (helicopter blades whirring),2021-10-27
00:00:54.530,00:00:56.900,"A portion of this video was sponsored by SimpliSafe,",2021-10-27
00:00:56.900,00:00:59.120,which allowed us to rent this helicopter.,2021-10-27
00:00:59.120,00:01:01.163,More about them at the end of the show.,2021-10-27
00:01:02.100,00:01:05.150,"I've got several thousand hours of carrying sling loads,",2021-10-27
00:01:05.150,00:01:06.990,"fire buckets, concrete buckets,",2021-10-27
00:01:06.990,00:01:10.130,"doing power line construction, actual power poles.",2021-10-27
00:01:10.130,00:01:12.020,"You name it, anything that needs to be moved",2021-10-27
00:01:12.020,00:01:13.410,"around the mountains, I've done.",2021-10-27
00:01:13.410,00:01:14.417,Biggest concern that I have is,2021-10-27
00:01:14.417,00:01:18.200,that the rope's gonna interact with the rotor wash,2021-10-27
00:01:18.200,00:01:21.570,as its interaction with the ambient air around the aircraft.,2021-10-27
00:01:21.570,00:01:25.270,And we'll get a whipping action that falls down the rope,2021-10-27
00:01:25.270,00:01:26.970,and flips around on the end.,2021-10-27
00:01:26.970,00:01:30.070,To a point that we worry if it will have a tendency,2021-10-27
00:01:30.070,00:01:32.440,to work its way back up towards the aircraft.,2021-10-27
00:01:32.440,00:01:34.820,"Obviously, we don't want it getting in the rotors",2021-10-27
00:01:34.820,00:01:36.000,or the tail rotor.,2021-10-27
00:01:36.000,00:01:38.540,(helicopter blades whirring),2021-10-27
00:01:38.540,00:01:40.153,"- [Derek] Alright, we're all set.",2021-10-27
00:01:41.216,00:01:42.049,Movin' up.,2021-10-27
00:01:42.940,00:01:46.690,(helicopter blades whirring),2021-10-27
00:01:50.096,00:01:51.580,(intense music),2021-10-27
00:01:51.580,00:01:53.890,"Here I'm deploying a battle rope,",2021-10-27
00:01:53.890,00:01:55.660,like you'd see at the gym.,2021-10-27
00:01:55.660,00:01:59.952,This one is about 15 meters long and it weighs 20 kilograms.,2021-10-27
00:01:59.952,00:02:01.494,"- [Craig] See, the whipping action's begun.",2021-10-27
00:02:01.494,00:02:03.077,- [Derek] I see it.,2021-10-27
00:02:04.231,00:02:06.220,"So, if we go really slow, will we avoid that?",2021-10-27
00:02:06.220,00:02:07.290,- We'll see.,2021-10-27
00:02:07.290,00:02:08.900,We'll see where the rotor wash,2021-10-27
00:02:08.900,00:02:10.687,stops interacting with the rope,2021-10-27
00:02:10.687,00:02:11.970,and the ambient wind.,2021-10-27
00:02:14.133,00:02:15.400,"Now the setup looks pretty simple,",2021-10-27
00:02:15.400,00:02:18.995,but few people agree on what the right answer should be.,2021-10-27
00:02:18.995,00:02:20.290,(peaceful music),2021-10-27
00:02:20.290,00:02:23.623,"When I polled YouTube, the most common answer was C.",2021-10-27
00:02:26.840,00:02:29.850,Well done on making that beautiful bell curve by the way.,2021-10-27
00:02:29.850,00:02:32.250,"We got in touch with the question's author,",2021-10-27
00:02:32.250,00:02:33.880,professor Paul Stanley.,2021-10-27
00:02:33.880,00:02:37.580,There was some creative students who actually constructed,2021-10-27
00:02:37.580,00:02:40.200,their own homemade scenarios.,2021-10-27
00:02:40.200,00:02:45.200,One had a fan to the side and another fan blowing downward,2021-10-27
00:02:46.720,00:02:49.170,so that they could mimic the motion of the helicopter,2021-10-27
00:02:49.170,00:02:52.520,"and suspended a string and said, ""Oh, it's this design.""",2021-10-27
00:02:52.520,00:02:54.507,"And the faculty members looked at it and said,",2021-10-27
00:02:54.507,00:02:59.507,"""Oh, obviously I can prove that the answer is this answer.""",2021-10-27
00:03:00.970,00:03:02.840,They just didn't agree with each other.,2021-10-27
00:03:02.840,00:03:05.160,- If we approximated as a chain of rigid links,2021-10-27
00:03:05.160,00:03:06.512,- I don't think you can just do that.,2021-10-27
00:03:06.512,00:03:07.345,- What do you think?,2021-10-27
00:03:07.345,00:03:09.420,- I think you're more likely to be C.,2021-10-27
00:03:09.420,00:03:12.550,- I think it is D.,2021-10-27
00:03:12.550,00:03:13.383,- D.,2021-10-27
00:03:13.383,00:03:14.216,- My guess is B.,2021-10-27
00:03:14.216,00:03:15.049,- What do you think? - B.,2021-10-27
00:03:15.049,00:03:15.882,- B?,2021-10-27
00:03:15.882,00:03:16.715,- Imma go with A.,2021-10-27
00:03:16.715,00:03:19.123,"- Interestingly, no one chose E.",2021-10-27
00:03:20.980,00:03:23.230,Have you locked in your prediction?,2021-10-27
00:03:23.230,00:03:26.130,(helicopter blades whirring),2021-10-27
00:03:26.130,00:03:27.720,To make sure the rope doesn't come up,2021-10-27
00:03:27.720,00:03:29.370,"into the rotors of the helicopter,",2021-10-27
00:03:29.370,00:03:32.940,pilot Craig wanted to keep the rope on our right side,2021-10-27
00:03:32.940,00:03:34.440,so he could keep an eye on it.,2021-10-27
00:03:36.390,00:03:37.650,Looks pretty good.,2021-10-27
00:03:37.650,00:03:38.853,- I'm trying to make it look good.,2021-10-27
00:03:38.853,00:03:40.892,I mean I'm really working on it.,2021-10-27
00:03:40.892,00:03:42.410,- You're working hard.,2021-10-27
00:03:42.410,00:03:44.910,"So, we're not going straight forward.",2021-10-27
