Start Time,End Time,Text,Date
00:00:00.140,00:00:03.160,"- In 1901, this ancient Greek artifact",2021-12-21
00:00:03.160,00:00:06.760,was discovered in a shipwreck of the island of Antikythera.,2021-12-21
00:00:06.760,00:00:08.700,3D x-ray scans have revealed,2021-12-21
00:00:08.700,00:00:12.290,"it contains 37 interlocking bronze gears,",2021-12-21
00:00:12.290,00:00:15.710,"allowing it to model the motions of the sun and moon,",2021-12-21
00:00:15.710,00:00:18.950,and predict eclipses decades in advance.,2021-12-21
00:00:18.950,00:00:22.170,"Constructed around 100 or 200 BC,",2021-12-21
00:00:22.170,00:00:23.680,the Antikythera mechanism,2021-12-21
00:00:23.680,00:00:26.710,represents a sophisticated early computer.,2021-12-21
00:00:26.710,00:00:28.270,The likes of which would not be seen again,2021-12-21
00:00:28.270,00:00:31.220,for at least a thousand years.,2021-12-21
00:00:31.220,00:00:32.053,"Now, of course,",2021-12-21
00:00:32.053,00:00:35.090,this computer didn't work like modern digital computers.,2021-12-21
00:00:35.090,00:00:37.440,It works by analogy.,2021-12-21
00:00:37.440,00:00:39.430,The gears were constructed in such a way,2021-12-21
00:00:39.430,00:00:41.640,that the motions of certain dials,2021-12-21
00:00:41.640,00:00:45.210,are analogous to the motion of the sun and moon.,2021-12-21
00:00:45.210,00:00:47.873,It is an analog computer.,2021-12-21
00:00:49.680,00:00:51.700,- Here is a simple analog computer,2021-12-21
00:00:51.700,00:00:53.690,for adding two numbers together.,2021-12-21
00:00:53.690,00:00:56.000,If you turn the black wheel some amount,2021-12-21
00:00:56.000,00:00:59.160,"and then turn this white wheel a different amount,",2021-12-21
00:00:59.160,00:01:02.713,the gray wheel shows the sum of the two rotations.,2021-12-21
00:01:03.630,00:01:06.930,"In contrast, this is a digital mechanical computer",2021-12-21
00:01:06.930,00:01:10.050,where you can add two single bit numbers.,2021-12-21
00:01:10.050,00:01:13.080,So zero plus zero equals zero.,2021-12-21
00:01:13.080,00:01:15.710,Zero plus one equals one.,2021-12-21
00:01:15.710,00:01:19.180,And one plus one equals two.,2021-12-21
00:01:19.180,00:01:21.690,These two devices illustrate the differences,2021-12-21
00:01:21.690,00:01:24.570,between analog and digital computers.,2021-12-21
00:01:24.570,00:01:27.120,Analog computers have a continuous range,2021-12-21
00:01:27.120,00:01:28.930,"of inputs and outputs,",2021-12-21
00:01:28.930,00:01:32.650,whereas digital only works with discrete values.,2021-12-21
00:01:32.650,00:01:35.020,"With analog computers, the quantities of interest",2021-12-21
00:01:35.020,00:01:37.310,"are actually represented by something physical,",2021-12-21
00:01:37.310,00:01:40.060,like the amount a wheel has turned.,2021-12-21
00:01:40.060,00:01:42.670,Whereas digital computers work on symbols,2021-12-21
00:01:42.670,00:01:44.760,like zeros and ones.,2021-12-21
00:01:44.760,00:01:46.700,"If the answer is, say, two,",2021-12-21
00:01:46.700,00:01:48.280,there is nothing in the computer,2021-12-21
00:01:48.280,00:01:51.150,that is 'twice as much' as a one.,2021-12-21
00:01:51.150,00:01:53.880,"In analog computers, there is.",2021-12-21
00:01:53.880,00:01:55.230,"For thousands of years,",2021-12-21
00:01:55.230,00:01:57.210,people used analog devices,2021-12-21
00:01:57.210,00:02:00.350,"like the Antikythera mechanism or slide rules,",2021-12-21
00:02:00.350,00:02:03.280,alongside digital devices like abacuses.,2021-12-21
00:02:03.280,00:02:05.000,"And up until the 1960s,",2021-12-21
00:02:05.000,00:02:07.440,the most powerful computers on the planet,2021-12-21
00:02:07.440,00:02:09.470,were actually analog.,2021-12-21
00:02:09.470,00:02:11.640,Digital computers exploded onto the scene,2021-12-21
00:02:11.640,00:02:14.300,with the advent of solid-state transistors.,2021-12-21
00:02:14.300,00:02:17.030,"And now, almost everything is digital.",2021-12-21
00:02:17.030,00:02:20.820,Most people have never even heard of analog computers.,2021-12-21
00:02:20.820,00:02:23.800,"But today, that may all be changing.",2021-12-21
00:02:23.800,00:02:24.633,"Moore's Law,",2021-12-21
00:02:24.633,00:02:26.780,the idea that you can double the number of transistors,2021-12-21
00:02:26.780,00:02:28.570,"on a chip every two years,",2021-12-21
00:02:28.570,00:02:30.010,"it's reaching its limit,",2021-12-21
00:02:30.010,00:02:33.450,because transistors are nearly the same size as atoms.,2021-12-21
00:02:33.450,00:02:36.210,"Simultaneously, advancements in machine learning",2021-12-21
00:02:36.210,00:02:39.790,are straining the capabilities of digital computers.,2021-12-21
00:02:39.790,00:02:41.570,The solution to these challenges,2021-12-21
00:02:41.570,00:02:46.153,may well be a new generation of analog computers.,2021-12-21
00:02:46.153,00:02:48.180,(soft upbeat music),2021-12-21
00:02:48.180,00:02:50.290,- One of the most important problems,2021-12-21
00:02:50.290,00:02:54.330,humans have faced for millennia is predicting the tides.,2021-12-21
00:02:54.330,00:02:58.320,Napoleon and his men nearly died crossing the Red Sea,2021-12-21
