Start Time,End Time,Text,Date
00:00:00.120,00:00:01.830,"- In this US Government lab,",2022-12-24
00:00:01.830,00:00:05.670,"they study air flow to solve crimes,",2022-12-24
00:00:05.670,00:00:08.310,"using mirrors, lights and lasers,",2022-12-24
00:00:08.310,00:00:10.560,they can illuminate the tiniest differences,2022-12-24
00:00:10.560,00:00:12.180,"in air temperature and density,",2022-12-24
00:00:12.180,00:00:16.020,"and track how drug powder settles in the rooms of a house,",2022-12-24
00:00:16.020,00:00:18.420,"determine which person fired a gun,",2022-12-24
00:00:18.420,00:00:22.350,or spot particles escaping from a sealed package.,2022-12-24
00:00:22.350,00:00:25.250,A portion of this video was sponsored by Caseta by Lutron.,2022-12-24
00:00:26.670,00:00:28.890,Our best tool for picking up trace substances,2022-12-24
00:00:28.890,00:00:31.440,has been the same for centuries.,2022-12-24
00:00:31.440,00:00:33.840,- So it turns out nature has already provided us,2022-12-24
00:00:33.840,00:00:36.120,"with the best chemical detector,",2022-12-24
00:00:36.120,00:00:38.250,and that is the dog's nose.,2022-12-24
00:00:38.250,00:00:40.200,So this is Bubbles.,2022-12-24
00:00:40.200,00:00:43.410,"She's a 3D-printed, anatomically-correct model",2022-12-24
00:00:43.410,00:00:45.210,of a female Labrador Retriever.,2022-12-24
00:00:45.210,00:00:47.640,We tried to get one of the police canines to come in here,2022-12-24
00:00:47.640,00:00:48.510,"and get in front of the mirror,",2022-12-24
00:00:48.510,00:00:51.210,but dogs get hungry and cranky very quickly.,2022-12-24
00:00:51.210,00:00:52.950,"And we got about four seconds of good footage,",2022-12-24
00:00:52.950,00:00:54.990,"and I'm like, okay, we can do better than this.",2022-12-24
00:00:54.990,00:00:57.330,- Dogs can sniff very faint scents,2022-12-24
00:00:57.330,00:00:58.950,"and from far away,",2022-12-24
00:00:58.950,00:01:01.590,but they don't do it just by breathing in.,2022-12-24
00:01:01.590,00:01:04.920,What they do is breathe out and in rapidly,2022-12-24
00:01:04.920,00:01:07.132,around five times a second.,2022-12-24
00:01:07.132,00:01:09.390,(air whizzing),2022-12-24
00:01:09.390,00:01:13.440,- What I want you to notice is this pulsating motion,2022-12-24
00:01:13.440,00:01:17.400,"by the, we'll call it the doggy treat, right?",2022-12-24
00:01:17.400,00:01:18.780,This is our doggy treat.,2022-12-24
00:01:18.780,00:01:21.240,If you notice this pulsating motion.,2022-12-24
00:01:21.240,00:01:24.060,- And what allows them to detect scents from far away,2022-12-24
00:01:24.060,00:01:27.240,is the rapid and turbulent exhale.,2022-12-24
