Word,Frequency
the,21839
to,10350
and,10285
of,9809
a,9483
is,7542
that,7011
you,6469
it,6104
in,5758
this,4574
so,4382
i,4345
but,2850
on,2646
we,2626
for,2608
are,2528
they,2304
can,2278
its,2264
have,2054
like,2049
be,1992
with,1984
was,1982
if,1956
at,1789
one,1735
as,1704
what,1670
just,1625
all,1539
there,1533
by,1447
now,1421
not,1401
or,1388
from,1384
out,1301
up,1299
about,1259
were,1247
an,1236
do,1206
would,1176
which,1147
then,1116
how,1111
these,1110
because,1080
when,1071
know,1028
thats,1024
your,1020
more,1009
see,970
get,968
actually,880
think,854
will,854
their,849
really,841
right,829
well,810
than,781
no,777
here,764
into,760
two,756
some,754
go,753
my,749
way,748
light,740
time,732
has,722
people,716
could,714
them,709
going,673
he,672
our,656
over,646
want,641
make,640
where,639
yeah,629
other,622
me,612
down,603
dont,596
im,592
only,587
very,563
around,562
same,557
even,552
first,549
had,523
youre,520
video,516
derek,514
something,512
why,498
back,495
those,494
water,485
been,480
also,479
through,467
much,467
energy,467
different,462
most,454
theres,453
any,450
gtgt,437
each,419
little,419
things,418
years,418
look,410
mean,406
us,393
number,393
gonna,387
say,387
off,384
lot,379
need,363
three,362
find,355
theyre,354
thing,351
kind,350
air,350
should,344
take,339
put,337
made,336
who,336
good,333
times,329
called,325
got,324
use,320
point,317
every,312
speed,311
work,309
does,308
did,300
his,298
field,294
come,288
world,288
space,287
earth,285
oh,285
after,278
force,278
still,275
big,273
bit,264
before,264
doesnt,263
new,260
part,254
thank,251
problem,251
many,245
doing,244
second,243
makes,242
try,242
side,242
between,239
used,237
feel,237
another,237
means,236
mass,236
10,232
long,227
numbers,225
might,224
cant,223
okay,223
exactly,221
enough,220
using,220
end,220
ball,219
never,218
being,217
magnetic,217
able,216
better,214
system,212
universe,211
surface,209
together,209
found,207
whats,205
black,205
idea,204
start,202
pretty,202
again,201
basically,201
life,200
maybe,199
change,198
per,198
next,198
day,198
lets,197
high,197
always,196
whole,195
four,194
looking,194
fact,194
matter,193
science,193
small,192
making,190
example,190
waves,190
best,189
didnt,189
faster,189
coming,189
half,188
thought,185
getting,183
may,183
inside,182
answer,181
both,181
less,181
goes,179
moving,175
set,174
once,174
real,174
possible,174
away,172
plus,172
million,171
since,169
question,167
turn,166
yes,166
experiment,166
wanna,166
looks,165
ever,164
works,164
wave,164
great,163
power,163
known,162
too,162
sun,162
comes,162
electrons,162
course,161
five,161
ive,161
hole,161
year,161
keep,160
wind,160
top,155
effect,155
information,154
direction,154
test,153
free,153
check,152
hard,152
car,152
veritasium,152
sort,151
almost,150
important,150
left,150
weight,150
computer,150
scientists,150
anything,149
give,149
place,148
hit,148
tell,148
electric,147
few,147
trying,147
videos,146
true,146
show,146
temperature,146
am,145
everything,143
zero,143
negative,142
material,142
came,142
last,141
move,140
tiny,140
particles,140
20,140
without,138
brilliant,137
reason,137
book,137
instead,135
weve,134
fast,134
youtube,134
today,133
watching,133
case,133
help,132
dna,132
amount,131
measure,131
1,131
hundred,130
gets,129
flow,129
while,129
learning,129
seems,128
create,128
sure,127
quantum,126
probably,125
balls,125
liquid,124
said,124
far,124
current,124
pressure,124
close,124
spin,124
add,123
happens,123
frequency,123
itself,123
own,122
imagine,121
100,121
room,120
done,119
positive,119
physics,119
across,119
image,119
object,118
learn,118
motion,118
gravitational,117
music,117
state,117
single,117
link,117
scale,117
size,116
ill,116
cause,116
longer,115
higher,115
robot,115
line,115
thinking,114
channel,114
wanted,114
sense,114
six,114
must,113
least,113
50,113
dark,112
constant,111
moon,111
x,111
isnt,111
planet,110
went,110
area,109
though,109
d,109
meters,109
understand,108
sound,108
due,108
likely,107
working,107
mars,107
cells,106
ones,106
body,105
under,104
essentially,104
him,103
shape,103
watch,103
ground,103
level,102
until,102
started,102
results,102
such,101
happen,101
rate,101
ago,100
data,100
heat,99
yet,99
already,99
rocket,99
audible,98
molecules,98
call,98
signal,98
eight,98
control,98
human,98
form,97
ions,97
electron,97
fields,97
nuclear,97
later,96
degrees,96
someone,96
takes,96
hot,96
created,96
future,96
hand,95
result,95
kilogram,95
objects,95
large,94
velocity,94
order,94
spinning,94
stuff,93
kilometers,93
chance,93
lead,93
gravity,93
person,93
everyone,92
straight,92
hey,92
incredibly,92
description,92
took,92
perfect,91
run,91
become,91
experience,90
brain,90
30,90
full,90
stars,90
completely,90
simple,90
nothing,90
whether,89
difference,89
click,89
block,89
center,89
average,89
behind,88
hes,88
wrong,88
spot,88
random,87
moment,87
either,86
further,86
2,86
minutes,85
strong,85
above,85
pull,85
huge,85
having,85
hours,85
love,84
low,84
thousand,84
wire,84
theory,83
research,83
month,83
ways,83
gas,83
process,82
seen,82
believe,82
seeing,82
seem,82
equal,82
computers,82
middle,82
turns,82
nearly,81
laughs,81
length,81
source,81
similar,81
box,81
push,81
radiation,81
let,80
build,80
stop,80
event,80
evidence,79
expect,79
ice,79
bulb,79
guess,78
vacuum,78
model,78
open,78
original,78
front,78
man,78
atoms,78
atmosphere,78
within,78
solution,78
supporting,77
days,77
break,77
below,77
bottom,77
cars,76
percent,76
drop,76
head,76
3,76
amazing,76
billion,76
cool,76
clear,76
skin,76
sponsored,76
figure,76
piece,75
youll,75
bigger,75
yourself,75
feels,75
easy,75
wouldnt,75
machine,75
towards,74
color,74
loop,74
old,74
youve,74
built,74
holes,74
hour,74
given,73
story,73
quickly,73
others,73
along,73
distance,73
else,73
parts,73
nitrogen,73
youd,73
interesting,73
shows,73
smaller,73
opposite,73
bright,73
tried,73
saw,72
gives,72
supernova,72
orbit,72
impossible,72
h,71
past,71
plane,71
truth,71
including,71
blue,71
building,71
certain,70
taking,70
happening,70
asked,70
laser,70
carbon,70
wheel,70
vehicle,70
axis,70
star,70
algorithm,69
humans,69
glass,69
battery,69
increase,69
outside,69
oil,69
changing,69
concrete,69
venom,69
definitely,68
solar,68
charge,68
red,68
lines,68
particular,68
metal,68
allows,68
hear,68
switch,67
probability,67
seconds,67
cold,67
device,67
square,67
individual,67
equation,67
balance,66
forces,66
creates,66
infinite,66
forward,66
standard,66
camera,66
wasnt,66
study,66
relative,66
aerogel,65
game,65
voltage,65
correct,65
galaxy,65
stable,65
reach,65
talking,64
travel,64
slow,64
bad,64
12,64
analog,64
grow,64
celsius,64
anyone,64
allen,64
n,63
needed,63
conditions,63
impact,63
path,63
questions,63
obviously,63
name,63
short,62
meaning,62
physical,62
entire,62
couple,62
significant,62
apart,62
law,62
totally,62
changes,62
lower,62
nice,62
5,62
perfectly,62
themselves,62
guys,62
points,62
wont,62
quite,61
places,61
math,61
hundreds,61
thousands,61
closer,61
uh,60
pick,60
sky,60
hold,60
circuit,60
problems,60
experiments,60
happened,60
samples,60
kids,60
bullet,60
against,59
slightly,59
starts,59
key,59
fall,59
ask,59
clearly,59
support,59
strange,59
total,59
bike,59
running,59
general,58
home,58
incredible,58
measured,58
picture,58
tree,58
15,58
type,58
rays,58
rather,58
rotating,58
pool,58
connected,57
complete,57
months,57
cell,57
tube,57
sign,57
systems,57
crazy,57
lots,57
increases,57
living,57
says,57
explain,57
position,57
layer,57
relativity,57
larger,57
500,57
string,56
galaxies,56
main,56
sometimes,56
produce,56
pushing,56
consider,56
cosmic,56
remember,56
shown,56
required,56
resistance,56
shot,56
seven,56
early,56
heres,56
kiwico,56
awesome,56
backwards,56
value,56
starting,55
ok,55
arent,55
audio,55
disk,55
she,55
minus,55
phase,55
turbulent,55
talk,55
step,55
live,55
thanks,55
structure,55
states,54
magnet,54
technology,54
ready,54
mirror,54
200,54
height,54
helicopter,54
driving,54
3d,54
falling,54
cylinder,54
pieces,54
sphere,54
paper,54
common,54
became,53
reference,53
fluid,53
rest,53
write,53
whoa,53
greater,53
designed,53
design,53
mouse,53
third,53
wow,53
apply,53
often,53
solid,53
principle,53
masses,53
itll,53
equals,52
fire,52
students,52
film,52
feet,52
40,52
robots,52
divide,52
scientific,52
hair,52
based,52
clock,52
modern,52
saying,52
squared,52
bowling,51
lab,51
radio,51
rule,51
cubic,51
materials,51
creating,51
professor,51
episode,51
oxygen,51
share,51
multiple,51
send,51
digital,51
discovered,51
turned,50
onto,50
blood,50
traveling,50
knew,50
meant,50
weird,50
ability,50
reality,50
havent,50
normally,50
series,50
areas,50
stick,49
terms,49
jump,49
theyve,49
age,49
stay,49
subscription,49
contains,49
wheels,49
environment,49
eventually,49
everywhere,49
kinetic,49
group,49
leading,49
maximum,49
images,49
knows,49
pattern,49
accelerating,49
lift,49
deep,48
solve,48
detect,48
viewers,48
acceleration,48
titles,48
natural,48
play,48
putting,48
range,48
super,48
green,48
caused,48
destin,48
cement,48
couldnt,48
planets,48
density,48
actual,48
wires,48
looked,47
white,47
difficult,47
particle,47
tested,47
limit,47
shadow,47
researchers,47
particularly,47
chemical,47
drag,47
during,47
although,46
25,46
charges,46
nature,46
photon,46
minute,46
goal,46
r,46
exact,46
face,46
except,46
sides,46
60,46
yep,46
feedback,46
electrical,46
meter,46
hydrogen,46
search,46
b,46
becomes,46
directly,46
mosquitoes,46
changed,46
hope,45
c,45
read,45
11,45
contact,45
gun,45
notice,45
frame,45
theorem,45
taken,45
levels,45
special,45
word,45
roughly,45
needs,45
sounds,45
id,45
drive,45
lives,45
identical,44
magnets,44
core,44
google,44
gone,44
additional,44
lastpass,44
plate,44
determine,44
memory,44
contain,44
sea,44
learned,44
snakes,44
increasing,44
house,44
therefore,44
forth,44
photons,44
nucleus,44
school,44
near,43
measuring,43
brought,43
finding,43
job,43
useful,43
telescope,43
ten,43
wavelength,43
website,43
food,43
board,43
laughing,43
earths,42
site,42
fundamental,42
wall,42
australia,42
audiblecomveritasium,42
flame,42
inertia,42
plastic,42
method,42
lane,42
appear,42
anywhere,42
her,42
definition,42
myself,42
frequencies,42
pulling,42
trial,42
recommend,42
exist,42
structures,42
ordinary,42
likes,42
explanation,42
sponsoring,42
extra,42
eyes,42
narrator,42
twice,42
droplet,42
electromagnetic,42
horizon,41
worse,41
strategy,41
term,41
allowed,41
silicon,41
lights,41
compare,41
base,41
usually,41
cost,41
obvious,41
pi,41
friend,41
multiply,41
aging,41
fly,41
published,41
reasons,41
rotation,41
propeller,41
angle,40
understanding,40
directions,40
accretion,40
listen,40
listening,40
tests,40
advantage,40
literally,40
bring,40
species,40
target,40
rope,40
8,40
rock,40
diameter,40
underneath,40
atom,40
potential,40
sharks,40
words,40
2000,40
iron,40
window,40
whereas,40
project,40
audience,40
fun,40
week,40
maintain,40
pounds,40
bacteria,40
simply,40
harder,40
felt,40
road,39
luck,39
nine,39
volume,39
empty,39
record,39
calculate,39
recently,39
flip,39
uncertainty,39
north,39
arm,39
reaction,39
factors,39
observed,39
factor,39
9,39
input,39
led,39
shade,39
content,39
coil,39
hands,39
mind,39
mechanics,39
courses,39
soft,39
several,39
sent,39
lighter,38
transform,38
public,38
slower,38
meet,38
period,38
sine,38
sponsor,38
powerful,38
weapons,38
depends,38
mice,38
millions,38
access,38
formed,38
decades,38
equations,38
engine,38
stuck,38
neural,38
causing,38
news,38
regular,38
page,37
90,37
orbits,37
triangle,37
types,37
hits,37
standing,37
venomous,37
view,37
product,37
virtually,37
views,37
signals,37
momentum,37
initial,37
weights,37
launch,37
whatever,37
lattice,37
plancks,37
applied,37
worked,37
friction,37
named,37
false,37
studies,37
told,37
measurements,37
team,37
clocks,37
normal,37
allow,37
realized,37
somewhere,37
company,37
offering,37
station,37
roll,37
stream,36
fuel,36
moves,36
bodies,36
especially,36
edge,36
groups,36
population,36
fine,36
astronauts,36
showed,36
satellites,36
pass,36
telescopes,36
maze,36
mathematics,36
added,36
train,36
trees,36
fourier,36
exposed,36
sample,36
famous,36
biggest,36
guy,36
noise,36
facebook,36
disease,36
ring,36
unique,36
odd,36
output,36
bet,36
blocks,35
smart,35
shark,35
worlds,35
neutron,35
degree,35
curve,35
steering,35
heavy,35
crystal,35
tip,35
screen,35
perhaps,35
track,35
supported,35
unlike,35
protons,35
basic,35
walk,35
soon,35
circle,35
fiction,35
spread,35
version,35
response,35
closed,35
store,35
strength,35
micromouse,35
bonds,35
explosion,35
showing,35
released,35
turning,35
0,35
ideas,34
cube,34
approach,34
crystals,34
tv,34
theyll,34
largest,34
flowing,34
asteroid,34
complex,34
excited,34
testing,34
bridge,34
heart,34
adding,34
patreon,34
accelerate,34
boxes,34
participants,34
beautiful,34
engineering,34
friends,34
flying,34
identified,34
easily,34
himself,34
button,34
sand,34
printed,34
provide,34
code,34
brains,34
tubes,34
prove,34
dangerous,34
arms,34
challenge,33
effects,33
flat,33
related,33
fully,33
1000,33
motor,33
american,33
safe,33
scientist,33
4,33
worth,33
dropped,33
drew,33
download,33
currents,33
properties,33
books,33
predict,33
climate,33
finally,33
significantly,33
city,33
wants,33
rocks,33
performance,33
immediately,33
appears,33
constantly,33
patterns,33
success,33
produced,32
e,32
prisoners,32
hypothesis,32
dust,32
absolutely,32
werent,32
carry,32
styles,32
internet,32
increased,32
developed,32
13,32
competition,32
dioxide,32
wait,32
complicated,32
gave,32
soil,32
wing,32
quarks,32
interested,32
passwords,32
lost,32
highly,32
helps,32
butter,32
alright,32
breaking,32
bunch,32
sunlight,32
bang,32
continue,32
outer,31
international,31
century,31
spectrum,31
reduce,31
massive,31
rules,31
god,31
evolved,31
radioactive,31
interactive,31
tension,31
successful,31
heads,31
greatest,31
expanding,31
phenomenon,31
purpose,31
walking,31
generate,31
warm,31
closely,31
causes,31
6,31
ratio,31
trick,31
machines,31
uranium,31
cannot,31
effectively,31
kilometer,31
beyond,31
program,31
according,31
vehicles,31
cut,31
droplets,31
countries,30
existence,30
asteroids,30
pushes,30
throw,30
boat,30
pole,30
letter,30
effort,30
pure,30
turbulence,30
devices,30
uv,30
practice,30
plan,30
expected,30
pendulum,30
potash,30
18,30
older,30
involved,30
bulbs,30
spring,30
eye,30
prevent,30
network,30
defined,30
networks,30
specific,30
tells,30
evolution,30
autonomous,30
ultimately,30
forwards,30
lens,30
setup,29
thumbnails,29
mathematical,29
illusion,29
thumbnail,29
load,29
mathematicians,29
feeling,29
final,29
title,29
forever,29
measurement,29
mechanical,29
einstein,29
45,29
kilograms,29
values,29
stored,29
elements,29
steel,29
university,29
unit,29
otherwise,29
brilliantorgveritasium,29
invented,29
error,29
barrier,29
leave,29
typically,29
peanut,29
discovery,29
circular,29
amplitude,29
300,29
visual,29
chamber,29
ray,29
rover,29
components,29
requires,29
connect,29
comments,29
reached,29
salt,29
y,29
sequence,29
death,29
proof,29
highest,29
seemed,29
heard,29
remains,29
annual,29
projects,29
tire,28
platform,28
following,28
sitting,28
prediction,28
follow,28
style,28
night,28
function,28
location,28
keeps,28
avoid,28
observer,28
giant,28
available,28
deeper,28
war,28
initially,28
ship,28
miles,28
secret,28
thermal,28
sorts,28
wild,28
charged,28
weeks,28
bomb,28
pushed,28
mostly,28
remainder,28
g,28
snowflakes,28
generated,28
earlier,27
stops,27
carefully,27
perform,27
bits,27
rapidly,27
antivenom,27
correctly,27
dry,27
catch,27
26,27
downwind,27
certainly,27
analysis,27
dogs,27
spacetime,27
qubits,27
passing,27
fraction,27
phone,27
eat,27
proton,27
entirely,27
symmetry,27
conjecture,27
beam,27
tape,27
develop,27
mission,27
release,27
runs,27
element,27
considered,27
alpha,27
baby,27
uses,27
substance,27
selection,27
fit,27
slowly,27
kelvin,27
cross,27
none,27
accurately,27
limited,26
south,26
snowflake,26
remarkable,26
molecule,26
floor,26
snake,26
yellow,26
business,26
fluctuations,26
boiling,26
naturally,26
stress,26
recent,26
deal,26
knowledge,26
newton,26
electronic,26
received,26
drops,26
vault,26
10000,26
root,26
sets,26
capable,26
message,26
lose,26
clean,26
colors,26
rise,26
grams,26
detected,26
wide,26
traditional,26
figured,26
sources,25
motors,25
algorithms,25
decided,25
narrow,25
national,25
internal,25
app,25
specifically,25
major,25
growing,25
truly,25
giving,25
favorite,25
critical,25
mathematician,25
infinity,25
shorter,25
provides,25
drone,25
fan,25
simulation,25
stationary,25
statistical,25
behavior,25
possibly,25
represents,25
ocean,25
divided,25
easier,25
achieve,25
agree,25
leads,25
fish,25
round,25
coin,25
blades,25
flight,25
essential,25
identify,25
phd,25
products,25
voiceover,25
printing,25
mine,25
dense,25
