Start Time,End Time,Text,sentiment-score
00:00:00.570,00:00:08.670,"Hey, Vsauce. Michael here. And the iTunes store contains 28 million different songs.",0.0
00:00:08.840,00:00:15.740,"Last.fm carries 45 million songs and the Gracenote database of artists, titles, and",0.0
00:00:15.740,00:00:24.240,labels contains 130 million different songs. That's a lot. If you were to listen to all,0.0
00:00:24.240,00:00:28.650,"of the songs in the Gracenote database one after the other in a giant playlist, it would",0.0
00:00:28.650,00:00:32.570,"take you more than 1,200 years to complete.",0.0
00:00:33.760,00:00:40.579,But since there are a finite number of tones our ears can distinguish and because it only,0.1154
00:00:40.579,00:00:48.699,"takes a few notes in common for two musical ideas to sound similar, will we ever run out",0.0
00:00:48.700,00:00:50.940,of new music?,0.0
00:00:51.000,00:00:56.940,Will there ever be a day where every possible brief little melody has been written and recorded,0.0
00:00:56.940,00:01:00.940,and we are left with nothing new to make?,0.0
00:01:01.180,00:01:05.600,A good rule of thumb might be to say that if modern recording technology can't distinguish,0.4404
00:01:05.600,00:01:12.060,"the difference between two songs, well, neither could we. So, let's begin there, with digital",0.2732
00:01:12.060,00:01:18.220,"downloads, MP3's, CD's, and a calculation made by Covered in Bees.",0.0
00:01:19.060,00:01:25.439,"Digital music is made out of ""bits."" Lots and lots of bits. But each individual bit",0.0
00:01:25.439,00:01:29.720,"exists in one of two states: a ""0"" or a ""1.""",0.0
00:01:29.720,00:01:35.439,"Now, what this means in that for any given, say, 5-minute-long audio file, the number",0.0772
00:01:35.439,00:01:42.759,"of possibilities, mathematically speaking, is enormous, but mind-blowingly finite.",0.0
00:01:43.299,00:01:51.419,"A compact disk, which samples music at 44.1 kHz, is going to need about 211 million bits",0.0
00:01:51.430,00:01:57.259,"to store one 5-minute song. And because a bit can exist in two states, either a ""0""",0.0
00:01:57.259,00:02:03.610,"or a ""1,"" the number of possible different ways to arrange those 211,000,000 bits is",0.0772
00:02:03.610,00:02:07.930,2 to the 211th million power.,0.0
00:02:07.930,00:02:14.180,That value represents every single possible different 5-minute-long audio file. But how,0.1779
00:02:14.180,00:02:18.390,"big is that number? Well, let's put this in perspective.",0.34
00:02:18.390,00:02:29.920,A single drop of water contains 6 sextillion atoms. 6 sextillion is 22 digits long. That's,-0.2732
00:02:29.920,00:02:35.080,a long number. But the total number of atoms that make up the entire earth is a number,0.359
00:02:35.090,00:02:41.950,that is about 50 digits long. And estimations of the total number of hydrogen atoms in our,0.1513
00:02:41.950,00:02:47.070,universe is a number that is 80 digits long.,0.0772
00:02:48.570,00:02:55.480,"But ""2 to the 211 millionth power,"" the number of possible, different 5-minute audio files, is a number",0.2263
00:02:55.480,00:03:07.900,that is 63 million digits long. It is a number larger than we can even pretend to understand.,-0.0258
00:03:08.000,00:03:14.620,It contains every possible CD quality 5-minute audio file. Inside that amount is everything,0.0
00:03:14.630,00:03:20.320,"from Beethoven's ""5th"" to Beck's ""Loser"" - it even contains a 5 minute conversation you",-0.5267
00:03:20.320,00:03:25.970,"had with your parents when you were 3 years old. In fact, every one of them. It even contains",0.0
00:03:25.970,00:03:30.570,every possible conversation you didn't have with your parents when you were 3 years old.,0.0
00:03:31.420,00:03:38.500,"But, it is finite, not infinite. It's cool to think about, but it doesn't come very close",-0.3491
