Start Time,End Time,Text,sentiment-score
00:00:00.410,00:00:04.450,"Happy New Year, Vsauce! Michael here. And in honor of 2013",0.8016
00:00:04.450,00:00:07.950,let's discuss 13 things.,0.0
00:00:07.950,00:00:12.240,"To begin, where to spend all that cash you picked up over the holidays?",0.3818
00:00:12.240,00:00:16.049,"Now, plenty of website sell cool stuff. United Nuclear sells",0.6249
00:00:16.049,00:00:20.380,"Aerogel, radioactive isotopes, jet engine schematic",0.0
00:00:20.380,00:00:25.859,and even marbles doped with uranium. Maths Gear sells these cool non transitive,0.3182
00:00:25.859,00:00:26.859,dice I actually bought,0.0
00:00:26.859,00:00:31.750,"yesterday, as does Grand Illusions. But they also carry for explosive magic",0.25
00:00:31.750,00:00:32.320,"tricks,",-0.128
00:00:32.320,00:00:35.739,optical illusion masks and a poster of,0.0
00:00:35.739,00:00:39.149,this image. What makes that,0.0
00:00:39.149,00:00:42.629,"image so special? Well, it's an example",0.6566
00:00:42.629,00:00:45.950,of the land effect. Even though it appears to contain,0.0
00:00:45.950,00:00:49.590,"a bunch of different colors - oranges and yellows and greens,",0.0
00:00:49.590,00:00:52.980,the entire image is actually made out of nothing,0.0
00:00:52.980,00:00:57.629,"but red. Seriously. I've linked the image down in the descriptions, so you can grab",-0.2617
00:00:57.629,00:00:59.079,it and investigated using,0.0
00:00:59.079,00:01:02.570,your favorite image editor. The yellows are actually,0.4588
00:01:02.570,00:01:06.790,light reds or pinks. And the green is just dull grey,-0.3612
00:01:06.790,00:01:09.979,red. What's going on is called,0.0
00:01:09.979,00:01:14.310,"color constancy. Your visual system, your eyes and brain",0.0
00:01:14.310,00:01:17.680,calculate the average illumination conditions of a scene,0.0
00:01:17.680,00:01:22.479,"and then subtract those conditions, so that colors remain relatively constant.",0.0
00:01:22.479,00:01:25.990,"This is why a blue object looks blue, whether you're viewing it",0.0
00:01:25.990,00:01:29.810,under the midday Sun or a dark red sunset or fluorescent light or,0.0
00:01:29.810,00:01:30.810,incandescent light.,0.0
