Start Time,End Time,Text,sentiment-score
00:00:00.429,00:00:05.729,"Hey, Vsauce. Michael here. I've been watching Bravest Warriors on Cartoon Hangover lately.",0.5106
00:00:05.729,00:00:11.580,"It's great, it was created by Pendleton Ward, and in the show teenagers zip around the universe",0.7269
00:00:11.580,00:00:20.480,visiting star systems and planets and here is my question: When will we do the same?,0.0
00:00:20.480,00:00:22.640,"Us humans, in real life.",0.0
00:00:22.640,00:00:28.460,"I mean, we've managed to put people on the Moon, and land robots on asteroids, and Mars,",0.0
00:00:28.460,00:00:32.000,"and even Titan, a moon of Saturn.",0.0
00:00:32.240,00:00:41.160,Interplanetary travel is scary cool. But will we ever travel interstellarly? Certainly,0.3919
00:00:41.170,00:00:47.899,"it will happen, right? I mean, Voyager 1 is expected to reach interstellar space sometime",0.0258
00:00:47.899,00:00:55.579,"this year, or maybe in the next year or two. And it was launched way back in 1977. So,",0.128
00:00:55.579,00:01:01.329,"shows like Bravest Warriors are pretty much just a glimpse of our future, maybe even one",0.8402
00:01:01.329,00:01:05.169,within our lifetimes. Right?,0.0
00:01:07.080,00:01:11.960,"Well, we're going to need a DONG for this one. Something you",0.2732
00:01:11.970,00:01:14.200,can Do Online Now Guys.,0.0
00:01:14.200,00:01:19.920,The Hayden Planetarium's digital universe allows you to explore a 3-dimensional map,0.0
00:01:19.920,00:01:27.420,"of our Milky Way. Now, there are about 81 visible stars within just 20 lightyears of",0.0
00:01:27.420,00:01:33.980,"our own Sun. The nearest is Proximus Centauri, which is only 4.3 lightyears away.",0.0
00:01:33.980,00:01:42.300,"Getting there? Piece of cake. Piece of difficult cake, because a lightyear is an incredibly",-0.3612
00:01:42.310,00:01:48.500,long distance. It's the distance that light in a vacuum will travel in an entire year.,0.0
00:01:48.500,00:01:54.420,And in just one second light can travel so far as to circle the entire Equator of,0.0
00:01:54.420,00:01:58.560,Earth...7 times.,0.0
00:01:59.780,00:02:08.819,"Now, a fast bullet can travel at about 1,500 m/s. And Voyager 1 is traveling at about 17,000",0.0
00:02:08.819,00:02:15.169,"m/s, relative to the Sun. Also relative to the Sun, our Earth is orbiting at a speed",0.0
00:02:15.169,00:02:23.989,"of 29,800 m/s - that's pretty fast. But the fastest man-made object ever was the Helios",0.2732
00:02:23.989,00:02:32.140,"2 Solar Probe, which traveled at a maximum speed of 70,220 m/s.",0.0
00:02:32.660,00:02:40.640,"Impressive, right? Well, even at that speed, the fastest speed ever reached by any man",0.7003
00:02:40.640,00:02:47.980,"made object, crossing this little ol' gap and reaching Proximus Centauri would take",0.2023
00:02:47.980,00:02:51.640,"19,000 years.",0.0
00:02:51.640,00:02:57.400,"But technology in the future is bound to be improved, along with the maximum speeds we",0.631
00:02:57.400,00:03:03.180,"are able to obtain. Even using what we know now, a solar sail could easily provide the",0.34
00:03:03.180,00:03:10.180,acceleration needed to reach near-lightspeed speeds. And our current understanding of physics theoretically,0.0258
00:03:10.249,00:03:15.930,"allows for things like wormholes which, in theory, could move a spacecraft from one point",0.3612
00:03:15.930,00:03:20.029,in space to another faster than light normally could.,0.0
