Start Time,End Time,Text,sentiment-score
00:00:01.160,00:00:03.440,"Hey, Vsauce. Michael here.",0.0
00:00:03.440,00:00:06.460,Why do humans wear clothing?,0.0
00:00:06.470,00:00:10.219,"Sure, we need it for protection from the elements and fashion,",0.3182
00:00:10.219,00:00:11.689,"to show our personalities,",0.0
00:00:11.689,00:00:15.249,but no other animal makes and wears clothing.,-0.4215
00:00:15.249,00:00:20.869,"More importantly, why do we feel embarrassed to be naked around other people?",0.024
00:00:22.220,00:00:24.440,"The word ""embarrassed"" comes from ",-0.3612
00:00:24.440,00:00:26.160,"the Portuguese route,",0.0
00:00:26.160,00:00:30.440,"""embaraça"", which means to entangle or entwine.",0.0
00:00:30.440,00:00:35.580,And feeling embarrassed often feels like being tied up or exposed.,0.0516
00:00:35.580,00:00:37.180,But how can a healthy,0.5499
00:00:37.180,00:00:39.640,amount of embarrassment be a sign,-0.4404
00:00:39.640,00:00:41.370,"that you are likeable,",0.4588
00:00:41.370,00:00:42.550,forgivable,0.4019
00:00:42.550,00:00:44.450,and trustworthy.,0.5574
00:00:46.120,00:00:48.780,This t-shirt and hoodie,0.0
00:00:48.780,00:00:51.029,"come from the YouTube Space LA,",0.0
00:00:51.029,00:00:54.140,which opened in November of 2012.,0.0
00:00:54.140,00:00:55.380,But clothing,0.0
00:00:55.380,00:00:57.860,"has been around a lot longer than that,",0.0
00:00:57.860,00:00:58.580,for at least,0.0
00:00:58.580,00:01:01.179,"the last 100,000 years.",0.0
00:01:01.179,00:01:03.250,"Clothing protects us from the cold,",0.3182
00:01:03.250,00:01:05.560,"from rain, from the Sun",0.0
00:01:05.560,00:01:07.790,and it can also be an ornament.,0.0
00:01:07.790,00:01:12.090,"A way of accentuating certain parts of our bodies or showing off wealth,",0.6486
00:01:12.090,00:01:13.039,status.,0.0
00:01:13.039,00:01:14.940,It can even help us build,0.4019
00:01:14.940,00:01:20.580,"our own identities. But today I'm interested in another use of clothing,",0.5499
00:01:20.580,00:01:22.250,modesty.,0.0
00:01:22.250,00:01:24.430,Why are humans,0.0
00:01:24.430,00:01:27.120,afraid to be naked?,0.0
00:01:27.120,00:01:30.460,Why are we ashamed of nudity?,-0.4767
00:01:30.460,00:01:34.600,Especially because animals pretty much walk around naked,0.5367
00:01:34.600,00:01:35.960,all the time.,0.0
00:01:35.960,00:01:39.360,Why aren't animals embarrassed to be naked?,0.2755
00:01:39.360,00:01:40.410,Well...,0.2732
00:01:40.530,00:01:44.280,Let's take a closer look at embarrassment.,-0.4404
00:01:44.280,00:01:48.220,Embarrassment is a fascinating emotion and,0.1531
00:01:48.220,00:01:50.670,an extremely social one.,0.0
00:01:50.670,00:01:54.470,"You don't ever really ever feel embarrassed alone, when no one's watching you or",-0.7152
00:01:54.470,00:01:56.590,"listening to you. So,",0.0
00:01:56.590,00:02:01.490,embarrassment probably evolved because it is such a good influence on social,0.0
00:02:01.490,00:02:02.670,cooperation.,0.0
00:02:02.670,00:02:05.940,We feel embarrassed when we violate little,-0.6908
00:02:05.950,00:02:10.909,"social rules of conduct and each of us individually hoping to avoid that,",0.1531
00:02:10.909,00:02:16.169,"to avoid embarrassment,  has helped all of us live together better.",-0.296
00:02:16.169,00:02:19.169,Healthy brains experience embarrassment.,-0.0516
00:02:19.169,00:02:22.739,Neurodegeneration of the frontal and temporal lobes,0.0
00:02:22.739,00:02:24.080,can lead to less,0.0
00:02:24.080,00:02:26.119,awareness of yourself.,0.0
00:02:26.119,00:02:29.139,So a healthy amount of occasional embarrassment,0.0954
00:02:29.140,00:02:30.480,is a good thing.,0.4404
00:02:30.489,00:02:32.629,It's a sign of a socially adept,0.0
00:02:32.629,00:02:35.879,and normally functioning brain.,0.0
00:02:35.879,00:02:39.049,A famous experiment involved participants,0.0
00:02:39.049,00:02:40.659,watching an actor,0.0
00:02:40.659,00:02:41.319,receive,0.0
00:02:41.319,00:02:44.739,praise for achieving a very very high score,0.5574
00:02:44.739,00:02:46.109,on an exam.,0.0
00:02:46.109,00:02:47.250,In some cases,0.0
00:02:47.250,00:02:52.069,"the actor was told to feign pride in the achievement. And in others,",0.34
00:02:52.069,00:02:53.150,they acted,0.0
00:02:53.150,00:02:56.259,embarrassed to have attention put on themselves.,-0.3612
00:02:56.259,00:02:56.969,"Later,",0.0
00:02:56.969,00:03:00.409,the actors and the participants played games together,0.34
00:03:00.409,00:03:03.359,"and the participants were more pro-social,",0.0
00:03:03.359,00:03:05.239,friendly and cooperative,0.4939
00:03:05.239,00:03:09.279,with actors who earlier expressed embarrassment.,-0.4404
00:03:09.279,00:03:13.919,"It's suggested that the actor was to be trusted, that they desired to",0.6369
00:03:13.919,00:03:16.399,fit in and work together.,0.3612
00:03:16.399,00:03:21.199,"Now, the fact that embarrassment displays our knowledge of others and our desire",-0.0516
00:03:21.199,00:03:22.589,to be liked,0.4215
00:03:22.589,00:03:28.109,"may explain why evoking embarrassment in others, whether it be flirtation or",-0.0516
00:03:28.109,00:03:30.870,"playful teasing, is so common",0.3818
00:03:30.870,00:03:34.069,when we kind of like the other person.,0.2975
00:03:34.069,00:03:40.069,"Shame is a stronger emotion. And shame, when it comes to",-0.5574
00:03:40.069,00:03:45.479,"our private parts, the kind nearly every society - western or not - shares to some",0.3637
00:03:45.479,00:03:49.759,"degree is related to the root of our question today,",0.0
00:03:49.760,00:03:51.400,modesty.,0.0
00:03:51.409,00:03:55.429,Havelock Ellis' writing on the evolution of modesty,0.0
00:03:55.429,00:04:00.219,"is a big antiquated when it comes to vocabulary, but he discusses quite well",0.4748
00:04:00.219,00:04:03.559,two possible reasons for our fear,-0.4939
00:04:03.559,00:04:04.760,"of nakedness,",0.0
00:04:04.760,00:04:10.569,both of which predate clothing and are not unique to humans.,0.0
00:04:10.569,00:04:11.449,The first,0.0
00:04:11.449,00:04:14.059,is the vital phenomenon of,0.296
00:04:14.059,00:04:15.519,refusal.,0.0
00:04:15.519,00:04:18.229,"Before mating, many animals play a game of",0.34
00:04:18.229,00:04:19.219,"chase,",0.0
00:04:19.219,00:04:20.220,"hard to get,",-0.1027
00:04:20.220,00:04:22.569,"a game of acceptance and then flight,",0.4588
00:04:22.569,00:04:24.610,forcing the pursuer to,0.0
00:04:24.610,00:04:25.340,keep up,0.0
00:04:25.340,00:04:28.690,and prove their determination before being chosen,0.4019
00:04:28.690,00:04:31.500,"as a desirable mate. So,",0.3182
00:04:31.500,00:04:34.449,"when it comes to humans, we can think of clothing,",0.0
00:04:34.449,00:04:37.429,"paradoxically, as both a means of",0.0
00:04:37.429,00:04:39.690,drawing attention to one's body,0.0
00:04:39.690,00:04:41.430,and simultaneously,0.0
00:04:41.430,00:04:42.680,as a way to,0.0
00:04:42.680,00:04:44.439,cover the body,0.0
00:04:44.439,00:04:45.360,"modestly,",0.0
00:04:45.360,00:04:49.229,"making us less available to every and any potential mate,",0.0
00:04:49.229,00:04:50.169,rendering,0.0
00:04:50.169,00:04:53.039,breeding more selective.,0.0
00:04:53.039,00:04:58.550,Ellis also mentions the fear of evoking disgust. And it's easy to see why,-0.6369
00:04:58.550,00:05:05.349,"individuals of a species, who avoid things we consider disgusting, would survive better.",-0.4019
00:05:05.349,00:05:11.349,"Fecal material, waste, rubbish, other bodily secretions can spread disease.",-0.4215
00:05:11.349,00:05:12.389,"For instance,",0.0
00:05:12.389,00:05:17.649,animals whose poop likely contains dangerous parasites avoid grazing around,-0.6486
00:05:17.649,00:05:19.349,or hanging out around,0.0
00:05:19.349,00:05:20.729,their waste.,-0.4215
00:05:20.729,00:05:24.000,Habits like that lead to more sanitary conditions,0.3612
00:05:24.000,00:05:26.360,and a species more likely,0.0
00:05:26.360,00:05:31.169,to survive. It's a satisfying piece of evidence as to why clothing once,0.4588
