Start Time,End Time,Text,sentiment-score
00:00:00.590,00:00:03.429,"Hey, Vsauce. Michael here. But where",0.0
00:00:03.429,00:00:06.660,is here and how much does it weigh?,0.0
00:00:06.660,00:00:12.019,"That's the supposed to be me, huh? Imitation is a form of flattery.",0.1027
00:00:12.019,00:00:15.660,An honor. But what is the greatest honor,0.9217
00:00:15.660,00:00:17.360,possible?,0.0
00:00:18.869,00:00:22.869,Let's begin our journey by looking at challenges and achievements,0.0772
00:00:22.869,00:00:26.610,"worthy of honour. First, the physical ones.",0.765
00:00:26.610,00:00:29.640,Being the fastest person to run a marathon,0.0
00:00:29.640,00:00:33.840,26.2 miles is great but why stop there?,-0.0644
00:00:33.840,00:00:37.100,The Iron Man triathlon involves,0.0
00:00:37.100,00:00:42.850,"swimming - 2.4 miles, racing on a bicycle 112 miles",0.0
00:00:42.850,00:00:46.280,and then running an entire marathon.,0.0
00:00:46.280,00:00:49.530,Record holder Craig Alexander did it all in,0.0
00:00:49.530,00:00:53.150,"8 hours, 3 minutes and 56 seconds.",0.0
00:00:53.150,00:00:56.960,Beyond that things begin to get mental.,0.0
00:00:56.960,00:01:00.879,The self transcendence race held every summer in New York,0.0
00:01:00.879,00:01:04.049,is the longest certified foot race,0.0
00:01:04.049,00:01:07.350,"on the planet. It's not 26 miles long,",0.0
00:01:07.350,00:01:10.840,it's 3100.,0.0
00:01:10.840,00:01:14.280,And instead of running thousands of miles across the varied,0.0
00:01:14.280,00:01:17.580,"landscape of the US, competitors merely run",0.0
00:01:17.580,00:01:21.140,around the same city block in Queens,-0.4404
00:01:21.140,00:01:24.810,5 649 times.,0.0
00:01:24.810,00:01:28.740,You have 52 days to complete the race and doing so can,0.0
00:01:28.740,00:01:32.700,wear out as many as 12 pairs of shoes.,0.0
00:01:32.700,00:01:36.440,The fastest time for completing the race goes to Wolfgang Schwerk,0.0
00:01:36.440,00:01:38.939,"who finished in just 41 days,",0.0
00:01:38.939,00:01:42.079,averaging 75 miles of running,0.0
00:01:42.079,00:01:45.590,every day. In the realm of entertainment,0.4215
00:01:45.590,00:01:49.420,"there are very clear physical rewards, statuettes like",0.8297
00:01:49.420,00:01:52.479,"the Emmy, the Grammy, the Oscar and the Tony.",0.0
00:01:52.479,00:01:55.789,Winning at least one of each is called an,0.5267
00:01:55.789,00:02:01.799,EGOT. So far 11 humans have won all four awards in competitive categories.,0.8126
00:02:01.799,00:02:06.389,Marvin Hamlisch and Richard Rodgers also each won a Pulitzer Prize.,0.7906
00:02:06.389,00:02:11.130,Lynn Redgrave is the only person to have ever been nominated,0.0
00:02:11.130,00:02:14.130,for all four awards without winning,0.0577
00:02:14.130,00:02:20.010,a single one. Some people have won surprising combinations of awards.,0.8316
00:02:20.010,00:02:24.830,"Steve Tisch, as chairman and executive vice president of the New York Giants",0.0
00:02:24.830,00:02:29.090,"and producer of films like Forrest Gump, American History X",0.3612
00:02:29.090,00:02:33.260,and Snatch is the only person in history to have won both,0.5719
00:02:33.260,00:02:36.600,a Super Bowl ring and an Oscar.,0.5994
00:02:36.600,00:02:40.190,And throughout all of human history only one person,0.0
00:02:40.190,00:02:44.250,has won an Oscar and a Nobel Prize.,0.7906
00:02:44.250,00:02:47.960,George Bernard Shaw. Those are neat facts,0.4588
00:02:47.960,00:02:53.820,but let's define honour. There are two guys we should go to. The first is Noah,0.7227
00:02:53.820,00:02:54.490,Webster,0.0
00:02:54.490,00:02:57.670,whose American Dictionary is the reason Americans,0.0
00:02:57.670,00:03:03.180,spell it honor. The second guy is Samuel Johnson whose English Dictionary is the,0.4939
00:03:03.180,00:03:04.010,reason people,0.0
00:03:04.010,00:03:07.280,"across the Atlantic, where I usually am, spell it",0.0
00:03:07.280,00:03:11.850,honour. Johnson differentiated two types of honored that are relevant to the,0.8176
00:03:11.850,00:03:12.540,question,0.0
00:03:12.540,00:03:16.250,in this video's title. The first is what he calls,0.0
00:03:16.250,00:03:20.240,"nobility of soul, magnanimity and the scorn",-0.4019
00:03:20.240,00:03:25.300,of meanness. This is honour derived not from achievement at something competitive,0.6597
00:03:25.300,00:03:29.290,but rather from perceived virtuous conduct,0.6808
00:03:29.290,00:03:33.050,and personal integrity. But what counts,0.2023
00:03:33.050,00:03:37.830,as a virtue? One of my favorite attempts to catalog human virtues was done by,0.8074
00:03:37.830,00:03:39.090,Christopher Peterson,0.0
00:03:39.090,00:03:42.600,and Martin Seligman. Frustrated by a persistent,-0.5267
00:03:42.600,00:03:46.140,"focus on mental illness, they devised a guide",-0.4019
