Start Time,End Time,Text,sentiment-score
00:00:00.220,00:00:04.120,"Hey, Vsauce. Michael here. But what could be",0.0
00:00:04.120,00:00:08.920,out there? The likelihood of extraterrestrial intelligence,0.4767
00:00:08.920,00:00:12.500,has been the subject of an equation and the current lack,-0.3182
00:00:12.500,00:00:15.580,of any communication with aliens the subject,0.0
00:00:15.580,00:00:21.660,of a paradox. But here's a different question. If we were to hear,-0.0516
00:00:21.660,00:00:25.340,"from intelligent life beyond earth, what would really",0.4588
00:00:25.340,00:00:28.779,"happen next? Well, no government",-0.0258
00:00:28.779,00:00:32.380,has ever officially adopted a post-detection policy.,0.0
00:00:32.380,00:00:35.460,And when asked how they would deal with a confirmed message from,0.0
00:00:35.460,00:00:37.360,"extraterrestrial intelligence,",0.4767
00:00:37.360,00:00:40.620,the United Nations Office for Outer Space Affairs,0.4215
00:00:40.620,00:00:44.760,simply said that their job does not include any issues regarding,0.0
00:00:44.760,00:00:49.039,the question you pose.,0.0
00:00:49.039,00:00:52.210,So are we unprepared? Would chaos ensue?,-0.6199
00:00:52.210,00:00:55.539,These things are unlikely but the way,0.0
00:00:55.539,00:01:00.789,"we prepare for, and anticipate our species encountering one from beyond",0.0
00:01:00.789,00:01:04.510,"earth, is important and illuminating even though",0.2023
00:01:04.510,00:01:07.869,"improbable. Historically, we have",0.0
00:01:07.869,00:01:11.750,acted as though alien life exists. Back,0.0
00:01:11.750,00:01:16.630,contamination is a concern that a man-made object returning from space,0.0
00:01:16.630,00:01:20.509,"could carry with it undiscovered alien life forms, especially",0.0
00:01:20.509,00:01:23.990,viruses and bacteria that could wipeout,0.0
00:01:23.990,00:01:28.119,life on earth. This was a serious concern,-0.0772
00:01:28.119,00:01:31.290,dealt by serious people when we first sent,-0.0772
00:01:31.290,00:01:34.520,"humans to the Moon. When Neil Armstrong,",0.0
00:01:34.520,00:01:37.799,"Michael Collins and Buzz Aldrin returned from the lunar surface,",0.0
00:01:37.799,00:01:41.460,they didn't immediately hugged their families and join a public parade.,-0.015
00:01:41.460,00:01:46.860,"Instead, they were sealed up in biological isolation garments and flown",-0.4019
00:01:46.860,00:01:50.680,"to a quarantine facility to be locked away for three weeks,",0.0
00:01:50.680,00:01:52.790,"in Houston, Texas.",0.0
00:01:52.790,00:01:57.729,By Apollo 15 the practice was discontinued but forward contamination,0.0
00:01:57.729,00:01:58.450,has also,0.0
00:01:58.450,00:02:04.680,been a real concern. When NASA sent the Galileo spacecraft to serve a Jupiter,0.0
00:02:04.680,00:02:07.750,"and its moons, it got amazing data",0.5859
00:02:07.750,00:02:10.850,but there was a problem. It had never been,-0.5499
00:02:10.850,00:02:14.810,"sterilized. Because life, even liquid water, could exist",0.0
00:02:14.810,00:02:18.840,"on these moons, NASA made the decision to avoid contaminating an",-0.296
00:02:18.840,00:02:23.310,"alien biosphere and the mission was over, steered Galileo",0.0
00:02:23.310,00:02:27.280,"into Jupiter, where it burned up and was destroyed,",-0.4939
00:02:27.280,00:02:30.310,along with any Earth life possibly.,0.0
00:02:30.310,00:02:35.690,on board. So protocols and decisions have been officially made in,0.0
00:02:35.690,00:02:36.519,the past,0.0
00:02:36.519,00:02:40.269,under the assumption that aliens might exist.,0.0
