Start Time,End Time,Text,sentiment-score
00:00:02.750,00:00:03.879,"Hey, Vsauce.",0.0
00:00:03.879,00:00:07.149,Michael here. And the year 6009,0.0
00:00:07.149,00:00:11.690,will be the very first year since 1961 that a year,0.0
00:00:11.690,00:00:15.109,when written in Hindu-Arabic numerals  can be inverted,0.0
00:00:15.260,00:00:19.750,and still look the same. But you and I,0.0
00:00:19.750,00:00:23.369,probably won't live long enough to enjoy the year six thousand,0.4939
00:00:23.369,00:00:26.590,and nine. Human lives just aren't long enough.,0.0
00:00:26.590,00:00:32.119,We will miss out on that. What other cool future offense will we be,-0.0772
00:00:32.119,00:00:35.380,"missing? Well, first of all,",-0.0258
00:00:35.380,00:00:39.670,you and I will probably be gone before the completion of the time,0.0
00:00:39.670,00:00:44.640,"pyramid in Wemding, Germany. It will eventually be a pile of",0.0
00:00:44.640,00:00:48.710,120 concrete blocks. But the builders,-0.1154
00:00:48.710,00:00:52.730,are only adding one block every 10 years.,-0.4404
00:00:52.730,00:00:55.739,Since beginning in 1993 they've added,0.0
00:00:55.739,00:01:01.390,only the first three. At this rate the pyramid will be completed in the year,0.0
00:01:01.390,00:01:04.950,3183.,0.0
00:01:04.950,00:01:06.520,The final block placed by,-0.4404
00:01:06.530,00:01:11.200,"our great great great great great great, more than 30 greats",0.979
00:01:11.200,00:01:14.610,grandchildren. But even they will miss,-0.2263
00:01:14.610,00:01:18.530,an opportunity to frolic and play safely in the Chernobyl,0.8126
00:01:18.530,00:01:21.680,Exclusion Zone. The zone of,-0.296
00:01:21.680,00:01:25.909,"alienation, where radioactive contamination from the 1986 disaster",-0.7351
00:01:25.909,00:01:28.549,will remain at levels too high,0.0
00:01:28.549,00:01:33.439,"for safe human activity until not the year 4000,",0.4404
00:01:33.439,00:01:37.909,"not the 5000, not the 6000. It will finally be safe",0.4404
00:01:37.909,00:01:42.889,probably in the year 22 000.,0.0
00:01:42.889,00:01:46.880,Possibly within our lifetimes but definitely within the next one,0.5499
00:01:46.890,00:01:48.060,"million years,",0.0
00:01:48.060,00:01:51.320,stars like Betelgeuse and Eta Carinae,0.3612
00:01:51.320,00:01:54.720,will explode in brilliant supernovas,0.5859
00:01:54.720,00:01:59.259,visible from earth. I'm bummed I'm probably going to miss out on these,-0.1531
00:01:59.259,00:02:00.350,events because,0.0
