Start Time,End Time,Text,sentiment-score
00:00:00.070,00:00:03.980,"Hey, Vsauce. Michael here. This is a completely still",0.0
00:00:03.980,00:00:08.990,"image but as your eye reads well I'm saying and jumps from word to word,",0.3919
00:00:08.990,00:00:12.150,"the paragraph will appear to slightly, just",0.0
00:00:12.150,00:00:17.340,"subtly, wave and boil. The allusion is called anomalous",0.0
00:00:17.340,00:00:20.820,motion. It's neat. But to say it's fun,0.7543
00:00:20.820,00:00:24.090,is tautology because the word,0.0
00:00:24.090,00:00:27.410,"illusion literally means to have fun,",0.5106
00:00:27.410,00:00:31.050,"to mock, to play with. But illusions aren't",-0.0516
00:00:31.050,00:00:34.239,just fun and games. They also teach us,0.5106
00:00:34.239,00:00:37.820,"about our brains. Anomalous motion,",0.0
00:00:37.820,00:00:40.860,"for instance, demonstrates that our brains process",0.0
00:00:40.860,00:00:44.309,things at different rates and piece by piece.,0.0
00:00:44.309,00:00:48.700,"After a saccade, a quick eye movement, higher contrast",0.0
00:00:48.700,00:00:52.000,elements are perceived sooner than lower contrast,-0.296
00:00:52.000,00:00:56.120,"ones. When arranged in just the right way, this delay is exploited",-0.6833
00:00:56.120,00:00:59.120,and your visual system only has one explanation.,0.0
00:00:59.120,00:01:02.609,Low contrast parts of the image didn't get processed later,-0.2732
00:01:02.609,00:01:06.780,because this myelinated machine is wrong but rather because the image,-0.2617
00:01:06.780,00:01:07.420,itself,0.0
00:01:07.420,00:01:11.790,must be moving. Akiyoshi Kitaoka's brilliant,0.5859
00:01:11.790,00:01:16.770,"""Out of focus"" causes nearby neurones to disagree about the little slices they",-0.3818
00:01:16.770,00:01:19.409,each detect. Some see big changes,0.0
00:01:19.409,00:01:24.070,after a saccade and some see hardly any. This makes it difficult for our brains,-0.3612
00:01:24.070,00:01:26.220,to calculate and factor in the effect,0.0
00:01:26.220,00:01:29.350,"of our own eye movements, so the image itself",0.0
00:01:29.350,00:01:33.460,appears to be moving. But illusions aren't just about,0.0
00:01:33.460,00:01:36.630,moving. They can also be,0.0
00:01:36.630,00:01:39.689,"moving, poignant, significant,",0.2023
00:01:39.689,00:01:43.369,"practical. They can mean the difference between life and death,",-0.5994
00:01:43.369,00:01:46.549,like in nature or during World War I,-0.34
00:01:46.549,00:01:52.890,as dazzle paint on ships. This form of camouflage doesn't conceal the object,0.0
00:01:52.890,00:01:53.659,but rather,0.0
00:01:53.659,00:01:57.600,makes it difficult for an enemy to ascertain its prey's,-0.7184
00:01:57.600,00:02:00.729,true shape and thus where it's heading,0.4215
00:02:00.729,00:02:04.009,or how fast it's going. In 1955,0.0
00:02:04.009,00:02:08.509,the Soviet Union displayed their new Bison and Bear long-range bombers,0.0
00:02:08.509,00:02:12.040,at an air show. It looked like they had,0.3612
00:02:12.040,00:02:17.480,"a lot. Afraid of falling behind, the US ramped up production on their own",-0.1531
00:02:17.480,00:02:20.930,B-52 bomber. But the whole thing,0.0
00:02:20.930,00:02:24.440,was an illusion. In the Soviet's film of the air show,0.0
00:02:24.440,00:02:28.860,the same few planes had been flown past the camera multiple times,0.0
00:02:28.860,00:02:33.050,in formations that gave the illusion of them having more bombers,0.0
00:02:33.050,00:02:37.080,than they really did. By the end of the 1950s the Soviet Union,0.0
00:02:37.080,00:02:40.730,"only had about 150 long-range bombers,",0.0
00:02:40.730,00:02:44.160,"whereas the Americans, fooled",-0.3818
00:02:44.160,00:02:48.090,"by the illusion, had built nearly 2,000",0.0
00:02:48.090,00:02:51.790,at a cost of 900 million dollars.,0.0
