Start Time,End Time,Text,sentiment-score
00:00:07.980,00:00:09.059,"Hey, Vsauce.",0.0
00:00:09.059,00:00:12.719,Michael here. The title of this video is misspelled,0.0
00:00:12.719,00:00:15.820,in honour of mistakes. Mistakes are,-0.0772
00:00:15.820,00:00:19.620,"everywhere, they surround us like air",0.3612
00:00:19.620,00:00:23.279,"To err is human. Faults, flaws, faux pas, fumbles",-0.4767
00:00:23.279,00:00:26.340,and fallacies are as much a part of who we are today,0.0
00:00:26.340,00:00:29.550,"as the stuff we've gotten right. For instance,",0.0
00:00:29.550,00:00:33.570,"if a knight knocked your knuckle or knifed your knee,",0.0
00:00:33.570,00:00:37.030,"why would there be so many ""k""s?",0.0
00:00:37.030,00:00:41.019,"Well, the ""k""s are silent by mistake.",-0.0772
00:00:41.019,00:00:45.879,"The original old English forms of these words were pronounced with ""k""",0.3182
00:00:45.879,00:00:46.420,sounds.,0.0
00:00:46.420,00:00:49.540,"K-nife, k-night, k-nee.",0.0
00:00:49.540,00:00:53.600,But that's a bit of a mouthful to say and because reading and writing weren't as,0.0
00:00:53.609,00:00:55.429,"common hundreds of years ago,",0.0
00:00:55.429,00:01:00.730,"people just pronounced words the way they want to do, regardless of spelling.",0.0772
00:01:01.620,00:01:06.540,Spelling is fun. Warren G knows what I'm talking about. In the fourth,0.5106
00:01:06.550,00:01:10.670,"verse of his ""What's Next"", he asks what's next.",0.0
00:01:10.670,00:01:15.500,"What's next, what's N-X-E-T",0.0
00:01:15.700,00:01:17.940,Spelling isn't the only thing,0.0
00:01:17.940,00:01:22.110,we get wrong. The history of science is a graveyard,-0.6486
00:01:22.110,00:01:26.930,of dead an abandoned ideas. Fritz Machlup coined the phrase,-0.8074
00:01:26.930,00:01:31.280,"""Half-life of knowledge"". The amount of time it takes for half of the knowledge",0.0
00:01:31.280,00:01:32.510,within a field,0.0
00:01:32.510,00:01:36.510,"to be superseded by new, better ideas or to simply be shown",0.4404
00:01:36.510,00:01:39.810,untrue. Donald Hebb famously,0.0
00:01:39.810,00:01:42.880,estimated that the half-life of knowledge in psychology,0.0
00:01:42.880,00:01:45.760,is just five years.,0.0
00:01:45.760,00:01:49.980,"Humans are awesome, don't get me wrong, but we tend to believe that what we currently",0.515
00:01:49.980,00:01:52.160,think we know about the universe,0.0
00:01:52.160,00:01:55.280,"is reasonably correct, even though statistics",0.0
00:01:55.280,00:01:58.910,aren't on our side. Previous generations,0.0
00:01:58.910,00:02:03.370,incorrectly thought the exact same thing about what they used to think was true.,0.4215
00:02:03.370,00:02:07.890,My favourite examples of the ubiquity of mistakes are production,-0.3612
00:02:07.890,00:02:11.019,errors in popular songs. They're like,0.4404
00:02:11.019,00:02:14.969,"humbling Easter eggs, just waiting to be found. For instance, ",0.0
00:02:14.969,00:02:18.640,"Buffalo Springfield's ""For What It's Worth"".",0.2263
00:02:18.680,00:02:21.840,"26 second in the ""be"" in the lyric",0.0
00:02:21.840,00:02:25.249,"""beware"" is clipped, as is the ""p""",0.0
00:02:25.249,00:02:30.120,"in ""people"" at 1:24 minute. Once you hear the mistake,",-0.34
00:02:30.120,00:02:33.920,"it's tough to unhear it. In ""Hey Jude""",-0.128
00:02:33.920,00:02:39.209,Paul McCartney misses a cord. And if you listen closely you can clearly hear him,0.2023
00:02:39.209,00:02:39.889,say,0.0
00:02:39.889,00:02:44.150,"""F***ing h*ll"". Seriously, it's in the actual song.",-0.1779
00:02:44.150,00:02:47.569,"Go listen to it. In fact, there's an entire website that chronicles",0.0
00:02:47.569,00:02:51.569,mistakes in Beatles' songs. Take a look at this,-0.3612
00:02:51.569,00:02:55.260,700-year-old prayer book. A monk,0.0
00:02:55.260,00:02:58.380,"wrote it on fresh, clean paper.",0.6124
00:02:58.380,00:03:03.700,"I'm kidding, of course. He scraped the ink off an older manuscript, cut the pages and",-0.1779
00:03:03.700,00:03:05.019,rotated them before,0.0
00:03:05.019,00:03:09.469,"writing all over them. A mistake? Well,",-0.0772
00:03:09.469,00:03:13.459,kind of. Recent multispectral images,0.5267
00:03:13.459,00:03:16.670,of the prayer book have revealed that the old manuscript he,0.0
00:03:16.670,00:03:20.519,erased was a previously unknown copy of a work,0.0
00:03:20.519,00:03:23.999,"by Archimedes. It was called ""The Method""",0.0
00:03:23.999,00:03:27.549,and laid out the heart of calculus thousands of years,0.6369
00:03:27.549,00:03:31.650,before Newton and Leibniz. If that one monk,0.0
00:03:31.650,00:03:35.109,"hadn't erased that one book, would we be",0.0
00:03:35.109,00:03:38.489,"hundreds, thousands of years mathematically and technologically more",0.0
00:03:38.489,00:03:39.590,advanced today,0.25
00:03:39.590,00:03:42.870,than we currently are? It's hard to say.,-0.1027
00:03:42.870,00:03:47.299,"All that is certain is that we would continue to make ridiculous mistakes,",-0.4404
00:03:47.299,00:03:47.739,like,0.3612
00:03:47.739,00:03:54.540,the Mars Climate Orbiter. This 327.6 million dollar expedition,0.0
00:03:54.540,00:03:58.340,burned up in the red planet's atmosphere because,0.0
00:03:58.340,00:04:02.809,when calculating flight manoeuvres NASA used the agreed-upon metric units,0.0
00:04:02.809,00:04:06.889,while Lockheed Martin used the imperial system.,0.0
00:04:08.020,00:04:11.540,This is Neil Armstrong taking humankind's first steps,0.0
00:04:11.549,00:04:14.799,on the Moon. It's about the best footage,0.6369
00:04:14.799,00:04:18.810,we have. The original tapes containing the highest quality recording,0.3182
00:04:18.810,00:04:23.129,of that moment have been lost. They were probably,-0.3182
00:04:23.129,00:04:27.759,recorded over by later test missions. Ten years ago,0.0
00:04:27.759,00:04:30.849,Sergio Martinez became lost in the woods while,-0.3182
00:04:30.849,00:04:34.610,hunting outside of San Diego. Hoping to attract the attention of,0.6486
00:04:34.610,00:04:38.020,"rescuers, he lit a small fire.",-0.34
00:04:38.020,00:04:43.419,But that fire quickly got out of control and became a giant Cedar Fire.,-0.7351
00:04:43.419,00:04:46.870,"It destroyed 300,000 acres of land,",-0.4939
00:04:46.870,00:04:50.270,"2,322 homes and killed",-0.6705
00:04:50.270,00:04:53.159,15 people.,0.0
00:04:53.159,00:04:57.060,"The man carrying a wounded soldier in this painting, based on a photograph",0.0
00:04:57.060,00:04:58.889,"taken during World War I,",-0.5994
00:04:58.889,00:05:03.370,"is Henry Tandey, an English recipient of the Victoria Cross.",0.0
00:05:03.370,00:05:08.219,Four years after the event in this image Tandey caught a wounded,0.0
