Start Time,End Time,Text,sentiment-score
00:00:00.280,00:00:02.600,"Hey, Vsauce. Michael here.",0.0
00:00:02.600,00:00:04.330,Since this video began,0.0
00:00:04.330,00:00:07.770,more than a million of your cells have,0.0
00:00:07.770,00:00:10.790,"died. It's natural, don't worry.",0.0788
00:00:10.790,00:00:14.090,But you are literally covered with death,-0.7469
00:00:14.860,00:00:17.660,"Dead stuff. Fingernails, your hair,",-0.6486
00:00:17.660,00:00:21.100,the outermost layer of your skin - all made out of dead things.,-0.6486
00:00:21.100,00:00:25.170,And you are losing this dead stuff constantly. Every week,-0.8283
00:00:25.170,00:00:30.070,about 5.5 grams of dead skin sheds off of your body.,-0.6486
00:00:30.070,00:00:33.149,Ohio State University found that 80%,0.0
00:00:33.149,00:00:37.520,"of that material you see indoors, beautifully dancing across sunbeams,",0.5719
00:00:37.520,00:00:40.610,is dead human skin.,-0.6486
00:00:41.560,00:00:43.760,"But for the most part, you are made out of",0.0
00:00:43.760,00:00:47.059,living stuff. You are a biological,0.0
00:00:47.059,00:00:50.719,"furnace, burning food energy to move and breathe and",0.2732
00:00:50.719,00:00:56.079,"think and stay warm. As you can see on Grand-Illusions[.com], the heat from your own",0.2263
00:00:56.079,00:00:58.010,hand while you sit still,0.4939
00:00:58.010,00:01:00.590,is enough to run a Stirling engine.,0.0
00:01:00.590,00:01:05.140,Your cells are busy and active and dividing,0.4019
00:01:05.150,00:01:10.049,"millions and millions of times every day. In fact, because of that, you shouldn't even",0.0
00:01:10.049,00:01:11.610,really be called a person.,0.0
00:01:11.610,00:01:15.090,You should be called a persON,0.0
00:01:15.090,00:01:19.380,and on and on and on and on and on and on and on... But here's the really,0.0
00:01:19.380,00:01:20.299,mind-blowing,0.0
00:01:20.299,00:01:24.520,"thing about the mind sustaining process of cell division,",0.0
00:01:24.520,00:01:28.729,the replication of instructions. DNA for each daughter cell,0.0
00:01:28.729,00:01:32.100,requires copying an exact sequence,0.0
00:01:32.100,00:01:36.909,of three billion nucleotides. That's a lot.,0.0
00:01:36.909,00:01:42.150,"Luckily, our bodies are perfect-ly happy to do it but they're not perfect.",-0.1273
00:01:42.150,00:01:46.250,"Every time a single cell in your body divides, the enzymes that synthesize",0.0
00:01:46.250,00:01:47.170,your DNA,0.0
00:01:47.170,00:01:51.540,"make 120,000 mistakes.",-0.3612
