Start Time,End Time,Text,sentiment-score
00:00:00.180,00:00:02.700,"Hey, Vsauce. Michael here",0.0
00:00:02.700,00:00:07.839,In 1934 Webster's dictionary gave birth to a new word,0.0
00:00:07.839,00:00:11.410,by mistake. Their chemistry editor,-0.34
00:00:11.410,00:00:15.309,"Austin N Paterson submitted a simple entry: ""D ",0.0
00:00:15.309,00:00:18.390,"or D abbreviation for density"".",0.0
00:00:18.390,00:00:22.490,"Nothing wrong with that, but the entry was misread",-0.2199
00:00:22.490,00:00:25.800,and 'dord' was added to the dictionary.,0.0
00:00:25.800,00:00:30.560,'Dord' was an accidental word for thirteen years before the mistake was,-0.4019
00:00:30.560,00:00:31.359,discovered,0.0
00:00:31.359,00:00:36.399,"and its wordship revoked. Let's have fun with words today,",0.5106
00:00:36.399,00:00:40.550,"but first, what's the deal with first?",0.0
00:00:40.550,00:00:44.950,"Or for that matter, second? If you were in position three",0.0258
00:00:44.950,00:00:48.860,"you're in third place. Position 5, fifth.",0.0
00:00:48.860,00:00:51.180,Position 197,0.0
00:00:51.190,00:00:54.260,one hundred and ninety-seventh. Pretty simple.,0.4939
00:00:54.260,00:00:58.730,So why do positions 1 and 2 give us first and second?,0.0
00:00:58.730,00:01:01.890,Shouldn't they be 'oneth' and 'twoth'?,0.0
00:01:01.890,00:01:05.030,"Well, maybe. But English loves",0.765
00:01:05.030,00:01:10.080,collateral adjectives. Adjectives derived from different roots than the nouns,0.0
00:01:10.080,00:01:14.090,"they describe. There are plenty of derived adjectives, don't get me wrong.",0.3724
00:01:14.090,00:01:15.140,A bunch of clouds,0.0
00:01:15.140,00:01:18.520,"make the day cloudy, friends are friendly,",0.743
00:01:18.520,00:01:23.250,poets are poetic. Things with a lot of smell to them are smelly,0.0
00:01:23.250,00:01:26.780,but the Moon is not Moonly.,0.0
00:01:26.780,00:01:30.060,The Moon is lunar.,0.0
00:01:30.060,00:01:33.740,Collateral adjectives are everywhere.,0.0
00:01:33.740,00:01:38.660,Mouth stuff is oral. Bees are apian.,0.0
00:01:38.660,00:01:41.740,Some nouns have both. Fathers can be,0.0
00:01:41.750,00:01:44.250,fatherly or paternal .,0.0
00:01:44.250,00:01:50.420,And a setting filled with fog can be foggy or brumous.,0.0
00:01:50.420,00:01:52.479,It's often said that no word,-0.296
00:01:52.479,00:01:56.140,rhymes with orange. Is that true?,0.4215
00:01:56.140,00:02:00.240,"Well, rhyming can be controversial because it often depends on pronunciation,",0.0772
00:02:00.240,00:02:04.259,accent and can be forced. Especially if you use multiple,-0.4588
00:02:04.259,00:02:08.009,"words, you can force orange to rhyme with door hinge,",0.0
00:02:08.009,00:02:11.910,if you want. But what we want is a perfect rhyme.,0.7684
00:02:11.910,00:02:15.430,A perfect rhyme is what occurs between two words,0.5719
