Start Time,End Time,Text,sentiment-score
00:00:11.600,00:00:17.260,"Hi, Vsauce. Michael here.",0.0
00:00:22.900,00:00:26.530,"You can practice speaking backwards, so when your words are reversed",0.0
00:00:26.530,00:00:29.900,their intelligible. But here's something else that is weird.,-0.09
00:00:29.900,00:00:33.330,The digits in the speed of light are exactly the same,0.0
00:00:33.330,00:00:38.480,as the latitude of the Great Pyramid of Giza.,0.6249
00:00:38.480,00:00:42.220,"And, as the anagram genius has revealed, all the world's",0.0
00:00:42.220,00:00:46.270,a stage but if you rearrange the letters in the meaning of life,0.0
00:00:46.270,00:00:49.350,it becomes be engine of a film,0.0
00:00:49.350,00:00:54.580,"or, more pessimistically, the fine game of nil.",-0.3025
00:00:54.580,00:00:56.620,What does all of this mean?,0.0
00:00:56.620,00:00:59.400,Are these just coincidences?,0.0
00:00:59.400,00:01:02.000,Or are greater powers at work?,0.3612
00:01:02.880,00:01:05.140,Why is it so easy for us to find,0.5777
00:01:05.140,00:01:09.030,hidden messages? Why can a mere coincidence give us chills,0.0
00:01:09.030,00:01:11.530,and why is it so fun?,0.6418
00:01:12.020,00:01:15.480,When you reverse Neil Armstrong saying 'small step for man',0.0
00:01:15.490,00:01:19.229,you can hear what sounds like man will space walk,0.3612
00:01:30.880,00:01:33.800,Lee Harvey Oswald assassinated President John F Kennedy,0.0
00:01:33.810,00:01:37.439,and this interview he defends the Fair Play for Cuba committee,0.5719
00:01:37.439,00:01:39.099,of which he was a member. ,0.0
00:01:50.720,00:01:53.820,Now listen to what it sounds like when we reverse him saying,0.3612
00:01:53.820,00:01:56.300,'and the Fair Play for Cuba'.,0.5719
00:02:06.829,00:02:12.240,is that a coincidence or a subconscious confession hidden within his own words?,0.0
00:02:14.000,00:02:16.080,It's a coincidence.,0.0
00:02:16.090,00:02:20.640,"For crying out loud, if anybody says 'and the Fair Play for Cuba',",0.1531
00:02:20.640,00:02:24.000,"and then reverses it, it sounds the same.",0.0
00:02:26.140,00:02:28.340,"This app, by the way, is called Virtual Recorder.",0.0
00:02:28.350,00:02:31.630,It's a really easy way to quickly reverse your own speech.,0.4927
00:02:31.630,00:02:35.420,Matthew Hutson in 'The 7 Laws of Magical Thinking' points out that if you record,0.0
00:02:35.420,00:02:36.720,yourself saying,0.0
00:02:38.880,00:02:39.720,and then reverse it,0.0
00:02:39.730,00:02:42.810,it sounds a bit like happy birthday to you,0.7351
00:02:45.120,00:02:45.860,Kind of.,0.5267
00:02:46.060,00:02:48.860,If a word can be spelt the same forward,0.0
00:02:48.860,00:02:51.340,"and backward, it's a palindrome.",0.0
00:02:51.340,00:02:52.890,But if a word or phrase,0.0
00:02:52.890,00:02:56.790,"sounds the same, whether spoken forward or rewound,",0.0
00:02:56.790,00:02:59.370,it is a phonetic palindrome.,0.0
00:02:59.370,00:03:00.240,"For example,",0.0
00:03:00.240,00:03:03.820,say yes. Reversed,0.4019
00:03:05.850,00:03:09.830,Pretty cool. But  check out this poem by Karsten Johansson,0.4118
00:03:29.480,00:03:33.630,"By the way, some people can speak in reverse on the fly",0.0
00:03:33.630,00:03:35.590,It is really cool to see them in action.,0.3804
00:03:35.590,00:03:36.990,Watch Guy's lean back,0.0
00:03:36.990,00:03:41.930,after this video. It's linked down in the description and it's full of pretty cool coincidence videos.,0.6705
00:03:42.520,00:03:46.600,Apophenia is the perception of connections or patterns,0.0
00:03:46.610,00:03:48.110,in information.,0.0
00:03:48.110,00:03:51.030,One type of Apophenia is Pareidolia -,0.0
00:03:51.030,00:03:55.120,the scene or hearing of things that weren't meant to be there.,0.0
00:03:55.120,00:03:58.450,"For instance, hearing your name being called or your phone ringing",0.0
00:03:58.450,00:04:02.230,"in the sound of running water, or hearing English words",0.0
00:04:02.230,00:04:05.700,in a non-English song or seeing faces,0.0
00:04:05.700,00:04:10.960,"that weren't purposely placed there. Our brains are good at this kind of work,",0.4404
00:04:10.960,00:04:15.270,probably because being hyper attentive to patterns and faces,0.0
00:04:15.270,00:04:19.509,can save your life. If there's ambiguity as to whether that,0.4939
00:04:19.509,00:04:23.449,"thing hiding in the shadows is a threat, or just a shadow,",-0.6808
00:04:23.449,00:04:26.530,it's advantageous to air on the side,0.3612
00:04:26.530,00:04:30.770,of threat. Organisms with a healthy sense of Apophenia,-0.1779
00:04:30.770,00:04:34.190,"live longer, long enough to have kids and raise them",0.0
00:04:34.190,00:04:37.830,and naturally become the norm. We connect with,0.0
00:04:37.830,00:04:41.970,faces so well Hutson relates a story of a friend who draws,0.6801
00:04:41.970,00:04:45.130,"faces on things she doesn't wanna lose, like her bags.",0.0382
00:04:45.130,00:04:48.860,She says the faces make her less likely to forget about them.,-0.1621
00:04:48.860,00:04:53.530,"If you like it, you should have put a ring on it, if you like not losing it,",0.7339
00:04:53.530,00:04:55.650,you should have drawn a face on it.,0.0
00:04:55.650,00:04:57.450,We are so good at,0.5777
00:04:57.450,00:05:00.820,teasing out patterns and faces from random noise,-0.0772
00:05:00.820,00:05:04.180,actual random sequences don't always,0.0
00:05:04.180,00:05:07.020,feel random to us.,0.0
00:05:07.020,00:05:12.060,"Originally, Apple's iTunes shuffle feature generated complaints from users.",-0.4019
00:05:12.070,00:05:15.700,"They said that similar songs, or songs from the same artist,",0.0
00:05:15.700,00:05:19.060,"appeared in a string, which, of course, is to be expected",0.0
00:05:19.060,00:05:22.420,from randomness but it didn't feel random enough.,0.0
00:05:22.420,00:05:26.130,So Apple introduced a smart shuffle,0.4019
00:05:26.130,00:05:29.910,that avoided totally random sequences that nonetheless,-0.34
00:05:29.910,00:05:33.780,didn't seem random to our pattern loving brains.,0.5994
00:05:33.780,00:05:37.600,"As Steve Jobs explained, ""we're making it less random",0.0
00:05:37.600,00:05:41.110,"to make it feel more random"".",0.0
00:05:41.110,00:05:45.320,Our impressive ability to imagine patterns also expresses itself when it,0.6808
00:05:45.320,00:05:46.850,comes to connecting songs,0.0
00:05:46.850,00:05:51.020,and moving images. This dancing Spider-Man animation will,0.0
00:05:51.020,00:05:55.720,famously sync up with any music you play.,0.34
00:05:55.720,00:06:00.530,Try it. What kind of black magic is going on here?,0.0
00:06:00.530,00:06:04.480,"Well, as it turns out, most of it is in our heads.",0.2732
00:06:04.480,00:06:09.460,Radiolab reported that Michigan State University explains that the major movements,0.0
00:06:09.460,00:06:12.980,"of dancing animations like this one, or this one,",0.3612
00:06:12.980,00:06:17.060,"move at typical song tempos but also contain, like most",0.5023
00:06:17.060,00:06:21.720,"dance, various other different related rhythms of movement allowing them to seemingly ",0.0
00:06:21.730,00:06:24.410,fit many different tempos.,0.3612
00:06:24.700,00:06:27.380,Selection bias helps a lot too.,0.296
00:06:27.380,00:06:30.980,We fall prey to this when we reject all the times the animation,-0.4019
00:06:30.980,00:06:35.630,"doesn't really sync up, focusing instead on the more surprising times",0.3384
00:06:35.630,00:06:37.010,when it does.,0.0
00:06:37.010,00:06:39.990,The bizarre pyramid coincidence mentioned earlier,-0.3182
00:06:39.990,00:06:43.990,is a lot less bizarre when you consider the fact that we got to control where,-0.2516
00:06:43.990,00:06:45.820,"we placed the decimal point,",0.0
00:06:45.820,00:06:50.750,and that a number of degrees this precise isn't necessary to locate the pyramid.,0.0772
00:06:50.750,00:06:54.320,"By the fourth decimal we're only talking about a matter of a few meters,",0.0258
00:06:54.320,00:06:57.410,so it's easy to make the rest fit the speed of light exactly,0.6887
00:06:57.410,00:07:00.520,and have still picked a point on the pyramid.,0.0
00:07:00.520,00:07:03.690,Confirmation bias also comes into play here.,0.25
00:07:03.690,00:07:06.910,"If you really want two things to sync up,",0.1513
00:07:06.910,00:07:07.970,they will.,0.0
00:07:07.970,00:07:11.290,"We often look for evidence that supports what we already believe,",0.3612
00:07:11.290,00:07:14.290,while marginalising things against it.,0.0
00:07:14.290,00:07:19.110,"As Marshall McLuhan said ""I wouldn't have seen it, if I hadn't believed it"".",0.0
00:07:19.560,00:07:23.780,These biases also help explain the seemingly mind-blowing coincidence that,0.4019
