Start Time,End Time,Text,sentiment-score
00:00:00.320,00:00:03.770,Hey Vsauce. Michael here. In 1924,0.0
00:00:03.770,00:00:08.060,psychologist Carney Landis drew lines on people's faces,0.0
00:00:08.060,00:00:10.480,and then photographed them in various scenarios,0.0
00:00:10.480,00:00:12.520,to study facial expressions.,0.0
00:00:13.140,00:00:14.440,But he didn't use actors,0.0
00:00:14.440,00:00:19.000,"and he didn't tell the participants to pretend to feel emotions. Instead,",-0.1027
00:00:19.000,00:00:22.080,he subjected them to actual trauma.,-0.4215
00:00:22.080,00:00:23.510,He had them do things like,0.3612
00:00:23.510,00:00:27.970,"smell ammonia, look at pornographic images and even reach their hand in",0.5106
00:00:27.970,00:00:30.910,buckets of wet slimy frogs.,0.0
00:00:30.910,00:00:32.900,His most intense directive,0.1513
00:00:32.900,00:00:37.350,involved ordering them to take a knife and while being photographed,0.0
00:00:37.350,00:00:40.390,cut off the head of a living rat.,-0.2732
00:00:41.420,00:00:42.380,Seriously.,-0.1779
00:00:43.200,00:00:46.940,"Most initially refused to cut the head off, but eventually",-0.3158
00:00:46.940,00:00:49.960,"two-thirds agreed to do as they were told,",0.2732
00:00:49.960,00:00:55.060,including a 13-year-old boy referred to the psychology department by a doctor,0.0
00:00:55.060,00:00:59.000,for high blood pressure thought to be caused by emotional instability.,-0.1531
00:00:59.000,00:01:02.270,Many believe his inclusion in Landis' experiment,0.0
00:01:02.270,00:01:04.430,was an accident.,-0.4767
00:01:05.120,00:01:08.880,If replicated today Landis might be arrested,-0.4767
00:01:08.880,00:01:12.259,but what is psychologically arresting about these images,0.0
00:01:12.259,00:01:15.930,is that the unease and disgust and fear they show,-0.8689
00:01:15.930,00:01:17.630,is real.,0.0
00:01:17.630,00:01:19.780,It's disturbing,-0.5106
00:01:19.780,00:01:21.499,but fascinating.,0.6956
00:01:21.499,00:01:26.839,We are paradoxically drawn towards some pretty repulsive things:,0.4939
00:01:26.840,00:01:29.820,"car accidents, car chases,",-0.3182
00:01:29.829,00:01:33.039,"the possibility of a crash or a fight,",-0.6486
00:01:33.039,00:01:37.259,"or a natural disaster; I mean not one that hurts anyone, of course,",-0.0119
00:01:37.260,00:01:39.600,but one that's exciting.,0.6486
00:01:39.600,00:01:40.630,"Celebrity scandal,",-0.4404
00:01:40.630,00:01:43.959,"drama, disfiguration, true crime, war",-0.6808
00:01:43.959,00:01:48.020,"and gore, the macarbe. Like the Kangling, a trumpet",0.3612
00:01:48.020,00:01:53.920,used during Himalayan Buddhist rituals that's made out of a human leg bone.,0.0
00:01:53.920,00:01:56.799,We often feel guilty for being interested,-0.0258
00:01:56.799,00:02:00.759,"in these types of things, after all, they are unpleasant",-0.4767
00:02:00.759,00:02:05.039,but yet we can't look away. Why?,0.0
00:02:05.480,00:02:08.360,"Well, there is no single reason, there are many of them",-0.0258
00:02:08.369,00:02:11.410,but they can be mould into a mnemonic.,0.0
00:02:11.410,00:02:15.129,We like disturbing things because we like,0.1779
00:02:15.129,00:02:16.669,to scream.,-0.4019
00:02:16.669,00:02:19.579,"They give us strength, catharsis",0.4939
00:02:19.579,00:02:23.190,"reality, exploration, acceptance and meaning.",0.5994
00:02:23.740,00:02:27.099,Watching someone eat gross tasting jellybeans,-0.4767
00:02:27.099,00:02:30.569,or a ghost pepper or a spoonful of cinnamon or,-0.3182
00:02:30.569,00:02:35.030,"suffer in more extreme ways, is a kinda strange thing to like to do",-0.3626
00:02:35.030,00:02:38.230,but it's part of what keeps us alive.,0.5267
00:02:38.230,00:02:41.720,"We are curious, even if the outcome",0.3182
00:02:41.720,00:02:43.610,could be bad.,-0.5423
00:02:43.610,00:02:46.980,We often find uncertainty more unpleasant,-0.6997
00:02:46.980,00:02:50.540,than unpleasant certainty. At least if we look,-0.2732
00:02:50.540,00:02:52.040,we know.,0.0
00:02:52.040,00:02:56.000,There's a neurological basis for exploring in the face of danger.,-0.5267
00:02:56.280,00:02:58.380,We become more attentive and alert,0.3535
00:02:58.380,00:03:01.120,"when we are frightened, which makes sense.",-0.4404
00:03:01.120,00:03:03.880,Neurotransmitters like norepinephrine and dopamine,0.3612
00:03:03.880,00:03:05.520,are released when we are scared,-0.4404
00:03:05.520,00:03:07.520,physically and mentally preparing us to,0.0
00:03:07.520,00:03:12.260,take on a threat or successfully escape from it.,0.128
00:03:12.260,00:03:14.960,Dopamine is famously part of the brains,0.0
00:03:14.970,00:03:16.250,reward system.,0.5719
00:03:16.250,00:03:18.790,Dopamine is released in response to pleasurable,0.5267
00:03:18.790,00:03:22.530,"things, like sex and food, but that doesn't mean",0.1901
00:03:22.540,00:03:25.770,our brains find disturbing things pleasurable.,0.0258
00:03:25.770,00:03:27.690,It's more interesting than that.,0.4576
00:03:27.690,00:03:29.180,When dopamine systems,0.0
00:03:29.180,00:03:33.270,"are inhibited in laboratory animals, they will cease",-0.1027
00:03:33.270,00:03:35.400,to seek out food,0.0
00:03:35.400,00:03:40.600,and literally starve to death; because they no longer find food,-0.8402
00:03:40.600,00:03:41.360,fun?,0.5106
00:03:42.320,00:03:42.960,No.,0.0
00:03:43.100,00:03:44.380,If food is placed,0.0
00:03:44.390,00:03:47.760,"in their mouths, they will consume it and express",0.0
00:03:47.760,00:03:49.540,signs of satisfaction.,0.4404
00:03:49.540,00:03:52.420,Evidence like this suggests that the brain contains,0.3612
00:03:52.420,00:03:56.520,"systems that motivate seeking, approaching and curiosity",0.3818
00:03:56.520,00:03:58.300,for their own sake.,0.0
00:03:58.580,00:04:00.160,This has implications in the study of,0.0
00:04:00.170,00:04:01.450,compulsive behaviour.,0.0
00:04:01.640,00:04:04.000,Just because you want to do something,0.0772
00:04:04.000,00:04:06.640,doesn't mean you like it.,-0.2755
00:04:07.520,00:04:10.080,The rush of chemicals into our brains and bodies when we are,0.0
00:04:10.080,00:04:11.140,scared,-0.4404
00:04:11.140,00:04:14.180,help us. When the threats are real. But if the threats,-0.5789
00:04:14.190,00:04:17.620,"aren't real, or if we are safely distant from them,",0.4939
00:04:17.620,00:04:20.930,"and merely spectating, the same chemicals still",0.0
00:04:20.930,00:04:24.790,"appear, making us more attentive, more curious",0.4323
00:04:24.790,00:04:27.910,and making it more difficult to look away.,-0.4201
00:04:28.500,00:04:30.140,In the early nineteen hundreds,0.0
00:04:30.150,00:04:35.010,Eugène-Louis Doyen published incredible images of corpses he cut,-0.2732
00:04:35.010,00:04:38.340,into stackable slices. The images,0.0
00:04:38.340,00:04:41.500,are amazingly macarbe but yet utterly,0.0
00:04:41.500,00:04:44.870,fascinating and a wonderful reminder of what we are,0.802
00:04:44.870,00:04:47.370,literally made of.,0.0
00:04:47.370,00:04:49.490,"We often feel like we need an excuse,",0.4215
00:04:49.490,00:04:54.510,"like Halloween or anatomy homework, in order to look at things like that",0.6124
00:04:54.510,00:04:57.800,without coming across as a total weirdo. I mean,-0.4754
00:04:57.800,00:05:02.380,come on if you look too interested in the macarbe it might look like you are,0.6369
00:05:02.380,00:05:06.680,"into, approve of or enjoy the gruesome.",0.4939
00:05:06.680,00:05:09.880,"Funny enough, that guilt may very well fuel",0.4927
00:05:09.880,00:05:13.270,our desire to look in the first place. Sometimes,0.4019
00:05:13.270,00:05:17.729,pressure to not do something can actually make people more likely,-0.296
00:05:17.729,00:05:19.530,to do that thing.,0.0
00:05:19.530,00:05:21.970,It's called The Boomerang Effect.,0.0
00:05:22.340,00:05:24.360,There are many different ways for things to,0.0
00:05:24.360,00:05:27.800,"boomerang: one is The Streisand Effect,",0.0
00:05:27.800,00:05:31.220,when trying to suppress something unintentionally,0.0
00:05:31.220,00:05:35.080,makes it more widely distributed. In 2003,0.0
00:05:35.080,00:05:38.160,Barbra Streisand sued to suppress a photo,0.0
00:05:38.160,00:05:42.760,"published online, as part of a California Coastline Preservation Project.",0.0
00:05:42.770,00:05:45.790,"One of the photos, the one she was trying to get rid of, showed",0.0
00:05:45.790,00:05:46.890,her house.,0.0
00:05:47.040,00:05:49.160,Within a month of the lawsuit going public,-0.2263
00:05:49.160,00:05:52.740,nearly half a million people had flooded the website and downloaded the,0.0
00:05:52.740,00:05:56.430,picture. Before the suit only six people,0.0
00:05:56.430,00:06:00.470,"had downloaded the image, two of which were her lawyers.",0.0
00:06:00.470,00:06:04.650,"In a similar fashion, social pressures and tabboos against viewing",-0.3182
00:06:04.650,00:06:07.760,disturbing things can make them more,-0.5106
00:06:07.760,00:06:09.090,"interesting,",0.4019
00:06:09.090,00:06:12.530,"rarer and so a more valuable commodity, and also",0.5657
00:06:12.530,00:06:17.500,"free, in that deliberately viewing them can demonstrate to ourselves and others",0.5106
00:06:17.500,00:06:20.940,that we are free and can do what we want.,0.5574
00:06:20.940,00:06:24.260,Disturbing things can also make us feel,-0.5106
00:06:24.260,00:06:27.930,"stronger, because their repulsiveness",0.3818
00:06:27.930,00:06:29.190,is a challenge.,0.0772
00:06:29.660,00:06:31.880,Glenn Sparks at Purdue University,0.0
00:06:31.890,00:06:35.380,has studied the way terrifying films affect us.,-0.5719
00:06:35.380,00:06:39.310,"After watching them, viewers often feel stronger,",0.3818
00:06:39.310,00:06:42.940,"satisfied that they didn't chicken out, that they made it through,",0.4215
00:06:42.940,00:06:46.640,they conquered something disturbing and were able to handle it.,-0.5106
00:06:46.640,00:06:49.820,"It's almost a form of practice. As Stephen King put it,",0.0
00:06:49.820,00:06:54.170,"""We make up horrors to help us cope with the real ones"".",-0.25
00:06:54.170,00:06:58.530,"On the more negative side, following celebrity scandals or seeing",-0.8016
00:06:58.530,00:07:01.820,defeat on the faces of the rival team,-0.4588
00:07:01.820,00:07:05.120,can make you feel pretty good. It's called,0.7269
00:07:05.120,00:07:08.640,"'Schadenfreude', which means harm joy; getting pleasure",0.6124
00:07:08.640,00:07:12.800,from others misfortunes. Social comparison theory,0.0
00:07:12.800,00:07:16.460,describes and predicts behavior like this although grades and,0.3612
00:07:16.460,00:07:20.070,"rankings cause anxiety, we nonetheless possess",-0.1779
00:07:20.070,00:07:23.610,a drive to seek out evaluations of ourselves,0.0
00:07:23.610,00:07:27.390,"in comparison to others, we especially enjoyed the evaluations",0.5563
00:07:27.390,00:07:29.130,that put us on top.,0.2023
00:07:29.130,00:07:31.660,"Now, causing other people to be",0.0
00:07:31.660,00:07:35.480,less well off sort of makes sense under this lens.,0.204
00:07:35.480,00:07:40.500,"If its relative happiness you're concerned with, trolling or harassing or griefing",0.0258
00:07:40.510,00:07:44.120,"other people sort of works, it doesn't make",0.0
00:07:44.120,00:07:47.830,"you happier but compared to the people you're annoying,",-0.3291
00:07:47.830,00:07:50.850,you are less annoyed.,-0.3197
00:07:51.040,00:07:51.960,So...,0.0
00:07:52.460,00:07:53.260,yay?,0.5267
00:07:54.160,00:07:55.500,Viewing scenes of,0.0
00:07:55.510,00:07:57.540,anger and vengeance and violence,-0.8316
00:07:57.540,00:08:00.590,that don't even involve us can nonetheless cause,0.0
00:08:00.590,00:08:05.250,"our own anger and aggression to burn off, as though they're being",-0.7096
