Start Time,End Time,Text,sentiment-score
00:00:00.560,00:00:02.700,"Hey, Vsauce. Michael here.",0.0
00:00:02.700,00:00:04.320,Take a look at this.,0.0
00:00:07.200,00:00:08.180,"Simple enough, right?",0.0
00:00:08.180,00:00:10.180,But watch what happens next.  ,0.0
00:00:15.120,00:00:17.860,"Okay, what the heck is this thing?",0.2263
00:00:17.860,00:00:19.860,"Mostly people eat it like a soup,",0.3612
00:00:19.860,00:00:22.220,out of a  bowl with a spoon. ,0.0
00:00:22.220,00:00:24.000,But is it a soup?,0.0
00:00:25.220,00:00:27.700,The word 'soup' comes from words that originally meant,0.0
00:00:27.780,00:00:33.140," ""to absorb liquid"", which dry cereal left in milk too long will do.",0.0
00:00:33.760,00:00:36.200,But words change.,0.0
00:00:36.200,00:00:39.240,What if cereal is actually a type of salad?,0.0
00:00:39.240,00:00:41.880,And milk is just a dressing?,0.0
00:00:42.000,00:00:46.440,"Or maybe, dry cereal is the actual meal and",0.0
00:00:46.440,00:00:49.220,milk is just a condiment or a coating.,0.0
00:00:49.220,00:00:51.220,Adding milk to dry cereal might be like adding,0.3612
00:00:52.350,00:00:55.790,"ketchup to french fries, or icing a cake.",0.0
00:00:58.640,00:01:02.480,"Honestly, there is no real answer. The answer",0.2023
00:01:02.490,00:01:05.830,is whatever we agree the answer should be.,0.3612
00:01:05.980,00:01:10.260,We make up the words and we make up the categories.,0.0
00:01:10.900,00:01:16.580,"If you ask me, cereal is soup, but it's not soup soup.",0.0
00:01:16.580,00:01:19.240,"Cereal is also salad, but it's not",0.0
00:01:19.240,00:01:20.960,salad salad.,0.0
00:01:21.240,00:01:24.180,What I just did there is called reduplication.,0.0
00:01:24.180,00:01:25.619,We do it all the time,0.0
00:01:25.619,00:01:28.379,"but usually for emphasis. For example,",0.0
00:01:28.379,00:01:31.779," ""I like you"" but I also like like you.",0.8047
00:01:32.180,00:01:35.980,"Tomorrow's event is fancy, but it's not fancy fancy.",0.0
00:01:36.500,00:01:39.499,"When I say ""soup soup"" or ""salad salad"", I",0.0
00:01:39.499,00:01:46.159,am using reduplication in a way that is known as Contrastive focus reduplication. I am reduplicating,0.0
00:01:46.160,00:01:50.740,"a word to express a focus on prototypical types of that word,",0.0
00:01:50.740,00:01:53.000,in contrast to French types.,0.0
00:01:54.280,00:01:57.240,A Caesar or vegetable are more prototypical,0.0
00:01:57.240,00:02:04.240,"types of salad than, say, potato, taco, fruit, or a bowl of cereal with milk.",0.0
00:02:04.659,00:02:11.069,The increasing progress of technology forces us to contrastively focus reduplicate more,0.4215
00:02:11.069,00:02:12.249,and more often.,0.0
00:02:12.249,00:02:14.769,"For example, now when talking about a book,",0.0
00:02:15.099,00:02:19.870,you might need to clarify whether it is an e-book or a book book.,0.0
00:02:19.870,00:02:21.970,The original physical paper type.,0.3182
00:02:21.970,00:02:24.650,The phrase paper book is a retronym.,0.0
00:02:25.420,00:02:30.680,A modification to an old word made necessary by the advent and popularisation of something,0.0
00:02:30.689,00:02:31.629,new.,0.0
00:02:31.629,00:02:34.100,"Before movies with sound came along,",0.0
00:02:34.100,00:02:36.600,silent movies were just called movies.,0.0
00:02:37.180,00:02:41.820,"Before voicemail and e-mail, snail mail was just mail.",0.0
00:02:41.829,00:02:47.060,"And before mobile phones, your landline or home phone was simply a phone.",0.0
00:02:47.060,00:02:49.820,Or in many cases just the phone.,0.0
00:02:54.000,00:02:57.480,This is Morse code for a smiley face emoticon.,0.4019
00:02:58.300,00:03:00.040,It's a happy beat.,0.5719
00:03:00.360,00:03:03.860,"The eyes of the emoticon are a colon,",0.0
